,species,range,rangeNat,rangeAnt,percNat,percForPlant,percPast,percSugCan,percSoy,lulcYear,range.cat,year,IUCN,rangesize,icmbio.cat
226,Apostolepis barrioi*,227388,41273,186115,0.1815,0.0303,0.4104,0.1325,0.0597,2010,Partial,1978,-,535264,-
227,Apostolepis barrioi*,227387,40980,186407,0.1802,0.0198,0.4618,0.0863,0.067,2005,Partial,1978,-,535264,-
228,Apostolepis barrioi*,227362,41757,185605,0.1837,0.0562,0.3234,0.1467,0.1011,2020,Partial,1978,-,535264,-
229,Apostolepis barrioi*,227379,41620,185759,0.183,0.0466,0.3534,0.159,0.0721,2015,Partial,1978,-,535264,-
230,Apostolepis barrioi*,227388,42693,184695,0.1878,0.0188,0.5013,0.0696,0.0491,2000,Partial,1978,-,535264,-
231,Apostolepis cerradoensis,369,331,38,0.897,0,0.0867,0,0,2010,Restricted,2003,DD,370,-
232,Apostolepis cerradoensis,371,315,56,0.8491,0,0.1132,0,0,2020,Restricted,2003,DD,370,-
233,Apostolepis cerradoensis,370,333,37,0.9,0,0.0784,0,0,2005,Restricted,2003,DD,370,-
234,Apostolepis cerradoensis,371,319,52,0.8598,0,0.0943,0,0,2015,Restricted,2003,DD,370,-
235,Apostolepis cerradoensis,371,336,35,0.9057,0,0.062,0,0,2000,Restricted,2003,DD,370,-
236,Apostolepis christineae,366,302,64,0.8251,0,0.1503,0,0,2010,Restricted,2002,DD,367,LC
237,Apostolepis christineae,367,297,70,0.8093,0,0.1662,0,0,2020,Restricted,2002,DD,367,LC
238,Apostolepis christineae,366,304,62,0.8306,0,0.1421,0,0,2005,Restricted,2002,DD,367,LC
239,Apostolepis christineae,368,302,66,0.8207,0,0.1522,0,0,2015,Restricted,2002,DD,367,LC
240,Apostolepis christineae,368,310,58,0.8424,0,0.125,0,0,2000,Restricted,2002,DD,367,LC
241,Apostolepis flavotorquata,939780,437609,502171,0.4657,0.0085,0.2715,0.034,0.1064,2020,Partial,1854,LC,1256330,LC
242,Apostolepis flavotorquata,939791,453862,485929,0.4829,0.0052,0.3014,0.0275,0.0753,2010,Partial,1854,LC,1256330,LC
243,Apostolepis flavotorquata,939786,439185,500601,0.4673,0.008,0.2899,0.0354,0.093,2015,Partial,1854,LC,1256330,LC
244,Apostolepis flavotorquata,939788,463524,476264,0.4932,0.0038,0.3096,0.0171,0.0749,2005,Partial,1854,LC,1256330,LC
245,Apostolepis flavotorquata,939790,484969,454821,0.516,0.004,0.313,0.0137,0.0552,2000,Partial,1854,LC,1256330,LC
246,Apostolepis goiasensis,396630,135834,260796,0.3425,0.006,0.4295,0.0417,0.0631,2010,Partial,1942,LC,470835,LC
247,Apostolepis goiasensis,396629,137316,259313,0.3462,0.0032,0.4478,0.0241,0.0708,2005,Partial,1942,LC,470835,LC
248,Apostolepis goiasensis,396621,133385,263236,0.3363,0.0169,0.377,0.0546,0.0855,2020,Partial,1942,LC,470835,LC
249,Apostolepis goiasensis,396630,133615,263015,0.3369,0.014,0.4017,0.0557,0.0736,2015,Partial,1942,LC,470835,LC
250,Apostolepis goiasensis,396631,144119,252512,0.3634,0.0031,0.4566,0.0188,0.0548,2000,Partial,1942,LC,470835,LC
251,Apostolepis intermedia,1028,519,509,0.5049,0.0136,0.3696,0,0.0263,2010,Partial,1898,LC,1425,LC
252,Apostolepis intermedia,1029,524,505,0.5092,0.0175,0.3625,0,0.0272,2020,Partial,1898,LC,1425,LC
253,Apostolepis intermedia,1027,530,497,0.5161,0.0039,0.3856,0,0.0243,2005,Partial,1898,LC,1425,LC
254,Apostolepis intermedia,1027,527,500,0.5131,0.0214,0.3486,0,0.0243,2015,Partial,1898,LC,1425,LC
255,Apostolepis intermedia,1027,540,487,0.5258,0.001,0.3797,0,0.0282,2000,Partial,1898,LC,1425,LC
256,Apostolepis kikoi*,1240,441,799,0.3556,8.00E-04,0.6137,8.00E-04,0.0105,2020,Restricted,2018,-,1240,DD
257,Apostolepis kikoi*,1239,417,822,0.3366,8.00E-04,0.636,8.00E-04,0.0032,2015,Restricted,2018,-,1240,DD
258,Apostolepis kikoi*,1242,422,820,0.3398,0,0.6353,8.00E-04,0.0032,2010,Restricted,2018,-,1240,DD
259,Apostolepis kikoi*,1239,442,797,0.3567,0,0.6328,0,0.0016,2000,Restricted,2018,-,1240,DD
260,Apostolepis kikoi*,1240,432,808,0.3484,0,0.6395,0,8.00E-04,2005,Restricted,2018,-,1240,DD
261,Apostolepis lineata,366,266,100,0.7268,0,0.2049,0,0.0082,2010,Restricted,1887,DD,367,DD
262,Apostolepis lineata,365,263,102,0.7205,0.0055,0.2082,0,0.0082,2020,Restricted,1887,DD,367,DD
263,Apostolepis lineata,366,266,100,0.7268,0,0.224,0,0.0082,2000,Restricted,1887,DD,367,DD
264,Apostolepis lineata,367,265,102,0.7221,0,0.2234,0,0.0082,2005,Restricted,1887,DD,367,DD
265,Apostolepis lineata,367,262,105,0.7139,0.0054,0.2207,0,0.0109,2015,Restricted,1887,DD,367,DD
266,Apostolepis longicaudata,25329,23940,1389,0.9452,0,0.0191,0,0.0228,2010,Restricted,1921,LC,27040,LC
267,Apostolepis longicaudata,25329,24222,1107,0.9563,0,0.0152,0,0.0158,2005,Restricted,1921,LC,27040,LC
268,Apostolepis longicaudata,25328,24615,713,0.9718,0,0.009,1.00E-04,0.0066,2000,Restricted,1921,LC,27040,LC
269,Apostolepis longicaudata,25329,23371,1958,0.9227,2.00E-04,0.0273,0.0018,0.029,2020,Restricted,1921,LC,27040,LC
270,Apostolepis longicaudata,25328,23630,1698,0.933,1.00E-04,0.0229,0.0012,0.0254,2015,Restricted,1921,LC,27040,LC
271,Apostolepis nelsonjorgei,55798,44551,11247,0.7984,2.00E-04,0.1729,0,0.0092,2010,Partial,2004,LC,73372,LC
272,Apostolepis nelsonjorgei,55799,47160,8639,0.8452,1.00E-04,0.1341,0,2.00E-04,2000,Partial,2004,LC,73372,LC
273,Apostolepis nelsonjorgei,55801,45573,10228,0.8167,1.00E-04,0.1582,0,0.0059,2005,Partial,2004,LC,73372,LC
274,Apostolepis nelsonjorgei,55801,42091,13710,0.7543,0.001,0.1933,1.00E-04,0.0261,2015,Partial,2004,LC,73372,LC
275,Apostolepis nelsonjorgei,55799,42189,13610,0.7561,0.0015,0.1723,1.00E-04,0.0425,2020,Partial,2004,LC,73372,LC
276,Apostolepis phillipsae*,430,281,149,0.6535,0.0023,0.3395,0,0,2000,Restricted,1999,VU,736,-
277,Apostolepis phillipsae*,429,253,176,0.5897,0,0.4033,0,0,2005,Restricted,1999,VU,736,-
278,Apostolepis phillipsae*,428,237,191,0.5537,0,0.4346,0,0,2020,Restricted,1999,VU,736,-
279,Apostolepis phillipsae*,429,255,174,0.5944,0,0.3939,0,0,2015,Restricted,1999,VU,736,-
280,Apostolepis phillipsae*,429,239,190,0.5571,0.0023,0.4336,0,0,2010,Restricted,1999,VU,736,-
281,Apostolepis polylepis,104923,98432,6491,0.9381,2.00E-04,0.0103,0,0.0256,2000,Partial,1921,LC,108297,LC
282,Apostolepis polylepis,104922,94337,10585,0.8991,3.00E-04,0.0181,0,0.054,2005,Partial,1921,LC,108297,LC
283,Apostolepis polylepis,104924,85168,19756,0.8117,0.0018,0.0328,5.00E-04,0.125,2020,Partial,1921,LC,108297,LC
284,Apostolepis polylepis,104922,86798,18124,0.8273,6.00E-04,0.0291,4.00E-04,0.1157,2015,Partial,1921,LC,108297,LC
285,Apostolepis polylepis,104924,90924,14000,0.8666,1.00E-04,0.0227,0,0.0833,2010,Partial,1921,LC,108297,LC
286,Apostolepis sanctaeritae*,614617,384081,230536,0.6249,0.0062,0.2627,0,0.0299,2000,Partial,2005,-,673293,LC
287,Apostolepis sanctaeritae*,614619,358648,255971,0.5835,0.0088,0.2711,7.00E-04,0.0518,2010,Partial,2005,-,673293,LC
288,Apostolepis sanctaeritae*,614619,343056,271563,0.5582,0.0127,0.2562,0.0015,0.0824,2020,Partial,2005,-,673293,LC
289,Apostolepis sanctaeritae*,614618,343527,271091,0.5589,0.0119,0.2751,0.0013,0.0674,2015,Partial,2005,-,673293,LC
290,Apostolepis sanctaeritae*,614618,368553,246065,0.5996,0.0063,0.2717,2.00E-04,0.0441,2005,Partial,2005,-,673293,LC
291,Apostolepis serrana,251,128,123,0.51,0,0.4502,0,0.0159,2015,Restricted,2006,EN,371,DD
292,Apostolepis serrana,249,138,111,0.5542,0,0.4297,0,0,2010,Restricted,2006,EN,371,DD
293,Apostolepis serrana,250,130,120,0.52,0,0.428,0,0.012,2020,Restricted,2006,EN,371,DD
294,Apostolepis serrana,251,145,106,0.5777,0,0.4064,0,0,2005,Restricted,2006,EN,371,DD
295,Apostolepis serrana,251,154,97,0.6135,0,0.3665,0,0,2000,Restricted,2006,EN,371,DD
296,Apostolepis striata,363,145,218,0.3994,0,0.0523,0,0.4738,2020,Restricted,2004,CR,371,EN
297,Apostolepis striata,364,141,223,0.3874,0,0.0714,0,0.4863,2015,Restricted,2004,CR,371,EN
298,Apostolepis striata,363,137,226,0.3774,0,0.0992,0,0.449,2010,Restricted,2004,CR,371,EN
299,Apostolepis striata,364,138,226,0.3791,0,0.1264,0,0.2912,2005,Restricted,2004,CR,371,EN
300,Apostolepis striata,364,172,192,0.4725,0,0.1703,0,0.1236,2000,Restricted,2004,CR,371,EN
301,Apostolepis tertulianobeui*,1102,615,487,0.5581,0.0027,0.2305,0,0.0227,2010,Partial,2004,LC,1453,LC
302,Apostolepis tertulianobeui*,1101,622,479,0.5649,0.0036,0.1889,0,0.0209,2020,Partial,2004,LC,1453,LC
303,Apostolepis tertulianobeui*,1105,614,491,0.5557,0,0.2498,0,0.0308,2005,Partial,2004,LC,1453,LC
304,Apostolepis tertulianobeui*,1103,603,500,0.5467,0.0045,0.2221,0,0.0172,2015,Partial,2004,LC,1453,LC
305,Apostolepis tertulianobeui*,1103,636,467,0.5766,0,0.2421,0,0.0236,2000,Partial,2004,LC,1453,LC
306,Apostolepis vittata,1354,995,359,0.7349,0,0.2334,0,7.00E-04,2010,Restricted,1887,VU,1474,LC
307,Apostolepis vittata,1354,979,375,0.723,0,0.2511,0,7.00E-04,2005,Restricted,1887,VU,1474,LC
308,Apostolepis vittata,1353,980,373,0.7243,0.0015,0.2343,0,0.003,2020,Restricted,1887,VU,1474,LC
309,Apostolepis vittata,1353,959,394,0.7088,0.0015,0.2565,0,0.0044,2015,Restricted,1887,VU,1474,LC
310,Apostolepis vittata,1353,1019,334,0.7531,0,0.218,0,0.0015,2000,Restricted,1887,VU,1474,LC
311,Arremon flavirostris,986476,347718,638758,0.3525,0.0232,0.3591,0.0442,0.0861,2015,Partial,1838,LC,1473172,LC
312,Arremon flavirostris,986484,355168,631316,0.36,0.0159,0.3821,0.0337,0.0733,2010,Partial,1838,LC,1473172,LC
313,Arremon flavirostris,986460,346476,639984,0.3512,0.0263,0.3382,0.0418,0.104,2020,Partial,1838,LC,1473172,LC
314,Arremon flavirostris,986482,360302,626180,0.3652,0.0111,0.4025,0.0205,0.0756,2005,Partial,1838,LC,1473172,LC
315,Arremon flavirostris,986484,376534,609950,0.3817,0.0106,0.4141,0.0161,0.0567,2000,Partial,1838,LC,1473172,LC
316,Asthenes luizae,16397,12703,3694,0.7747,0.0787,0.1,0,1.00E-04,2020,Restricted,1990,NT,24900,EN
317,Asthenes luizae,16398,12688,3710,0.7738,0.0712,0.1185,0,1.00E-04,2015,Restricted,1990,NT,24900,EN
318,Asthenes luizae,16398,13017,3381,0.7938,0.0625,0.1006,0,0,2010,Restricted,1990,NT,24900,EN
319,Asthenes luizae,16398,13275,3123,0.8095,0.0481,0.1031,0,1.00E-04,2005,Restricted,1990,NT,24900,EN
320,Asthenes luizae,16396,13487,2909,0.8226,0.0447,0.0829,0,0,2000,Restricted,1990,NT,24900,EN
321,Atractus albuquerquei,945884,480533,465351,0.508,0.004,0.3249,0.0035,0.0834,2010,Partial,1983,LC,2711519,LC
322,Atractus albuquerquei,945882,464376,481506,0.4909,0.0104,0.2999,0.0087,0.1095,2020,Partial,1983,LC,2711519,LC
323,Atractus albuquerquei,945886,489332,456554,0.5173,0.0022,0.3275,7.00E-04,0.0823,2005,Partial,1983,LC,2711519,LC
324,Atractus albuquerquei,945886,468321,477565,0.4951,0.0088,0.3144,0.0082,0.0994,2015,Partial,1983,LC,2711519,LC
325,Atractus albuquerquei,945883,519934,425949,0.5497,0.002,0.3171,1.00E-04,0.0614,2000,Partial,1983,LC,2711519,LC
326,Atractus edioi,370,274,96,0.7405,0,0.1973,0,0,2010,Restricted,2005,DD,370,DD
327,Atractus edioi,370,273,97,0.7378,0,0.2,0,0,2005,Restricted,2005,DD,370,DD
328,Atractus edioi,369,267,102,0.7236,0,0.2033,0,0,2020,Restricted,2005,DD,370,DD
329,Atractus edioi,370,268,102,0.7243,0,0.2108,0,0,2015,Restricted,2005,DD,370,DD
330,Atractus edioi,369,267,102,0.7236,0,0.2141,0,0,2000,Restricted,2005,DD,370,DD
331,Atractus pantostictus*,714585,329563,385022,0.4612,0.0146,0.2918,0.0419,0.0542,2010,Partial,1993,LC,940260,LC
332,Atractus pantostictus*,714584,335971,378613,0.4702,0.0109,0.3092,0.0269,0.0562,2005,Partial,1993,LC,940260,LC
333,Atractus pantostictus*,714567,316870,397697,0.4434,0.0198,0.2586,0.0482,0.0841,2020,Partial,1993,LC,940260,LC
334,Atractus pantostictus*,714578,317310,397268,0.4441,0.0185,0.2802,0.0509,0.0669,2015,Partial,1993,LC,940260,LC
335,Atractus pantostictus*,714586,348087,366499,0.4871,0.0104,0.3185,0.0217,0.0405,2000,Partial,1993,LC,940260,LC
336,Atractus spinalis,481,434,47,0.9023,0,0.0582,0,0,2010,Restricted,2013,DD,763,DD
337,Atractus spinalis,481,433,48,0.9002,0,0.0665,0,0,2005,Restricted,2013,DD,763,DD
338,Atractus spinalis,480,433,47,0.9021,0.0021,0.0521,0,0,2020,Restricted,2013,DD,763,DD
339,Atractus spinalis,483,436,47,0.9027,0.0021,0.0538,0,0,2015,Restricted,2013,DD,763,DD
340,Atractus spinalis,481,436,45,0.9064,0,0.0561,0,0,2000,Restricted,2013,DD,763,DD
341,Atractus stygius*,46986,32402,14584,0.6896,0,0.0594,0,0.1714,2005,Partial,2019,-,115675,LC
342,Atractus stygius*,46987,35503,11484,0.7556,0,0.0406,0,0.1452,2000,Partial,2019,-,115675,LC
343,Atractus stygius*,46986,31020,15966,0.6602,0.0017,0.0636,0.0019,0.2234,2020,Partial,2019,-,115675,LC
344,Atractus stygius*,46985,31242,15743,0.6649,0.0016,0.0597,0.0011,0.2293,2015,Partial,2019,-,115675,LC
345,Atractus stygius*,46987,31844,15143,0.6777,1.00E-04,0.0598,7.00E-04,0.202,2010,Partial,2019,-,115675,LC
346,Augastes scutatus,33305,20911,12394,0.6279,0.0368,0.2389,0,6.00E-04,2005,Restricted,1824,LC,53428,LC
347,Augastes scutatus,33306,20202,13104,0.6066,0.0537,0.2334,0,0.002,2015,Restricted,1824,LC,53428,LC
348,Augastes scutatus,33306,21296,12010,0.6394,0.0348,0.2175,0,5.00E-04,2000,Restricted,1824,LC,53428,LC
349,Augastes scutatus,33307,20552,12755,0.617,0.047,0.23,0,6.00E-04,2010,Restricted,1824,LC,53428,LC
350,Augastes scutatus,33304,20239,13065,0.6077,0.0589,0.2075,0,0.0017,2020,Restricted,1824,LC,53428,LC
351,Bachia bresslaui,437941,133468,304473,0.3048,0.0044,0.5037,2.00E-04,0.0797,2000,Partial,1935,VU,535404,LC
352,Bachia bresslaui,437938,122837,315101,0.2805,0.0193,0.447,0.0203,0.1132,2015,Partial,1935,VU,535404,LC
353,Bachia bresslaui,437936,121436,316500,0.2773,0.0239,0.4255,0.0199,0.1353,2020,Partial,1935,VU,535404,LC
354,Bachia bresslaui,437941,123553,314388,0.2821,0.009,0.4778,0.0089,0.1007,2010,Partial,1935,VU,535404,LC
355,Bachia bresslaui,437939,124619,313320,0.2846,0.0045,0.4946,0.0016,0.1049,2005,Partial,1935,VU,535404,LC
356,Bachia cacerensis,366,328,38,0.8962,0,0.1038,0,0,2015,Restricted,1998,DD,365,DD
357,Bachia cacerensis,365,330,35,0.9041,0,0.0959,0,0,2010,Restricted,1998,DD,365,DD
358,Bachia cacerensis,364,333,31,0.9148,0,0.0852,0,0,2020,Restricted,1998,DD,365,DD
359,Bachia cacerensis,366,346,20,0.9454,0,0.0546,0,0,2000,Restricted,1998,DD,365,DD
360,Bachia cacerensis,365,335,30,0.9178,0,0.0822,0,0,2005,Restricted,1998,DD,365,DD
361,Bachia didactyla,6071,4441,1630,0.7315,3.00E-04,0.0259,0,0.1962,2015,Restricted,2011,EN,6466,EN
362,Bachia didactyla,6069,4382,1687,0.722,3.00E-04,0.0384,0,0.1925,2020,Restricted,2011,EN,6466,EN
363,Bachia didactyla,6069,4551,1518,0.7499,0,0.0153,0,0.1712,2010,Restricted,2011,EN,6466,EN
364,Bachia didactyla,6068,4624,1444,0.762,0,0.0115,0,0.1279,2005,Restricted,2011,EN,6466,EN
365,Bachia didactyla,6069,4931,1138,0.8125,0,0.0046,0,0.1298,2000,Restricted,2011,EN,6466,EN
366,Bachia geralista,26121,22314,3807,0.8543,0.0011,0.0208,0,0.0718,2020,Restricted,2012,DD,26232,NT
367,Bachia geralista,26122,22739,3383,0.8705,0.0013,0.0182,0,0.0771,2015,Restricted,2012,DD,26232,NT
368,Bachia geralista,26121,24717,1404,0.9463,2.00E-04,0.0072,0,0.0178,2005,Restricted,2012,DD,26232,NT
369,Bachia geralista,26120,23864,2256,0.9136,0.001,0.0115,0,0.0394,2010,Restricted,2012,DD,26232,NT
370,Bachia geralista,26123,25295,828,0.9683,0.0015,0.0066,0,0.0067,2000,Restricted,2012,DD,26232,NT
371,Bachia micromela,223,217,6,0.9731,0,0.0224,0,0,2015,Restricted,2007,DD,376,DD
372,Bachia micromela,222,218,4,0.982,0,0.018,0,0,2010,Restricted,2007,DD,376,DD
373,Bachia micromela,223,217,6,0.9731,0,0.0269,0,0,2020,Restricted,2007,DD,376,DD
374,Bachia micromela,221,217,4,0.9819,0,0.0181,0,0,2005,Restricted,2007,DD,376,DD
375,Bachia micromela,222,219,3,0.9865,0,0.0135,0,0,2000,Restricted,2007,DD,376,DD
376,Bachia oxyrhina,308,308,0,1,0,0,0,0,2015,Restricted,2008,LC,309,LC
377,Bachia oxyrhina,309,309,0,1,0,0,0,0,2020,Restricted,2008,LC,309,LC
378,Bachia oxyrhina,308,308,0,1,0,0,0,0,2010,Restricted,2008,LC,309,LC
379,Bachia oxyrhina,308,308,0,1,0,0,0,0,2005,Restricted,2008,LC,309,LC
380,Bachia oxyrhina,308,308,0,1,0,0,0,0,2000,Restricted,2008,LC,309,LC
381,Bachia psamophila,375,326,49,0.8693,0,0.072,0,0,2015,Restricted,2007,CR,375,CR
382,Bachia psamophila,375,327,48,0.872,0,0.0693,0,0,2020,Restricted,2007,CR,375,CR
383,Bachia psamophila,374,323,51,0.8636,0,0.0829,0,0,2010,Restricted,2007,CR,375,CR
384,Bachia psamophila,373,312,61,0.8365,0,0.1072,0,0,2005,Restricted,2007,CR,375,CR
385,Bachia psamophila,375,312,63,0.832,0,0.0747,0,0,2000,Restricted,2007,CR,375,CR
386,Barycholos ternetzi,649288,334957,314331,0.5159,0.0063,0.2742,0.0111,0.0962,2020,Partial,1937,LC,724474,LC
387,Barycholos ternetzi,649285,336511,312774,0.5183,0.0058,0.2931,0.0108,0.0811,2015,Partial,1937,LC,724474,LC
388,Barycholos ternetzi,649285,354935,294350,0.5467,0.0025,0.3016,0.0017,0.0656,2005,Partial,1937,LC,724474,LC
389,Barycholos ternetzi,649287,347793,301494,0.5357,0.0038,0.2979,0.0055,0.0675,2010,Partial,1937,LC,724474,LC
390,Barycholos ternetzi,649282,370547,278735,0.5707,0.0025,0.2984,6.00E-04,0.0455,2000,Partial,1937,LC,724474,LC
391,Boana botumirim,363,348,15,0.9587,0,0.022,0,0,2015,Restricted,2009,-,364,LC
392,Boana botumirim,364,352,12,0.967,0,0.0137,0,0,2010,Restricted,2009,-,364,LC
393,Boana botumirim,364,352,12,0.967,0,0.0137,0,0,2005,Restricted,2009,-,364,LC
394,Boana botumirim,364,352,12,0.967,0,0.0137,0,0,2000,Restricted,2009,-,364,LC
395,Boana botumirim,365,349,16,0.9562,0.0055,0.0164,0,0,2020,Restricted,2009,-,364,LC
396,Boana buriti,15401,6289,9112,0.4084,0.0035,0.2108,0,0.2102,2015,Restricted,1999,DD,15413,VU
397,Boana buriti,15401,6390,9011,0.4149,1.00E-04,0.2448,0,0.1942,2005,Restricted,1999,DD,15413,VU
398,Boana buriti,15401,6348,9053,0.4122,0.0012,0.2239,0,0.2001,2010,Restricted,1999,DD,15413,VU
399,Boana buriti,15401,6765,8636,0.4393,0.0012,0.2531,0,0.1551,2000,Restricted,1999,DD,15413,VU
400,Boana buriti,15402,6138,9264,0.3985,0.0038,0.2167,0,0.2592,2020,Restricted,1999,DD,15413,VU
401,Boana caiapo*,186821,117944,68877,0.6313,3.00E-04,0.3202,0,0.0142,2010,Restricted,2018,-,262878,LC
402,Boana caiapo*,186821,120235,66586,0.6436,2.00E-04,0.3147,0,0.0108,2005,Restricted,2018,-,262878,LC
403,Boana caiapo*,186820,114818,72002,0.6146,8.00E-04,0.3191,3.00E-04,0.0317,2015,Restricted,2018,-,262878,LC
404,Boana caiapo*,186819,126058,60761,0.6748,2.00E-04,0.2862,0,0.0074,2000,Restricted,2018,-,262878,LC
405,Boana caiapo*,186822,113969,72853,0.61,9.00E-04,0.2991,4.00E-04,0.043,2020,Restricted,2018,-,262878,LC
406,Boana cipoensis,5613,4551,1062,0.8108,0.0367,0.0987,0,2.00E-04,2005,Restricted,1968,NT,7857,LC
407,Boana cipoensis,5614,4488,1126,0.7994,0.046,0.0958,0,0,2010,Restricted,1968,NT,7857,LC
408,Boana cipoensis,5613,4610,1003,0.8213,0.0367,0.0802,0,0,2000,Restricted,1968,NT,7857,LC
409,Boana cipoensis,5612,4372,1240,0.779,0.0567,0.1132,0,2.00E-04,2015,Restricted,1968,NT,7857,LC
410,Boana cipoensis,5613,4393,1220,0.7826,0.0624,0.0903,0,2.00E-04,2020,Restricted,1968,NT,7857,LC
411,Boana ericae,961,903,58,0.9396,0,0.0354,0,0.001,2005,Restricted,2000,DD,963,LC
412,Boana ericae,965,905,60,0.9378,0.001,0.0383,0,0.001,2000,Restricted,2000,DD,963,LC
413,Boana ericae,962,900,62,0.9356,0.001,0.0374,0,0.0073,2015,Restricted,2000,DD,963,LC
414,Boana ericae,964,901,63,0.9346,0.001,0.0301,0,0.0104,2020,Restricted,2000,DD,963,LC
415,Boana ericae,964,902,62,0.9357,0.001,0.0394,0,0.0031,2010,Restricted,2000,DD,963,LC
416,Boana goiana,35486,18218,17268,0.5134,5.00E-04,0.26,0,0.0727,2000,Restricted,1968,LC,35423,LC
417,Boana goiana,35485,17117,18368,0.4824,0.005,0.2265,0,0.1327,2015,Restricted,1968,LC,35423,LC
418,Boana goiana,35483,17638,17845,0.4971,3.00E-04,0.247,0,0.1089,2005,Restricted,1968,LC,35423,LC
419,Boana goiana,35488,16960,18528,0.4779,0.0052,0.2103,0,0.1699,2020,Restricted,1968,LC,35423,LC
420,Boana goiana,35486,17404,18082,0.4904,0.0017,0.2335,0,0.119,2010,Restricted,1968,LC,35423,LC
421,Boana jaguariaivensis,525,217,308,0.4133,0.059,0.2476,0,0.1695,2000,Restricted,2010,-,1041,LC
422,Boana jaguariaivensis,527,259,268,0.4915,0.112,0.0797,0,0.2049,2015,Restricted,2010,-,1041,LC
423,Boana jaguariaivensis,525,249,276,0.4743,0.141,0.0552,0,0.2114,2020,Restricted,2010,-,1041,LC
424,Boana jaguariaivensis,526,244,282,0.4639,0.0837,0.135,0,0.1996,2010,Restricted,2010,-,1041,LC
425,Boana jaguariaivensis,526,224,302,0.4259,0.0684,0.2205,0,0.2015,2005,Restricted,2010,-,1041,LC
426,Boana lundii,814847,312084,502763,0.383,0.0196,0.3328,0.0467,0.0829,2015,Partial,1856,LC,988264,LC
427,Boana lundii,814835,311550,503285,0.3823,0.0214,0.3128,0.0448,0.0969,2020,Partial,1856,LC,988264,LC
428,Boana lundii,814853,319685,495168,0.3923,0.0138,0.3507,0.0364,0.0718,2010,Partial,1856,LC,988264,LC
429,Boana lundii,814851,337416,477435,0.4141,0.0096,0.3811,0.0182,0.0571,2000,Partial,1856,LC,988264,LC
430,Boana lundii,814850,324098,490752,0.3977,0.0101,0.369,0.0229,0.0758,2005,Partial,1856,LC,988264,LC
431,Boana stenocephala,711,172,539,0.2419,0.1013,0.1814,0.0197,0.097,2015,Restricted,1999,DD,712,LC
432,Boana stenocephala,711,167,544,0.2349,0.0914,0.2124,0.0098,0.0956,2010,Restricted,1999,DD,712,LC
433,Boana stenocephala,712,177,535,0.2486,0.0829,0.1447,0.0183,0.1292,2020,Restricted,1999,DD,712,LC
434,Boana stenocephala,711,162,549,0.2278,0.0788,0.2897,0,0.0788,2000,Restricted,1999,DD,712,LC
435,Boana stenocephala,711,166,545,0.2335,0.083,0.2461,0,0.1097,2005,Restricted,1999,DD,712,LC
436,Bokermannohyla alvarengai,18391,13574,4817,0.7381,0.0749,0.134,0,2.00E-04,2015,Restricted,1956,LC,28510,LC
437,Bokermannohyla alvarengai,18392,13901,4491,0.7558,0.0663,0.1198,0,0,2010,Restricted,1956,LC,28510,LC
438,Bokermannohyla alvarengai,18393,13590,4803,0.7389,0.0826,0.1135,0,2.00E-04,2020,Restricted,1956,LC,28510,LC
439,Bokermannohyla alvarengai,18392,14447,3945,0.7855,0.0488,0.1012,0,1.00E-04,2000,Restricted,1956,LC,28510,LC
440,Bokermannohyla alvarengai,18392,14189,4203,0.7715,0.0517,0.1239,0,1.00E-04,2005,Restricted,1956,LC,28510,LC
441,Bokermannohyla ibitiguara,1496,689,807,0.4606,0.0013,0.3884,0.0027,0.0187,2015,Restricted,1983,DD,1499,LC
442,Bokermannohyla ibitiguara,1496,688,808,0.4599,7.00E-04,0.4205,0.002,0.0107,2010,Restricted,1983,DD,1499,LC
443,Bokermannohyla ibitiguara,1496,695,801,0.4646,0.0013,0.365,0.0027,0.0441,2020,Restricted,1983,DD,1499,LC
444,Bokermannohyla ibitiguara,1497,678,819,0.4529,0,0.4589,0,0.0013,2000,Restricted,1983,DD,1499,LC
445,Bokermannohyla ibitiguara,1499,677,822,0.4516,0,0.4516,0,0.0053,2005,Restricted,1983,DD,1499,LC
446,Bokermannohyla izecksohni*,351,73,278,0.208,0.0627,0.1909,0.1083,0.0085,2015,Restricted,1979,CR,351,DD
447,Bokermannohyla izecksohni*,351,70,281,0.1994,0.0598,0.245,0.1054,0.0028,2010,Restricted,1979,CR,351,DD
448,Bokermannohyla izecksohni*,350,71,279,0.2029,0.0743,0.1714,0.0829,0.0086,2020,Restricted,1979,CR,351,DD
449,Bokermannohyla izecksohni*,351,69,282,0.1966,0.0028,0.396,0.0399,0.0028,2000,Restricted,1979,CR,351,DD
450,Bokermannohyla izecksohni*,352,70,282,0.1989,0.0114,0.3636,0.054,0.0057,2005,Restricted,1979,CR,351,DD
451,Bokermannohyla nanuzae,3185,2069,1116,0.6496,0.0192,0.206,0,3.00E-04,2015,Restricted,1973,LC,9366,LC
452,Bokermannohyla nanuzae,3184,2052,1132,0.6445,0.0154,0.2324,0,0,2010,Restricted,1973,LC,9366,LC
453,Bokermannohyla nanuzae,3183,2061,1122,0.6475,0.0226,0.1819,0,3.00E-04,2020,Restricted,1973,LC,9366,LC
454,Bokermannohyla nanuzae,3184,2053,1131,0.6448,0.0104,0.2403,0,0,2005,Restricted,1973,LC,9366,LC
