,species,range,rangeNat,rangeAnt,percNat,percForPlant,percPast,percSugCan,percSoy,lulcYear,range.cat,year,IUCN,rangesize,icmbio.cat
52,Ameerega braccata,600,460,140,0.7667,0,0.2117,0,0,2005,Restricted,1864,LC,600,LC
53,Ameerega braccata,600,470,130,0.7833,0.0033,0.1917,0,0,2015,Restricted,1864,LC,600,LC
54,Ameerega braccata,599,475,124,0.793,0,0.1786,0,0,2010,Restricted,1864,LC,600,LC
55,Ameerega braccata,599,469,130,0.783,0,0.197,0,0,2000,Restricted,1864,LC,600,LC
56,Ameerega flavopicta,544212,279326,264886,0.5133,0.0156,0.2903,0.003,0.0702,2020,Partial,1925,LC,868222,LC
57,Ameerega flavopicta,544213,279049,265164,0.5128,0.0148,0.3139,0.003,0.0505,2015,Partial,1925,LC,868222,LC
58,Ameerega flavopicta,544211,290113,254098,0.5331,0.0111,0.3158,0.0017,0.0393,2010,Partial,1925,LC,868222,LC
59,Ameerega flavopicta,544213,295752,248461,0.5434,0.0081,0.3224,4.00E-04,0.0372,2005,Partial,1925,LC,868222,LC
60,Ameerega flavopicta,544212,307455,236757,0.565,0.0078,0.3159,1.00E-04,0.0253,2000,Partial,1925,LC,868222,LC
61,Ameerega picta,3952,2293,1659,0.5802,0,0.3024,0,0.0491,2015,Restricted,1838,LC,5921,LC
62,Ameerega picta,3951,2283,1668,0.5778,0,0.2696,0,0.0818,2020,Restricted,1838,LC,5921,LC
63,Ameerega picta,3953,2315,1638,0.5856,0,0.3268,0,0.0142,2010,Restricted,1838,LC,5921,LC
64,Ameerega picta,3952,2315,1637,0.5858,0,0.3393,0,0.0106,2005,Restricted,1838,LC,5921,LC
65,Ameerega picta,3950,2362,1588,0.598,0,0.3253,0,0.0104,2000,Restricted,1838,LC,5921,LC
66,Ameiva jacuba,1264,874,390,0.6915,0,0.1495,0.0047,0.1305,2010,Restricted,2013,-,1264,-
67,Ameiva jacuba,1266,916,350,0.7235,0,0.1232,0,0.1248,2000,Restricted,2013,-,1264,-
68,Ameiva jacuba,1264,861,403,0.6812,0,0.1598,0.0245,0.1092,2020,Restricted,2013,-,1264,-
69,Ameiva jacuba,1265,886,379,0.7004,0,0.1431,0,0.1336,2005,Restricted,2013,-,1264,-
70,Ameiva jacuba,1264,862,402,0.682,0,0.1638,0.0324,0.1021,2015,Restricted,2013,-,1264,-
71,Ameiva parecis,371,312,59,0.841,0.0027,0.1456,0,0,2020,Restricted,2003,VU,372,EN
72,Ameiva parecis,372,338,34,0.9086,0,0.0887,0,0,2000,Restricted,2003,VU,372,EN
73,Ameiva parecis,372,323,49,0.8683,0,0.1183,0,0,2010,Restricted,2003,VU,372,EN
74,Ameiva parecis,373,310,63,0.8311,0.0054,0.1367,0,0,2015,Restricted,2003,VU,372,EN
75,Ameiva parecis,372,327,45,0.879,0,0.1075,0,0,2005,Restricted,2003,VU,372,EN
76,Ameivula cipoensis*,674,520,154,0.7715,0.0015,0.0875,0,0,2015,Restricted,2014,-,1157,-
77,Ameivula cipoensis*,674,517,157,0.7671,0,0.1068,0,0,2005,Restricted,2014,-,1157,-
78,Ameivula cipoensis*,676,515,161,0.7618,0,0.1095,0,0,2000,Restricted,2014,-,1157,-
79,Ameivula cipoensis*,673,517,156,0.7682,0,0.0936,0,0,2010,Restricted,2014,-,1157,-
80,Ameivula cipoensis*,675,521,154,0.7719,0.003,0.0726,0,0,2020,Restricted,2014,-,1157,-
81,Ameivula jalapensis,744,744,0,1,0,0,0,0,2000,Restricted,2009,LC,745,LC
82,Ameivula jalapensis,745,745,0,1,0,0,0,0,2005,Restricted,2009,LC,745,LC
83,Ameivula jalapensis,744,743,1,0.9987,0,0.0013,0,0,2020,Restricted,2009,LC,745,LC
84,Ameivula jalapensis,743,743,0,1,0,0,0,0,2015,Restricted,2009,LC,745,LC
85,Ameivula jalapensis,744,744,0,1,0,0,0,0,2010,Restricted,2009,LC,745,LC
86,Ameivula mumbuca,748,721,27,0.9639,0,0.0187,0,0,2015,Restricted,2003,LC,747,LC
87,Ameivula mumbuca,747,725,22,0.9705,0,0.0134,0,0,2005,Restricted,2003,LC,747,LC
88,Ameivula mumbuca,747,727,20,0.9732,0,0.0107,0,0,2000,Restricted,2003,LC,747,LC
89,Ameivula mumbuca,748,725,23,0.9693,0,0.0147,0,0,2010,Restricted,2003,LC,747,LC
90,Ameivula mumbuca,746,718,28,0.9625,0,0.0188,0,0.0013,2020,Restricted,2003,LC,747,LC
91,Ameivula xacriaba*,42047,37219,4828,0.8852,0.0027,0.0405,0,0.0441,2015,Restricted,2014,-,42875,LC
92,Ameivula xacriaba*,42045,39493,2552,0.9393,8.00E-04,0.0229,0,0.0101,2005,Restricted,2014,-,42875,LC
93,Ameivula xacriaba*,42046,36962,5084,0.8791,0.0025,0.0375,0,0.045,2020,Restricted,2014,-,42875,LC
94,Ameivula xacriaba*,42046,38544,3502,0.9167,0.0019,0.0292,0,0.0218,2010,Restricted,2014,-,42875,LC
95,Ameivula xacriaba*,42047,40120,1927,0.9542,0.0011,0.0229,0,0.0054,2000,Restricted,2014,-,42875,LC
96,Amphisbaena absaberi,291,143,148,0.4914,0,0.5052,0,0,2005,Restricted,2001,DD,366,DD
97,Amphisbaena absaberi,291,115,176,0.3952,0,0.5979,0,0,2020,Restricted,2001,DD,366,DD
98,Amphisbaena absaberi,291,134,157,0.4605,0,0.5326,0,0,2015,Restricted,2001,DD,366,DD
99,Amphisbaena absaberi,293,162,131,0.5529,0,0.4403,0,0,2000,Restricted,2001,DD,366,DD
100,Amphisbaena absaberi,289,117,172,0.4048,0,0.5917,0,0,2010,Restricted,2001,DD,366,DD
101,Amphisbaena acrobeles,374,374,0,1,0,0,0,0,2005,Restricted,2009,LC,374,LC
102,Amphisbaena acrobeles,374,374,0,1,0,0,0,0,2000,Restricted,2009,LC,374,LC
103,Amphisbaena acrobeles,376,376,0,1,0,0,0,0,2015,Restricted,2009,LC,374,LC
104,Amphisbaena acrobeles,375,375,0,1,0,0,0,0,2020,Restricted,2009,LC,374,LC
105,Amphisbaena acrobeles,374,374,0,1,0,0,0,0,2010,Restricted,2009,LC,374,LC
106,Amphisbaena anaemariae,284239,87819,196420,0.309,0.0039,0.4933,0.0027,0.0779,2005,Partial,1997,LC,346771,LC
107,Amphisbaena anaemariae,284237,84792,199445,0.2983,0.0188,0.4426,0.023,0.0876,2015,Partial,1997,LC,346771,LC
108,Amphisbaena anaemariae,284239,92464,191775,0.3253,0.0036,0.5038,5.00E-04,0.0573,2000,Partial,1997,LC,346771,LC
109,Amphisbaena anaemariae,284240,87205,197035,0.3068,0.0092,0.472,0.0115,0.0743,2010,Partial,1997,LC,346771,LC
110,Amphisbaena anaemariae,284235,84609,199626,0.2977,0.0241,0.4138,0.0235,0.1005,2020,Partial,1997,LC,346771,LC
111,Amphisbaena bedai,1544,356,1188,0.2306,0.0032,0.6762,0,6.00E-04,2015,Restricted,1991,LC,1543,LC
112,Amphisbaena bedai,1543,378,1165,0.245,0,0.6805,0,6.00E-04,2005,Restricted,1991,LC,1543,LC
113,Amphisbaena bedai,1544,351,1193,0.2273,0.0032,0.6697,0,0.0019,2020,Restricted,1991,LC,1543,LC
114,Amphisbaena bedai,1545,358,1187,0.2317,0,0.6796,0,0.0013,2010,Restricted,1991,LC,1543,LC
115,Amphisbaena bedai,1543,419,1124,0.2715,0,0.65,0,0.0013,2000,Restricted,1991,LC,1543,LC
116,Amphisbaena brevis,367,282,85,0.7684,0,0.2016,0,0,2005,Restricted,2009,DD,368,DD
117,Amphisbaena brevis,366,287,79,0.7842,0.0055,0.1831,0,0,2020,Restricted,2009,DD,368,DD
118,Amphisbaena brevis,365,280,85,0.7671,0.0055,0.2027,0,0,2015,Restricted,2009,DD,368,DD
119,Amphisbaena brevis,367,292,75,0.7956,0,0.1689,0,0.0027,2000,Restricted,2009,DD,368,DD
120,Amphisbaena brevis,366,295,71,0.806,0,0.1667,0,0,2010,Restricted,2009,DD,368,DD
121,Amphisbaena carli,1478,1240,238,0.839,0.0041,0.0014,0,0.0765,2005,Restricted,2010,LC,1478,LC
122,Amphisbaena carli,1479,1340,139,0.906,0.0358,7.00E-04,0,0.0149,2000,Restricted,2010,LC,1478,LC
123,Amphisbaena carli,1477,810,667,0.5484,0.0027,0.0156,0,0.367,2015,Restricted,2010,LC,1478,LC
124,Amphisbaena carli,1478,734,744,0.4966,7.00E-04,0.023,0,0.3938,2020,Restricted,2010,LC,1478,LC
125,Amphisbaena carli,1478,1033,445,0.6989,0.0034,0.0074,0,0.1827,2010,Restricted,2010,LC,1478,LC
126,Amphisbaena crisae,1433,1198,235,0.836,0,0.1284,7.00E-04,0.0237,2015,Partial,1997,DD,1479,LC
127,Amphisbaena crisae,1432,1205,227,0.8415,0,0.1187,7.00E-04,0.0216,2020,Partial,1997,DD,1479,LC
128,Amphisbaena crisae,1433,1221,212,0.8521,0,0.1214,0,0.0167,2005,Partial,1997,DD,1479,LC
129,Amphisbaena crisae,1431,1211,220,0.8463,0,0.1258,0,0.0175,2010,Partial,1997,DD,1479,LC
130,Amphisbaena crisae,1433,1235,198,0.8618,0,0.111,7.00E-04,0.0154,2000,Partial,1997,DD,1479,LC
131,Amphisbaena cuiabana,13764,8590,5174,0.6241,0.0018,0.1858,7.00E-04,0.1342,2005,Restricted,2001,LC,30163,LC
132,Amphisbaena cuiabana,13764,7893,5871,0.5735,0.005,0.2251,0.0054,0.1365,2020,Restricted,2001,LC,30163,LC
133,Amphisbaena cuiabana,13766,8068,5698,0.5861,0.0046,0.2144,0.0041,0.1354,2015,Restricted,2001,LC,30163,LC
134,Amphisbaena cuiabana,13764,8453,5311,0.6141,0.0022,0.1864,0.0019,0.132,2010,Restricted,2001,LC,30163,LC
135,Amphisbaena cuiabana,13764,9022,4742,0.6555,9.00E-04,0.1651,4.00E-04,0.1108,2000,Restricted,2001,LC,30163,LC
136,Amphisbaena filiformis*,678,418,260,0.6165,0,0.3407,0,0.0088,2005,Restricted,2016,-,755,DD
137,Amphisbaena filiformis*,680,451,229,0.6632,0.0015,0.2765,0,0.0044,2020,Restricted,2016,-,755,DD
138,Amphisbaena filiformis*,679,427,252,0.6289,0,0.327,0,0.0059,2015,Restricted,2016,-,755,DD
139,Amphisbaena filiformis*,678,398,280,0.587,0,0.3437,0,0.0059,2010,Restricted,2016,-,755,DD
140,Amphisbaena filiformis*,677,506,171,0.7474,0,0.1846,0,0.003,2000,Restricted,2016,-,755,DD
141,Amphisbaena kraoh,13678,12614,1064,0.9222,0,0.0416,0,0.0263,2005,Restricted,1971,LC,14095,LC
142,Amphisbaena kraoh,13675,11923,1752,0.8719,4.00E-04,0.0532,0.0057,0.0496,2020,Restricted,1971,LC,14095,LC
143,Amphisbaena kraoh,13678,12157,1521,0.8888,2.00E-04,0.0526,0.0042,0.0335,2015,Restricted,1971,LC,14095,LC
144,Amphisbaena kraoh,13676,12470,1206,0.9118,0,0.0496,0,0.0267,2010,Restricted,1971,LC,14095,LC
145,Amphisbaena kraoh,13676,12895,781,0.9429,0,0.0309,2.00E-04,0.0118,2000,Restricted,1971,LC,14095,LC
146,Amphisbaena leeseri,109323,35072,74251,0.3208,0.0074,0.5352,3.00E-04,0.035,2000,Restricted,1964,LC,141174,LC
147,Amphisbaena leeseri,109325,32476,76849,0.2971,0.0074,0.5402,0.0017,0.0522,2005,Restricted,1964,LC,141174,LC
148,Amphisbaena leeseri,109323,31822,77501,0.2911,0.022,0.4867,0.0205,0.0759,2015,Restricted,1964,LC,141174,LC
149,Amphisbaena leeseri,109324,31940,77384,0.2922,0.0144,0.5233,0.01,0.0558,2010,Restricted,1964,LC,141174,LC
150,Amphisbaena leeseri,109322,31608,77714,0.2891,0.0287,0.4526,0.0171,0.1115,2020,Restricted,1964,LC,141174,LC
151,Amphisbaena maranhensis,378,340,38,0.8995,0,0.0317,0,0,2010,Restricted,2012,DD,377,DD
152,Amphisbaena maranhensis,378,332,46,0.8783,0,0.0423,0,0.0053,2020,Restricted,2012,DD,377,DD
153,Amphisbaena maranhensis,377,339,38,0.8992,0,0.0212,0,0.0053,2015,Restricted,2012,DD,377,DD
154,Amphisbaena maranhensis,377,349,28,0.9257,0,0.0053,0,0,2000,Restricted,2012,DD,377,DD
155,Amphisbaena maranhensis,378,344,34,0.9101,0,0.0238,0,0,2005,Restricted,2012,DD,377,DD
156,Amphisbaena mebengokre*,365,127,238,0.3479,0,0.526,0,0.0082,2015,Restricted,2019,-,365,DD
157,Amphisbaena mebengokre*,364,126,238,0.3462,0,0.5385,0,0.0027,2010,Restricted,2019,-,365,DD
158,Amphisbaena mebengokre*,366,128,238,0.3497,0,0.5055,0,0.0219,2020,Restricted,2019,-,365,DD
