species,binomial,taxa,family,genus,species_author,author,year,time.slice,New,IUCN,rangesize,range.cat,areaClass,rangeNat_2020,percNat,percNatCat,prot_range,prot_perc,prot_perc_cat,rangeNat_2000,loss00_20,perc_loss00_20
Bokermannohyla napolii,Bokermannohyla napolii,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla napolii Carvalho et al., 2012","Carvalho et al., 2012",2012,2000-2021,n,EN,904,Restricted,buffer,240,0.2658,<30%,0,0,0%,259,19,0.073359073
Bokermannohyla pseudopseudis,Bokermannohyla pseudopseudis,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla pseudopseudis (Miranda-Ribeiro, 1937)","(Miranda-Ribeiro, 1937)",1937,1900-1999,n,LC,19647,Partial,polygon,15047,0.7661,<80%,2069,0.1053,<17%,15829,782,0.049402995
Bokermannohyla ravida,Bokermannohyla ravida,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla ravida (Caramaschi et al., 2001)","(Caramaschi et al., 2001)",2001,2000-2021,n,CR,361,Restricted,buffer,156,0.4309,<50%,0,0,0%,160,4,0.025
Bokermannohyla sagarana,Bokermannohyla sagarana,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla sagarana Leite et al., 2011","Leite et al., 2011",2011,2000-2021,n,EN,63,Restricted,polygon,42,0.913,>80%,3,0.0476,<5%,43,1,0.023255814
Bokermannohyla sapiranga,Bokermannohyla sapiranga,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla sapiranga Brandão et al., 2012","Brandão et al., 2012",2012,2000-2021,n,LC,32737,Restricted,polygon,11913,0.3645,<50%,497,0.0152,<5%,13721,1808,0.131768822
Bokermannohyla saxicola,Bokermannohyla saxicola,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla saxicola (Bokermann, 1964)","(Bokermann, 1964)",1964,1900-1999,n,LC,33627,Restricted,polygon,17381,0.7493,<80%,2731,0.0812,<17%,18429,1048,0.056866895
Bokermannohyla sazimai,Bokermannohyla sazimai,Amphibians,Hylidae,Bokermannohyla,"Bokermannohyla sazimai (Cardoso & Andrade, 1982)","(Cardoso & Andrade, 1982)",1982,1900-1999,n,LC,9364,Restricted,polygon,2499,0.2704,<30%,66,0.007,<1%,2431,-68,-0.027972028
Bothrops itapetiningae,Bothrops itapetiningae,Reptiles,Viperidae,Bothrops,"Bothrops itapetiningae (Boulenger, 1907)","(Boulenger, 1907)",1907,1900-1999,n,VU,675437,Partial,polygon,99012,0.2394,<30%,3188,0.0047,<1%,104262,5250,0.050353916
Bothrops marmoratus,Bothrops marmoratus,Reptiles,Viperidae,Bothrops,"Bothrops marmoratus Silva & Rodrigues, 2008","Silva & Rodrigues, 2008",2008,2000-2021,n,LC,383515,Partial,polygon,172233,0.4846,<50%,6706,0.0175,<5%,191336,19103,0.099840072
Bothrops moojeni,Bothrops moojeni,Reptiles,Viperidae,Bothrops,"Bothrops moojeni Hoge, 1966","Hoge, 1966",1866,1700-1899,n,LC,2686680,Wide,polygon,797500,0.4825,<50%,56071,0.0209,<5%,892999,95499,0.106941889
Bothrops pauloensis,Bothrops pauloensis,Reptiles,Viperidae,Bothrops,"Bothrops pauloensis Amaral, 1925","Amaral, 1925",1925,1900-1999,n,LC,1776108,Partial,polygon,388691,0.3608,<50%,16073,0.009,<1%,428354,39663,0.092593976
Calassomys apicalis,Calassomys apicalis,Mammals,Cricetidae,Calassomys,"Calassomys apicalis Pardiñas et al., 2014","Pardiñas et al., 2014",2014,2000-2021,s,-,584,Restricted,polygon,575,0.9846,>80%,412,0.7055,>17%,575,0,0
Callithrix penicillata,Callithrix penicillata,Mammals,Callithrichidae,Callithrix,"Callithrix penicillata (Geoffroy, 1812)","(Geoffroy, 1812)",1812,1700-1899,s,LC,1301874,Partial,polygon,380919,0.4725,<50%,21794,0.0167,<5%,420573,39654,0.094285653
Calomys tocantinsi,Calomys tocantinsi,Mammals,Cricetidae,Calomys,"Calomys tocantinsi Bonvicino et al., 2003","Bonvicino et al., 2003",2003,2000-2021,s,LC,155446,Partial,polygon,58034,0.831,>80%,9269,0.0596,<17%,61853,3819,0.061743165
Carterodon sulcidens,Carterodon sulcidens,Mammals,Echimyidae,Carterodon,"Carterodon sulcidens (Lund, 1838)","(Lund, 1838)",1838,1700-1899,s,DD,1099681,Partial,polygon,354934,0.3956,<50%,5637,0.0051,<1%,394486,39552,0.100262113
Celeus obrieni,Celeus obrieni,Birds,Picidae,Celeus,"Celeus obrieni Short, 1973","Short, 1973",1973,1900-1999,s,VU,825273,Restricted,polygon,422126,0.6704,<80%,31799,0.0385,<5%,478330,56204,0.11750047
Cercomacra ferdinandi,Cercomacra ferdinandi,Birds,Thamnophilidae,Cercomacra,"Cercomacra ferdinandi Snethlage, 1928","Snethlage, 1928",1928,1900-1999,s,NT,269082,Partial,polygon,83782,0.7492,<80%,9616,0.0357,<5%,93759,9977,0.106411118
Cerradomys akroai,Cerradomys akroai,Mammals,Cricetidae,Cerradomys,"Cerradomys akroai Bonvicino et al., 2014","Bonvicino et al., 2014",2014,2000-2021,s,-,748,Restricted,buffer,693,0.9252,>80%,275,0.3676,>17%,722,29,0.040166205
Cerradomys marinhus,Cerradomys marinhus,Mammals,Cricetidae,Cerradomys,"Cerradomys marinhus (Bonvicino, 2003)","(Bonvicino, 2003)",2003,2000-2021,s,LC,291448,Partial,polygon,118434,0.4466,<50%,7898,0.0271,<5%,133048,14614,0.109840058
Cerradomys scotti,Cerradomys scotti,Mammals,Cricetidae,Cerradomys,"Cerradomys scotti (Langguth & Bonvicino, 2002)","(Langguth & Bonvicino, 2002)",2002,2000-2021,s,LC,2281453,Wide,polygon,649403,0.4525,<50%,46800,0.0205,<5%,722350,72947,0.100985672
Charitospiza eucosma,Charitospiza eucosma,Birds,Thraupidae,Charitospiza,"Charitospiza eucosma Oberholser, 1905","Oberholser, 1905",1905,1900-1999,s,NT,3270074,Wide,polygon,959545,0.5228,<80%,59197,0.0181,<5%,1067750,108205,0.101339265
Chiasmocleis albopunctata,Chiasmocleis albopunctata,Amphibians,Microhylidae,Chiasmocleis,"Chiasmocleis albopunctata (Boettger, 1885)","(Boettger, 1885)",1885,1700-1899,n,LC,2062226,Wide,polygon,675047,0.4624,<50%,41764,0.0203,<5%,751051,76004,0.101196856
Chiasmocleis centralis,Chiasmocleis centralis,Amphibians,Microhylidae,Chiasmocleis,"Chiasmocleis centralis Bokermann, 1952","Bokermann, 1952",1952,1900-1999,n,DD,368,Partial,buffer,149,0.4038,<50%,0,0,0%,190,41,0.215789474
Chironius brazili,Chironius brazili*,Reptiles,Colubridae,Chironius,"Chironius brazili* Hamdan & Fernandes, 2015","Hamdan & Fernandes, 2015",2015,2000-2021,s,-,1108760,Partial,polygon,169352,0.3389,<50%,8463,0.0076,<1%,178334,8982,0.050366167
Cinclodes espinhacensis,Cinclodes espinhacensis,Birds,Furnariidae,Cinclodes,"Cinclodes espinhacensis Freitas et al., 2012","Freitas et al., 2012",2012,2000-2021,s,-,2941,Restricted,polygon,1442,0.6735,<80%,454,0.1544,<17%,1441,-1,-0.000693963
Clibanornis rectirostris,Clibanornis rectirostris,Birds,Furnariidae,Clibanornis,"Clibanornis rectirostris (Wied, 1831)","(Wied, 1831)",1831,1700-1899,s,LC,1678654,Partial,polygon,399466,0.376,<50%,20477,0.0122,<5%,434936,35470,0.081552228
Clyomys laticeps,Clyomys laticeps,Mammals,Echimyidae,Clyomys,"Clyomys laticeps (Thomas, 1909)","(Thomas, 1909)",1909,1900-1999,s,LC,1373496,Partial,polygon,340536,0.3446,<50%,13027,0.0095,<1%,370852,30316,0.081746896
Coleodactylus brachystoma,Coleodactylus brachystoma,Reptiles,Sphaerodactylidae,Coleodactylus,"Coleodactylus brachystoma (Amaral, 1935)","(Amaral, 1935)",1935,1900-1999,n,LC,477642,Partial,polygon,227210,0.5163,<80%,19979,0.0418,<5%,255519,28309,0.110790196
Colobosaura modesta,Colobosaura modesta,Reptiles,Gymnophthalmidae,Colobosaura,"﻿Colobosaura modesta (Reinhardt & Lütken, 1862)","(Reinhardt & Lütken, 1862)",1862,1700-1899,n,LC,3352590,Wide,polygon,844865,0.5393,<80%,51953,0.0155,<5%,943917,99052,0.104937193
Columbina cyanopis,Columbina cyanopis,Birds,Columbidae,Columbina,"Columbina cyanopis (Pelzeln, 1870)","(Pelzeln, 1870)",1870,1700-1899,s,CR,2172,Partial,buffer,833,0.5336,<80%,264,0.1215,<17%,897,64,0.071348941
Conothraupis mesoleuca,Conothraupis mesoleuca,Birds,Thraupidae,Conothraups,"Conothraupis mesoleuca (Berlioz, 1939)","(Berlioz, 1939)",1939,1900-1999,s,EN,144734,Partial,polygon,62536,0.5009,<80%,1853,0.0128,<5%,69491,6955,0.100084903
Coryphaspiza melanotis,Coryphaspiza melanotis,Birds,Thraupidae,Coryphaspiza,"Coryphaspiza melanotis (Temminck, 1822)","(Temminck, 1822)",1822,1700-1899,s,VU,3576856,Partial,polygon,852145,0.5149,<80%,55246,0.0154,<5%,944067,91922,0.097368089
Crossodactylus franciscanus,Crossodactylus franciscanus*,Amphibians,Hylodidae,Crossodactylus,Crossodactylus franciscanus* Pimenta et al. 2015,Pimenta et al. 2015,2015,2000-2021,s,CR,714,Restricted,buffer,138,0.21,<30%,91,0.1275,<17%,137,-1,-0.00729927
Crossodactylus trachystomus,Crossodactylus trachystomus,Amphibians,Hylodidae,Crossodactylus,"Crossodactylus trachystomus (Reinhardt & Lütken, 1862)","(Reinhardt & Lütken, 1862)",1862,1700-1899,n,NT,33530,Restricted,polygon,13244,0.665,<80%,2490,0.0743,<17%,13959,715,0.051221434
Ctenomys bicolor,Ctenomys bicolor,Mammals,Ctenomyidae,Ctenomys,"Ctenomys bicolor Miranda-Ribeiro, 1914","Miranda-Ribeiro, 1914",1914,1900-1999,s,-,108826,Partial,polygon,49839,0.594,<80%,5,0,0%,57887,8048,0.139029488
Ctenomys nattereri,Ctenomys nattereri,Mammals,Ctenomyidae,Ctenomys,"Ctenomys nattereri Wagner, 1848","Wagner, 1848",1848,1700-1899,s,-,195476,Partial,polygon,33118,0.629,<80%,15090,0.0772,<17%,37284,4166,0.111736938
Cyanocorax cristatellus,Cyanocorax cristatellus,Birds,Corvidae,Cyanocorax,"Cyanocorax cristatellus (Temminck, 1823)","(Temminck, 1823)",1823,1700-1899,s,LC,4033939,Wide,polygon,982901,0.5202,<80%,69579,0.0172,<5%,1091882,108981,0.099810236
Dendropsophus anataliasiasi,Dendropsophus anataliasiasi,Amphibians,Hylidae,Dendropsophus,"Dendropsophus anataliasiasi (Bokermann, 1972)","(Bokermann, 1972)",1972,1900-1999,n,LC,400550,Partial,polygon,190107,0.6175,<80%,10619,0.0265,<5%,214093,23986,0.112035424
Dendropsophus araguaya,Dendropsophus araguaya,Amphibians,Hylidae,Dendropsophus,"Dendropsophus araguaya (Napoli & Caramaschi, 1998)","(Napoli & Caramaschi, 1998)",1998,1900-1999,n,LC,2451,Restricted,polygon,1052,0.4292,<50%,0,0,0%,1142,90,0.078809107
Dendropsophus cerradensis,Dendropsophus cerradensis,Amphibians,Hylidae,Dendropsophus,"Dendropsophus cerradensis (Napoli & Caramaschi, 1998)","(Napoli & Caramaschi, 1998)",1998,1900-1999,n,DD,714,Restricted,buffer,159,0.2221,<30%,0,0,0%,166,7,0.042168675
Dendropsophus cruzi,Dendropsophus cruzi,Amphibians,Hylidae,Dendropsophus,"Dendropsophus cruzi (Pombal & Bastos, 1998)","(Pombal & Bastos, 1998)",1998,1900-1999,n,LC,944655,Partial,polygon,388771,0.5313,<80%,25152,0.0266,<5%,431582,42811,0.099195518
Dendropsophus elianeae,Dendropsophus elianeae,Amphibians,Hylidae,Dendropsophus,"Dendropsophus elianeae (Napoli & Caramaschi, 2000)","(Napoli & Caramaschi, 2000)",2000,2000-2021,n,LC,980367,Partial,polygon,203858,0.2832,<30%,6428,0.0066,<1%,218925,15067,0.068822656
Dendropsophus jimi,Dendropsophus jimi,Amphibians,Hylidae,Dendropsophus,"Dendropsophus jimi (Napoli & Caramaschi, 1999)","(Napoli & Caramaschi, 1999)",1999,1900-1999,n,LC,828098,Partial,polygon,141123,0.2543,<30%,4985,0.006,<1%,149135,8012,0.053723137
Dendropsophus rhea,Dendropsophus rhea,Amphibians,Hylidae,Dendropsophus,"Dendropsophus rhea (Napoli & Caramaschi, 1999)","(Napoli & Caramaschi, 1999)",1999,1900-1999,n,DD,420,Restricted,buffer,64,0.1513,<30%,0,0,0%,59,-5,-0.084745763
Dendropsophus rubicundulus,Dendropsophus rubicundulus,Amphibians,Hylidae,Dendropsophus,"Dendropsophus rubicundulus (Reinhardt & Lütken, 1862)","(Reinhardt & Lütken, 1862)",1862,1700-1899,n,LC,1479361,Partial,polygon,635401,0.5695,<80%,44925,0.0304,<5%,705618,70217,0.09951135
Dendropsophus tritaeniatus,Dendropsophus tritaeniatus,Amphibians,Hylidae,Dendropsophus,"Dendropsophus tritaeniatus (Bokermann, 1965)","(Bokermann, 1965)",1965,1900-1999,n,LC,1460,Restricted,buffer,610,0.4175,<50%,75,0.0514,<17%,673,63,0.093610698
Drymoluber brazili,Drymoluber brazili,Reptiles,Colubridae,Drymoluber,"Drymoluber brazili (Gomes, 1918)","(Gomes, 1918)",1918,1900-1999,n,LC,3738607,Wide,polygon,869782,0.5027,<80%,55857,0.0149,<5%,968392,98610,0.101828598
Elachistocleis bumbameuboi,Elachistocleis bumbameuboi,Amphibians,Microhylidae,Elachistocleis,"Elachistocleis bumbameuboi Caramaschi, 2010","Caramaschi, 2010",2010,2000-2021,n,LC,757,Restricted,buffer,251,0.6658,<80%,0,0,0%,323,72,0.222910217
Elachistocleis matogrosso,Elachistocleis matogrosso,Amphibians,Microhylidae,Elachistocleis,"Elachistocleis matogrosso Caramaschi, 2010","Caramaschi, 2010",2010,2000-2021,n,LC,158207,Partial,polygon,25882,0.4661,<50%,1085,0.0069,<1%,28656,2774,0.096803462
Embernagra longicauda,Embernagra longicauda,Birds,Thraupidae,Embernagra,"Embernagra longicauda Strickland, 1844","Strickland, 1844",1844,1700-1899,s,LC,218284,Partial,polygon,34351,0.6206,<80%,3818,0.0175,<5%,35864,1513,0.042187151
Enyalius capetinga,Enyalius capetinga*,Reptiles,Leiosauridae,Enyalius,"Enyalius capetinga* Breitman et al., 2018","Breitman et al., 2018",2018,2000-2021,s,-,2536,Restricted,polygon,1467,0.5773,<80%,439,0.1731,>17%,1513,46,0.030403173
Epicrates crassus,Epicrates crassus,Reptiles,Boidae,Epicrates,"Epicrates crassus Cope, 1862","Cope, 1862",1862,1700-1899,n,LC,4378535,Wide,polygon,830493,0.4884,<50%,69196,0.0158,<5%,923239,92746,0.100457195
Epictia clinorostris,Epictia clinorostris*,Reptiles,Leptotyphlopidae,Epictia,"Epictia clinorostris* Arredondo & Zaher, 2010","Arredondo & Zaher, 2010",2010,2000-2021,s,VU,28685,Restricted,polygon,14959,0.5223,<80%,110,0.0038,<1%,16650,1691,0.101561562
Erythrolamprus maryellenae,Erythrolamprus maryellenae,Reptiles,Dipsadidae,Erythrolamprus,"Erythrolamprus maryellenae (Dixon, 1985)","(Dixon, 1985)",1985,1900-1999,n,LC,1096089,Partial,polygon,436682,0.4892,<50%,24325,0.0222,<5%,483771,47089,0.097337377
Eurolophosaurus nanuzae,Eurolophosaurus nanuzae,Reptiles,Tropiduridae,Eurolophosaurus,"Eurolophosaurus nanuzae (Rodrigues, 1981)","(Rodrigues, 1981)",1981,1900-1999,n,LC,21992,Restricted,polygon,6674,0.672,<80%,483,0.022,<5%,7154,480,0.067095331
Euryoryzomys lamia,Euryoryzomys lamia,Mammals,Cricetidae,Euryoryzomys,"Euryoryzomys lamia (Thomas, 1901)","(Thomas, 1901)",1901,1900-1999,s,VU,45977,Restricted,polygon,20836,0.4566,<50%,731,0.0159,<5%,22486,1650,0.073378991
Euscarthmus rufomarginatus,Euscarthmus rufomarginatus,Birds,Tyrannidae,Euscarthmus,"Euscarthmus rufomarginatus  (Pelzeln, 1868)","(Pelzeln, 1868)",1868,1700-1899,s,NT,3904841,Wide,polygon,858020,0.5358,<80%,60224,0.0154,<5%,962972,104952,0.108987593
Galea flavidens,Galea flavidens,Mammals,Caviidae,Galea,"Galea flavidens (Brandt, 1835)","(Brandt, 1835)",1835,1700-1899,s,LC,1324021,Partial,polygon,625150,0.5706,<80%,38848,0.0293,<5%,704416,79266,0.112527257
Geositta poeciloptera,Geositta poeciloptera,Birds,Scleruridae,Geositta,"Geositta poeciloptera (Wied, 1830)","(Wied, 1830)",1830,1700-1899,s,VU,1987612,Partial,polygon,545566,0.4153,<50%,25237,0.0127,<5%,600880,55314,0.092054986
Guyramemua affine,Guyramemua affine,Birds,Tyrannidae,Guyramemua,"Guyramemua affine (Burmeister, 1856)","(Burmeister, 1856)",1856,1700-1899,s,NT,1104,Partial,polygon,754012,0.5315,<80%,57811,0.0242,<5%,846691,92679,0.10946024
Gyldenstolpia planaltensis,Gyldenstolpia planaltensis,Mammals,Cricetidae,Gyldenstolpia,"Gyldenstolpia planaltensis (Avila-Pires, 1972)","(Avila-Pires, 1972)",1972,1900-1999,s,-,609460,Restricted,buffer,456,0.4882,<50%,167,0.1513,<17%,504,48,0.095238095
Gymnodactylus amarali,Gymnodactylus amarali,Reptiles,Phyllodactylidae,Gymnodactylus,"Gymnodactylus amarali Barbour, 1925","Barbour, 1925",1925,1900-1999,n,LC,362,Partial,polygon,322631,0.6106,<80%,28995,0.0476,<5%,366236,43605,0.119062572
Gymnodactylus guttulatus,Gymnodactylus guttulatus,Reptiles,Phyllodactylidae,Gymnodactylus,"Gymnodactylus guttulatus Vanzolini, 1982","Vanzolini, 1982",1982,1900-1999,n,LC,365,Restricted,buffer,327,0.9033,>80%,27,0.0746,<17%,331,4,0.012084592
Helicops boitata,Helicops boitata*,Reptiles,Dipsadidae,Helicops,"Helicops boitata* Moraes-da-Silva et al., 2019","Moraes-da-Silva et al., 2019",2019,2000-2021,s,-,413583,Restricted,buffer,302,0.8251,>80%,0,0,0%,326,24,0.073619632
Helicops gomesi,Helicops gomesi*,Reptiles,Dipsadidae,Helicops,"Helicops gomesi* Amaral, 1921","Amaral, 1921",1921,1900-1999,s,LC,88053,Partial,polygon,60073,0.2083,<30%,2688,0.0065,<1%,60766,693,0.011404404
Helicops phantasma,Helicops phantasma*,Reptiles,Dipsadidae,Helicops,"Helicops phantasma* Moraes-da-Silva et al., 2021 ","Moraes-da-Silva et al., 2021 ",2021,2000-2021,s,-,2359869,Partial,polygon,49465,0.7467,<80%,2697,0.0306,<5%,55561,6096,0.109717248
Herpsilochmus longirostris,Herpsilochmus longirostris,Birds,Thamnophilidae,Herpsilochmus,"Herpsilochmus longirostris Pelzeln, 1868","Pelzeln, 1868",1868,1700-1899,s,LC,34452,Partial,polygon,727067,0.4818,<50%,46636,0.0198,<5%,807127,80060,0.099191329
Heterodactylus lundii,Heterodactylus lundii,Reptiles,Gymnophthalmidae,Heterodactylus,"Heterodactylus lundii Reinhardt & Luetken, 1862","Reinhardt & Luetken, 1862",1862,1700-1899,n,EN,668490,Restricted,polygon,9892,0.2907,<30%,124,0.0036,<1%,10410,518,0.049759846
Holochilus sciureus,Holochilus sciureus,Mammals,Cricetidae,Holochilus,"Holochilus sciureus Wagner, 1842","Wagner, 1842",1842,1700-1899,s,LC,2749462,Partial,polygon,358233,0.6181,<80%,32800,0.0491,<5%,408680,50447,0.123438876
Hoplocercus spinosus,Hoplocercus spinosus,Reptiles,Hoplocercidae,Hoplocercus,"Hoplocercus spinosus Fitzinger, 1843","Fitzinger, 1843",1843,1700-1899,n,LC,1108625,Partial,polygon,717075,0.5495,<80%,58908,0.0214,<5%,811809,94734,0.116694937
Hydropsalis candicans,Hydropsalis candicans,Birds,Caprimulgidae,Hydropsalis,"Hydropsalis candicans (Pelzeln, 1867)","(Pelzeln, 1867)",1867,1700-1899,s,VU,63007,Partial,polygon,118294,0.2682,<30%,6128,0.0055,<1%,127648,9354,0.073279644
Hylaeamys acritus,Hylaeamys acritus,Mammals,Cricetidae,Hylaeamys,"Hylaeamys acritus (Emmons & Patton, 2005)","(Emmons & Patton, 2005)",2005,2000-2021,s,DD,375,Partial,OUT,NA,NA,NA,6940,0.1101,<17%,NA,NA,NA
Hylodes otavioi,Hylodes otavioi,Amphibians,Hylodidae,Hylodes,"Hylodes otavioi Sazima & Bokermann, 1983","Sazima & Bokermann, 1983",1983,1900-1999,n,VU,45228,Restricted,polygon,160,0.7407,<80%,74,0.1973,>17%,159,-1,-0.006289308
Ischnocnema penaxavantinho,Ischnocnema penaxavantinho,Amphibians,Brachycephalidae,Ischnocnema,"Ischnocnema penaxavantinho Giaretta et al., 2007","Giaretta et al., 2007",2007,2000-2021,n,LC,366,Restricted,polygon,13259,0.3008,<50%,55,0.0012,<1%,14682,1423,0.0969214
Julianus pinimus,Julianus pinimus,Amphibians,Hylidae,Julianus,"Julianus pinimus (Bokermann & Sazima, 1973)","(Bokermann & Sazima, 1973)",1973,1900-1999,n,LC,891,Restricted,buffer,433,0.6039,<80%,2,0.0028,<1%,433,0,0
Juscelinomys candango,Juscelinomys candango,Mammals,Cricetidae,Juscelinomys,"Juscelinomys candango Moojen, 1965","Moojen, 1965",1965,1900-1999,s,EX,1201,Restricted,OUT,146,0.4,<50%,83,0.2268,>17%,162,16,0.098765432
Juscelinomys huanchacae,Juscelinomys huanchacae,Mammals,Cricetidae,Juscelinomys,"Juscelinomys huanchacae Emmons, 1999","Emmons, 1999",1999,1900-1999,s,DD,892348,Restricted,OUT,NA,NA,NA,1201,1,>17%,NA,NA,NA
Kentropyx paulensis,Kentropyx paulensis,Reptiles,Teiidae,Kentropyx,"Kentropyx paulensis Boettger, 1893","Boettger, 1893",1893,1700-1899,n,LC,668452,Partial,polygon,275725,0.3721,<50%,10957,0.0123,<5%,298826,23101,0.077305857
Kentropyx vanzoi,Kentropyx vanzoi,Reptiles,Teiidae,Kentropyx,"Kentropyx vanzoi Gallagher & Dixon, 1980","Gallagher & Dixon, 1980",1980,1900-1999,n,NT,6089,Partial,polygon,224753,0.4678,<50%,5750,0.0086,<1%,254191,29438,0.115810552
Kerodon acrobata,Kerodon acrobata,Mammals,Caviidae,Kerodon,"Kerodon acrobata Moojen et al., 1997","Moojen et al., 1997",1997,1900-1999,s,DD,250655,Restricted,polygon,3513,0.5768,<80%,0,0,0%,4202,689,0.163969538
Knipolegus franciscanus,Knipolegus franciscanus,Birds,Tyrannidae,Knipolegus,"Knipolegus franciscanus Snethlage, 1928","Snethlage, 1928",1928,1900-1999,s,LC,3560689,Partial,polygon,125976,0.5866,<80%,7248,0.0289,<5%,142756,16780,0.117543221
Kunsia tomentosus,Kunsia tomentosus,Mammals,Cricetidae,Kunsia,"Kunsia tomentosus (Lichtenstein, 1830)","(Lichtenstein, 1830)",1830,1700-1899,s,LC,835712,Partial,polygon,408600,0.3767,<50%,30019,0.0084,<1%,450627,42027,0.093263386
Laterallus xenopterus,Laterallus xenopterus,Birds,Rallidae,Laterallus,"Laterallus xenopterus Conover, 1934","Conover, 1934",1934,1900-1999,s,VU,361,Partial,polygon,262674,0.3621,<50%,14436,0.0173,<5%,287436,24762,0.086147873
Leposternon cerradensis,Leposternon cerradensis,Reptiles,Amphisbaenidae,Leposternon,"Leposternon cerradensis Ribeiro et al., 2008","Ribeiro et al., 2008",2008,2000-2021,n,DD,853,Restricted,buffer,96,0.2652,<30%,0,0,0%,72,-24,-0.333333333
Leposternon maximus,Leposternon maximus,Reptiles,Amphisbaenidae,Leposternon,"Leposternon maximus Ribeiro et al., 2011","Ribeiro et al., 2011",2011,2000-2021,n,LC,726,Restricted,buffer,738,0.8662,>80%,259,0.3036,>17%,767,29,0.037809648
Leposternon mineiro,Leposternon mineiro*,Reptiles,Amphisbaenidae,Leposternon,"Leposternon mineiro* Ribeiro et al., 2018","Ribeiro et al., 2018",2018,2000-2021,s,-,207024,Restricted,buffer,278,0.3829,<50%,0,0,0%,329,51,0.155015198
Leptodactylus brevipes,Leptodactylus brevipes*,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus brevipes* Cope, 1887","Cope, 1887",1887,1700-1899,s,LC,12495,Partial,polygon,80886,0.4888,<50%,568,0.0027,<1%,94928,14042,0.147922636
Leptodactylus camaquara,Leptodactylus camaquara,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus camaquara Sazima & Bokermann, 1978","Sazima & Bokermann, 1978",1978,1900-1999,n,NT,42533,Restricted,polygon,6352,0.7973,<80%,892,0.0714,<17%,6725,373,0.055464684
Leptodactylus cunicularius,Leptodactylus cunicularius,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus cunicularius Sazima & Bokermann, 1978","Sazima & Bokermann, 1978",1978,1900-1999,n,LC,1856186,Restricted,polygon,5927,0.3202,<50%,494,0.0116,<5%,5859,-68,-0.011606076
Leptodactylus furnarius,Leptodactylus furnarius,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus furnarius Sazima & Bokermann, 1978","Sazima & Bokermann, 1978",1978,1900-1999,n,LC,32359,Partial,polygon,585617,0.4485,<50%,28313,0.0153,<5%,648092,62475,0.096398351
Leptodactylus kilombo,Leptodactylus kilombo*,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus kilombo* Silva et al., 2020","Silva et al., 2020",2020,2000-2021,s,LC,1805011,Restricted,polygon,15893,0.5481,<80%,601,0.0186,<5%,20589,4696,0.228082957
Leptodactylus pustulatus,Leptodactylus pustulatus,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus pustulatus (Peters, 1870)","(Peters, 1870)",1970,1900-1999,n,LC,1955949,Partial,polygon,612020,0.6464,<80%,39705,0.022,<5%,696634,84614,0.121461198
Leptodactylus sertanejo,Leptodactylus sertanejo,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus sertanejo Giaretta & Costa, 2007","Giaretta & Costa, 2007",2007,2000-2021,n,LC,369,Wide,polygon,686055,0.4688,<50%,41134,0.021,<5%,765103,79048,0.103316808
Leptodactylus tapiti,Leptodactylus tapiti,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus tapiti Sazima & Bokermann, 1978","Sazima & Bokermann, 1978",1978,1900-1999,n,VU,709,Restricted,buffer,332,0.8973,>80%,73,0.1978,>17%,335,3,0.008955224
Liotyphlops schubarti,Liotyphlops schubarti,Reptiles,Anomalepididae,Liotyphlops,"Liotyphlops schubarti Vanzolini, 1948","Vanzolini, 1948",1948,1900-1999,n,DD,367,Restricted,buffer,144,0.2031,<30%,0,0,0%,146,2,0.01369863
Liotyphlops taylori,Liotyphlops taylori*,Reptiles,Anomalepididae,Liotyphlops,"Liotyphlops taylori* Marra-Santos & Reis, 2018","Marra-Santos & Reis, 2018",2018,2000-2021,s,-,33611,Restricted,buffer,296,0.8087,>80%,135,0.3678,>17%,309,13,0.042071197
Lonchophylla bokermanni,Lonchophylla bokermanni,Mammals,Phyllostomidae,Lonchophylla,"Lonchophylla bokermanni Sazima et al., 1978","Sazima et al., 1978",1978,1900-1999,s,EN,1888936,Restricted,polygon,9878,0.8016,>80%,1197,0.0356,<5%,10385,507,0.048820414
Lonchophylla dekeyseri,Lonchophylla dekeyseri,Mammals,Phyllostomidae,Lonchophylla,"Lonchophylla dekeyseri Taddei et al., 1983","Taddei et al., 1983",1983,1900-1999,s,EN,2865103,Partial,polygon,752400,0.61,<80%,54623,0.0289,<5%,843453,91053,0.107952666
Lycalopex vetulus,Lycalopex vetulus,Mammals,Canidae,Lycalopex,"Lycalopex vetulus (Lund, 1842)","(Lund, 1842)",1842,1700-1899,s,NT,2337650,Wide,polygon,916241,0.5232,<80%,55754,0.0195,<5%,1018134,101893,0.100078182
