species,rangesize
Euryoryzomys lamia,"45977"
Euscarthmus rufomarginatus,"3904841"
Galea flavidens,"1324021"
Geositta poeciloptera,"1987612"
Epicrates crassus,"4378535"
Epictia clinorostris*,"28685"
Erythrolamprus maryellenae,"1096089"
Eurolophosaurus nanuzae,"21992"
Pithecopus araguaius*,"1108"
Amphisbaena filiformis*,"755"
Microakodontomys transitorius,"733"
Apostolepis christineae,"367"
Amphisbaena saxosa,"375"
Odontophrynus monachus,"358"
Cerradomys akroai,"748"
Pseudopaludicola ibisoroca*,"726"
Ameivula jalapensis,"745"
Ameivula mumbuca,"747"
Amphisbaena neglecta,"367"
Tropidophis preciosus,"719"
Apostolepis lineata,"367"
Scinax goya*,"368"
Scinax pombali,"891"
Columbina cyanopis,"2172"
Amphisbaena steindachneri,"1477"
Proceratophrys bagnoi,"926"
Proceratophrys carranca,"363"
Apostolepis cerradoensis,"370"
Amphisbaena crisae,"1479"
Atractus edioi,"370"
Proceratophrys huntingtoni,"1102"
Adenomera cotuba*,"206241"
Adenomera saci,"731210"
Psilops seductus*,"737"
Ameerega berohoka,"110480"
Ameerega braccata,"600"
Ameerega flavopicta,"868222"
Ameerega picta,"5921"
Alectrurus tricolor,"2797153"
Alipiopsitta xanthops,"2950314"
Allobates brunneus,"373"
Allobates goianus,"16216"
Amphisbaena kraoh,"14095"
Amphisbaena leeseri,"141174"
Amphisbaena silvestrii,"895546"
Amphisbaena talisiae,"103006"
Ameivula xacriaba*,"42875"
Amphisbaena anaemariae,"346771"
Amphisbaena bedai,"1543"
Amphisbaena cuiabana,"30163"
Apostolepis assimilis*,"1601004"
Apostolepis barrioi*,"535264"
Apostolepis flavotorquata,"1256330"
Apostolepis goiasensis,"470835"
Anolis meridionalis,"2579006"
Antilophia galeata,"2692714"
Aplastodiscus lutzorum*,"20219"
Apostolepis albicollaris,"52589"
Arremon flavirostris,"1473172"
Asthenes luizae,"24900"
Atractus albuquerquei,"2711519"
Atractus pantostictus*,"940260"
Apostolepis longicaudata,"27040"
Apostolepis nelsonjorgei,"73372"
Apostolepis polylepis,"108297"
Apostolepis sanctaeritae*,"673293"
Apostolepis intermedia,"1425"
Bokermannohyla ravida,"361"
Monodelphis sanctaerosae,"734"
Juscelinomys candango,"366"
Ameiva jacuba,"1264"
Amphisbaena absaberi,"366"
Boana jaguariaivensis,"1041"
Boana ericae,"963"
Apostolepis striata,"371"
Amphisbaena acrobeles,"374"
Siagonodon acutirostris,"1494"
Boana botumirim,"364"
Elachistocleis bumbameuboi,"757"
Oreobates antrum*,"1286"
Bokermannohyla izecksohni*,"351"
Apostolepis tertulianobeui*,"1453"
Akodon lindberghi,"2844"
Stenocercus canastra*,"690"
Crossodactylus franciscanus*,"714"
Amphisbaena brevis,"368"
Amphisbaena mebengokre*,"365"
Dendropsophus tritaeniatus,"1460"
Placosoma cipoense,"359"
Leposternon maximus,"853"
Oligoryzomys rupestris,"1470"
Scinax cabralensis,"725"
Leposternon cerradensis,"361"
Apostolepis adhara*,"371"
Apostolepis vittata,"1474"
Leptodactylus tapiti,"369"
Chiasmocleis centralis,"368"
Dendropsophus cerradensis,"714"
Ameiva parecis,"372"
Apostolepis serrana,"371"
Akodon kadiweu,"356"
Atractus spinalis,"763"
Liotyphlops taylori*,"367"
Gyldenstolpia planaltensis,"1104"
Scinax rupestris*,"816"
Oxymycterus itapeby,"1045"
Ameivula cipoensis*,"1157"
Phalotris cerradensis*,"368"
Amphisbaena maranhensis,"377"
Amphisbaena carli,"1478"
Bachia micromela,"376"
Leposternon mineiro*,"726"
Amphisbaena persephone*,"370"
Trachycephalus mambaiensis,"81510"
Trilepida brasiliensis,"1503963"
Trilepida fuliginosa,"453998"
Trilepida jani,"19461"
Thoropa megatympanum,"35245"
Thrichomys apereoides,"362360"
Thrichomys pachyurus,"762797"
Thylamys velutinus,"472911"
