species,rangesize,area,code,area_total_i-iv,protected_range,prot_perc
Odontophrynus juquinha*,"43994","5493","1","49667","1679",0.0382
Oecomys cleberi,"833008","5493","1","49667","4515",0.0054
Oligoryzomys moojeni,"297359","5493","1","49667","21720",0.0730
Oreobates heterodactylus,"16557","5493","1","49667","524",0.0316
Phalotris mertensi,"634842","5493","1","49667","2670",0.0042
Phalotris nasutus,"1511881","5493","1","49667","8588",0.0057
Phasmahyla jandaia,"11924","5493","1","49667","312",0.0262
Philodryas livida,"388737","5493","1","49667","1995",0.0051
Phalotris concolor,"17642","5493","1","49667","154",0.0087
Phalotris labiomaculatus,"49626","5493","1","49667","1193",0.0240
Phalotris lativittatus,"122868","5493","1","49667","254",0.0021
Phalotris matogrossensis,"841607","5493","1","49667","4560",0.0054
Physalaemus atim*,"583","5493","1","49667","5",0.0086
Physalaemus centralis,"1826841","5493","1","49667","38057",0.0208
Philodryas mattogrossensis,"724317","5493","1","49667","4176",0.0058
Phyllomyias reiseri,"750210","5493","1","49667","17286",0.0230
Phyllomys brasiliensis,"2411","5493","1","49667","107",0.0444
Phylloscartes roquettei,"240589","5493","1","49667","4802",0.0200
Bachia geralista,"26232","5493","1","49667","2495",0.0951
Bachia oxyrhina,"309","5493","1","49667","309",1.0000
Barycholos ternetzi,"724474","5493","1","49667","22575",0.0312
Boana buriti,"15413","5493","1","49667","43",0.0028
Atractus stygius*,"115675","5493","1","49667","5",0.0000
Augastes scutatus,"53428","5493","1","49667","2153",0.0403
Bachia bresslaui,"535404","5493","1","49667","2949",0.0055
Bokermannohyla alvarengai,"28510","5493","1","49667","1137",0.0399
Bokermannohyla ibitiguara,"1499","5493","1","49667","891",0.5944
Bokermannohyla nanuzae,"9366","5493","1","49667","426",0.0455
Bokermannohyla pseudopseudis,"19647","5493","1","49667","2069",0.1053
Boana caiapo*,"262878","5493","1","49667","9154",0.0348
Boana cipoensis,"7857","5493","1","49667","317",0.0403
Boana goiana,"35423","5493","1","49667","731",0.0206
Boana lundii,"988264","5493","1","49667","12546",0.0127
Bothrops itapetiningae,"675437","5493","1","49667","3155",0.0047
Bothrops marmoratus,"383515","5493","1","49667","6706",0.0175
Bothrops moojeni,"2686680","5493","1","49667","46055",0.0171
Bothrops pauloensis,"1776108","5493","1","49667","9994",0.0056
Bokermannohyla sagarana,"63","5493","1","49667","3",0.0476
Bokermannohyla sapiranga,"32737","5493","1","49667","497",0.0152
Bokermannohyla saxicola,"33627","5493","1","49667","1462",0.0435
Bokermannohyla sazimai,"9364","5493","1","49667","66",0.0070
Celeus obrieni,"825273","5493","1","49667","31576",0.0383
