species,rangesize,NAME,DESIG,DESIG_ENG,IUCN_CAT,STATUS_YR,GOV_TYPE,SUB_LOC,area
Pseudopaludicola ternetzi*,"1068878",Parque Estadual Do Araguaiaa,Parque,Park,II,"2001",Sub-national ministry or agency,BR-MT,2299.207
Pyrrhura pfrimeri,"13772",Parque Nacional Da Chapada Dos Veadeiros,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,2405.849
Rhachidelus brazili,"1521523",Parque Nacional Das Emas,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,1327.851
Rhachidelus brazili,"1521523",Parque Nacional Da Serra Da Canastra,Parque,Park,II,"1972",Federal or national ministry or agency,BR-MG,1979.707
Rhipidomys ipukensis,"34446",Parque Nacional Do Araguaia,Parque,Park,II,"1959",Federal or national ministry or agency,BR-TO,5555.031
Rhipidomys ipukensis,"34446",Parque Estadual Do Cantão,Parque,Park,II,"1998",Sub-national ministry or agency,BR-TO,1004.135
Rhipidomys macrurus,"1976730",Parque Nacional Da Chapada Dos Veadeiros,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,2405.849
Rhipidomys macrurus,"1976730",Parque Nacional Das Emas,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,1327.851
Rhipidomys macrurus,"1976730",Parque Nacional Da Serra Da Canastra,Parque,Park,II,"1972",Federal or national ministry or agency,BR-MG,1979.707
Rhipidomys macrurus,"1976730",Estação Ecológica De Uruçuí-Una,Estação Ecológica,Ecological Station,Ia,"1981",Federal or national ministry or agency,BR-PI,1351.249
Rhipidomys macrurus,"1976730",Parque Nacional Grande Sertão Veredas,Parque,Park,II,"1989",Federal or national ministry or agency,BR-MG,2308.540
Rhipidomys macrurus,"1976730",Parque Nacional Serra Das Confusões,Parque,Park,II,"1998",Federal or national ministry or agency,BR-PI,8238.452
Rhipidomys macrurus,"1976730",Parque Nacional Das Sempre Vivas,Parque,Park,II,"2002",Federal or national ministry or agency,BR-MG,1241.555
Rhipidomys macrurus,"1976730",Refugio De Vida Silvestre Veredas Do Oeste Baiano,Refugio de Vida Silvestre,Wildlife Refuge,III,"2002",Federal or national ministry or agency,BR-BA,1280.497
Rhipidomys macrurus,"1976730",Estacao Ecologica Serra Geral Do Tocantins,Estação Ecológica,Ecological Station,Ia,"2001",Federal or national ministry or agency,"BR-BA, TO",7070.870
Rhipidomys macrurus,"1976730",Parque Nacional Das Nascentes Do Rio Parnaiba,Parque,Park,II,"2002",Federal or national ministry or agency,"BR-BA, TO, MA, PI",7497.698
Rhipidomys macrurus,"1976730",Parque Estadual Do Jalapão,Parque,Park,II,"2001",Sub-national ministry or agency,BR-TO,1589.719
Rhipidomys macrurus,"1976730",Parque Estadual Do Araguaiaa,Parque,Park,II,"2001",Sub-national ministry or agency,BR-MT,2299.207
Saltatricula atricollis,"4504410",Noel Kempff Mercado,Parque Nacional,National Park,II,"1979",Federal or national ministry or agency,"BO-B;BO-S",16172.036
Saltatricula atricollis,"4504410",Parque Nacional Do Araguaia,Parque,Park,II,"1959",Federal or national ministry or agency,BR-TO,5555.031
Saltatricula atricollis,"4504410",Parque Nacional Da Chapada Dos Veadeiros,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,2405.849
Saltatricula atricollis,"4504410",Parque Nacional Das Emas,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,1327.851
Saltatricula atricollis,"4504410",Parque Nacional Da Serra Da Canastra,Parque,Park,II,"1972",Federal or national ministry or agency,BR-MG,1979.707
Saltatricula atricollis,"4504410",Estação Ecológica De Uruçuí-Una,Estação Ecológica,Ecological Station,Ia,"1981",Federal or national ministry or agency,BR-PI,1351.249
Saltatricula atricollis,"4504410",Parque Nacional Grande Sertão Veredas,Parque,Park,II,"1989",Federal or national ministry or agency,BR-MG,2308.540
Saltatricula atricollis,"4504410",Parque Estadual Serra Santa Bárbara,Parque,Park,II,"1997",Sub-national ministry or agency,BR-MT,1204.319
