"species","X","latitude","longitude","prot_perc_cat"
"Adenomera cotuba*",1,-9.4047,-49.9831,"<5%"
"Adenomera cotuba*",2,-12.1308,-49.1742,"<5%"
"Adenomera cotuba*",3,-12.1308,-49.1739,"<5%"
"Adenomera cotuba*",4,-16.6786,-49.2539,"<5%"
"Adenomera cotuba*",5,-13.4983,-48.3484,"<5%"
"Adenomera cotuba*",6,-10.2964,-48.1283,"<5%"
"Adenomera cotuba*",7,-12.5894,-47.8436,"<5%"
"Adenomera cotuba*",8,-12.4474,-45.1653,"<5%"
"Adenomera cotuba*",9,-13.8667,-47.25,"<5%"
"Adenomera cotuba*",10,-14.5333,-49.25,"<5%"
"Adenomera saci",11,-14.0503,-52.3449,"<5%"
"Adenomera saci",12,-11.221,-46.8857,"<5%"
"Adenomera saci",13,-17.25,-53.33,"<5%"
"Adenomera saci",14,-14.1667,-47.7833,"<5%"
"Adenomera saci",15,-14.1622,-47.5233,"<5%"
"Adenomera saci",16,-14.1825,-47.5347,"<5%"
"Adenomera saci",17,-14.805,-50.9367,"<5%"
"Adenomera saci",18,-7.8283,-48.5972,"<5%"
"Adenomera saci",19,-15.7,-52.27,"<5%"
"Adenomera saci",20,-15.63,-48.06,"<5%"
"Adenomera saci",21,-9.3723,-49.843,"<5%"
"Adenomera saci",22,-18.98,-52.17,"<5%"
"Adenomera saci",23,-13.8683,-51.1471,"<5%"
"Adenomera saci",24,-13.9903,-48.0922,"<5%"
"Adenomera saci",25,-17.65,-55.22,"<5%"
"Adenomera saci",26,-16.6,-47.55,"<5%"
"Adenomera saci",27,-11.88,-49.63,"<5%"
"Adenomera saci",28,-8.7385,-48.4411,"<5%"
"Adenomera saci",29,-8.6077,-48.3038,"<5%"
"Adenomera saci",30,-8.6194,-48.3297,"<5%"
"Adenomera saci",31,-8.6169,-48.3202,"<5%"
"Adenomera saci",32,-11.1356,-48.4038,"<5%"
"Adenomera saci",33,-11.0356,-50.16,"<5%"
"Adenomera saci",34,-10.88,-49.74,"<5%"
"Adenomera saci",35,-10.7022,-46.7728,"<5%"
"Adenomera saci",36,-13.4983,-48.3484,"<5%"
"Adenomera saci",37,-17.6134,-52.7643,"<5%"
"Adenomera saci",38,-12.3156,-50.8885,"<5%"
"Adenomera saci",39,-10.1891,-48.1085,"<5%"
"Adenomera saci",40,-10.2181,-48.1532,"<5%"
"Adenomera saci",41,-10.5485,-48.484,"<5%"
"Adenomera saci",42,-10.3319,-50.792,"<5%"
"Adenomera saci",43,-12.2605,-48.4105,"<5%"
"Adenomera saci",44,-12.288,-48.4155,"<5%"
"Adenomera saci",45,-13.9497,-51.9184,"<5%"
"Adenomera saci",46,-14.15,-48.39,"<5%"
"Adenomera saci",47,-6.7911,-45.4736,"<5%"
"Adenomera saci",48,-18.22,-52.84,"<5%"
"Adenomera saci",49,-10.45,-48.4,"<5%"
"Adenomera saci",50,-10.1166,-48.4166,"<5%"
"Adenomera saci",51,-10.0833,-48.45,"<5%"
"Adenomera saci",52,-14.2,-46.31,"<5%"
"Adenomera saci",53,-12.8,-51.68,"<5%"
"Alectrurus tricolor",63,-16.3333,-48.9667,"<5%"
"Alectrurus tricolor",64,-22.8833,-49.25,"<5%"
"Alectrurus tricolor",65,-14.1335,-47.5104,"<5%"
"Alectrurus tricolor",66,-15.5333,-48.0667,"<5%"
"Alectrurus tricolor",67,-20.4715,-55.7875,"<5%"
"Alectrurus tricolor",68,-21.95,-45.8833,"<5%"
"Alectrurus tricolor",69,-21.9475,-44.1914,"<5%"
"Alectrurus tricolor",70,-21.1215,-56.4825,"<5%"
"Alectrurus tricolor",71,-15.7805,-47.9304,"<5%"
"Alectrurus tricolor",72,-23.7167,-48.5167,"<5%"
"Alectrurus tricolor",73,-15.4167,-55.8,"<5%"
"Alectrurus tricolor",74,-18.4085,-52.5494,"<5%"
