"species","X","latitude","longitude","prot_perc_cat"
"Alectrurus tricolor",75,-23.8833,-48.7667,"<5%"
"Alectrurus tricolor",76,-18.5445,-53.1295,"<5%"
"Alectrurus tricolor",77,-22.6,-46.4833,"<5%"
"Alectrurus tricolor",78,-19.5,-50.5,"<5%"
"Alectrurus tricolor",79,-15.5333,-47.6167,"<5%"
"Alectrurus tricolor",80,-22.8,-49.2167,"<5%"
"Alectrurus tricolor",81,-22.6,-46.95,"<5%"
"Alectrurus tricolor",82,-15.7833,-47.9167,"<5%"
"Alectrurus tricolor",83,-15.95,-47.9333,"<5%"
"Alectrurus tricolor",84,-21.4667,-54.9667,"<5%"
"Alectrurus tricolor",85,-23.6333,-47.9667,"<5%"
"Alectrurus tricolor",86,-21.2833,-54.8167,"<5%"
"Alectrurus tricolor",87,-21.5333,-54.9833,"<5%"
"Alectrurus tricolor",88,-19.4333,-48,"<5%"
"Alectrurus tricolor",89,-21.7167,-44,"<5%"
"Alectrurus tricolor",90,-19.5,-56.2167,"<5%"
"Alectrurus tricolor",91,-22.1667,-47.9167,"<5%"
"Alectrurus tricolor",92,-15.8333,-46.5,"<5%"
"Alectrurus tricolor",93,-20.5333,-47.4,"<5%"
"Alectrurus tricolor",94,-20.4625,-47.1224,"<5%"
"Alectrurus tricolor",95,-24.05,-54.2,"<5%"
"Alectrurus tricolor",96,-19.0395,-47.9174,"<5%"
"Alectrurus tricolor",97,-23.4333,-47.6,"<5%"
"Alectrurus tricolor",98,-23.5333,-46.6167,"<5%"
"Alectrurus tricolor",99,-24.1167,-49.3333,"<5%"
"Alectrurus tricolor",100,-23.1,-48.6167,"<5%"
"Alectrurus tricolor",101,-22.2535,-47.8234,"<5%"
"Alectrurus tricolor",102,-24.25,-49.7,"<5%"
"Alectrurus tricolor",103,-19.6333,-43.8833,"<5%"
"Alectrurus tricolor",104,-19.8333,-47.95,"<5%"
"Alectrurus tricolor",105,-19.9965,-46.2264,"<5%"
"Alectrurus tricolor",106,-17.5695,-52.5514,"<5%"
"Alectrurus tricolor",107,-20.2333,-56.3667,"<5%"
"Alectrurus tricolor",108,-22.4333,-46.9667,"<5%"
"Alectrurus tricolor",109,-19.9667,-43.85,"<5%"
"Alectrurus tricolor",110,-16.9167,-50.7833,"<5%"
"Alectrurus tricolor",111,-19.7167,-44.8,"<5%"
"Alectrurus tricolor",112,-12.6167,-47.8667,"<5%"
"Alectrurus tricolor",113,-14.1167,-47.5167,"<5%"
"Alectrurus tricolor",114,-18,-52.75,"<5%"
"Alectrurus tricolor",115,-15.7167,-47.95,"<5%"
"Alectrurus tricolor",116,-23.6667,-54,"<5%"
"Alectrurus tricolor",117,-18.9445,-46.9934,"<5%"
"Alectrurus tricolor",118,-22.35,-48.7667,"<5%"
"Alectrurus tricolor",119,-22.7167,-47.6167,"<5%"
"Alectrurus tricolor",120,-15.6167,-47.6667,"<5%"
"Alectrurus tricolor",121,-15.9333,-47.8833,"<5%"
"Alectrurus tricolor",122,-18.8,-47.8833,"<5%"
"Alectrurus tricolor",123,-22.25,-47.8667,"<5%"
"Alectrurus tricolor",124,-19.8655,-47.4404,"<5%"
"Alectrurus tricolor",125,-16.3667,-45.0667,"<5%"
"Alectrurus tricolor",126,-20.2455,-46.3664,"<5%"
"Alectrurus tricolor",127,-20.25,-46.6167,"<5%"
"Alectrurus tricolor",128,-19.45,-44.2333,"<5%"
"Alectrurus tricolor",129,-15.8167,-48.05,"<5%"
"Alectrurus tricolor",130,-20.4425,-54.8605,"<5%"
"Alectrurus tricolor",131,-19.75,-47.9167,"<5%"
"Alectrurus tricolor",132,-19.7485,-47.9324,"<5%"
"Alectrurus tricolor",133,-16.2,-47.2833,"<5%"
"Alectrurus tricolor",134,-19.2,-43.95,"<5%"
"Alectrurus tricolor",135,-22.7833,-48.4,"<5%"
"Alectrurus tricolor",136,-13.7667,-68.05,"<5%"
"Alectrurus tricolor",137,-23.35,-55.9167,"<5%"
"Alectrurus tricolor",138,-26.4167,-55.6667,"<5%"
"Alectrurus tricolor",139,-22.6667,-57.35,"<5%"
"Alectrurus tricolor",140,-22.5,-57,"<5%"
"Alectrurus tricolor",141,-28,-58.0833,"<5%"
"Alectrurus tricolor",142,-27.4667,-58.8333,"<5%"
"Alectrurus tricolor",143,-14.8833,-66.85,"<5%"
"Alectrurus tricolor",144,-14.75,-66.5,"<5%"
"Alectrurus tricolor",145,-14.8667,-66.3167,"<5%"
"Alectrurus tricolor",146,-15.1667,-65.5,"<5%"
"Alectrurus tricolor",147,-24.45,-56.9833,"<5%"
"Alectrurus tricolor",148,-23.8167,-56.3,"<5%"
"Alectrurus tricolor",149,-23.9,-56.5667,"<5%"
"Alectrurus tricolor",150,-17.5833,-61.7667,"<5%"
"Alipiopsitta xanthops",151,-14.5333,-47.4333,"<5%"
"Alipiopsitta xanthops",152,-16.2045,-48.7074,"<5%"
"Alipiopsitta xanthops",153,-9.6215,-49.1514,"<5%"
"Alipiopsitta xanthops",154,-20.4485,-52.8784,"<5%"
"Alipiopsitta xanthops",155,-14.9865,-47.7844,"<5%"
"Alipiopsitta xanthops",156,-16.0825,-48.5074,"<5%"
"Alipiopsitta xanthops",157,-17.3155,-53.2155,"<5%"
"Alipiopsitta xanthops",158,-14.1335,-47.5104,"<5%"
"Alipiopsitta xanthops",159,-9.1115,-45.9304,"<5%"
"Alipiopsitta xanthops",160,-20.3215,-49.9114,"<5%"
"Alipiopsitta xanthops",161,-16.3275,-48.9534,"<5%"
"Alipiopsitta xanthops",162,-22.1535,-53.7715,"<5%"
"Alipiopsitta xanthops",163,-15.5333,-48.0667,"<5%"
"Alipiopsitta xanthops",164,-20.0875,-51.0944,"<5%"
"Alipiopsitta xanthops",165,-18.9655,-51.9264,"<5%"
"Alipiopsitta xanthops",166,-20.4715,-55.7875,"<5%"
"Alipiopsitta xanthops",167,-15.7345,-51.8314,"<5%"
"Alipiopsitta xanthops",168,-19.5935,-46.9414,"<5%"
"Alipiopsitta xanthops",169,-15.9167,-46.0667,"<5%"
"Alipiopsitta xanthops",170,-14.9205,-51.0834,"<5%"
"Alipiopsitta xanthops",171,-16.2795,-55.9585,"<5%"
"Alipiopsitta xanthops",172,-15.8905,-52.2574,"<5%"
"Alipiopsitta xanthops",173,-7.6895,-47.6834,"<5%"
"Alipiopsitta xanthops",174,-20.5575,-48.5684,"<5%"
"Alipiopsitta xanthops",175,-21.7145,-52.4225,"<5%"
"Alipiopsitta xanthops",176,-22.2955,-53.2715,"<5%"
"Alipiopsitta xanthops",177,-22.1095,-56.5215,"<5%"
"Alipiopsitta xanthops",178,-19.7167,-45.25,"<5%"
"Alipiopsitta xanthops",179,-16.5675,-45.9904,"<5%"
"Alipiopsitta xanthops",180,-21.1,-56.5167,"<5%"
"Alipiopsitta xanthops",181,-20.9667,-56.5,"<5%"
"Alipiopsitta xanthops",182,-21.1215,-56.4825,"<5%"
"Alipiopsitta xanthops",183,-21.2565,-52.0374,"<5%"
"Alipiopsitta xanthops",184,-17.0105,-46.0094,"<5%"
"Alipiopsitta xanthops",185,-15.7805,-47.9304,"<5%"
"Alipiopsitta xanthops",186,-15.2415,-51.1614,"<5%"
"Alipiopsitta xanthops",187,-15.6333,-46.4167,"<5%"
"Alipiopsitta xanthops",188,-17.3515,-44.9624,"<5%"
"Alipiopsitta xanthops",189,-14.3333,-55.9333,"<5%"
"Alipiopsitta xanthops",190,-17.7445,-48.6264,"<5%"
"Alipiopsitta xanthops",191,-14.3145,-49.1524,"<5%"
"Alipiopsitta xanthops",192,-17.6395,-47.7824,"<5%"
"Alipiopsitta xanthops",193,-20.4435,-54.6465,"<5%"
"Alipiopsitta xanthops",194,-19.0015,-46.3164,"<5%"
"Alipiopsitta xanthops",195,-18.5765,-47.8774,"<5%"
"Alipiopsitta xanthops",196,-9.2667,-49.7833,"<5%"
"Alipiopsitta xanthops",197,-20.5835,-46.9224,"<5%"
"Alipiopsitta xanthops",198,-18.1705,-47.9424,"<5%"
"Alipiopsitta xanthops",199,-13.7985,-47.4584,"<5%"
"Alipiopsitta xanthops",200,-12.6,-48.1,"<5%"
"Alipiopsitta xanthops",201,-12.1833,-46.8,"<5%"
"Alipiopsitta xanthops",202,-15.4615,-55.7505,"<5%"
"Alipiopsitta xanthops",203,-14.1167,-47.5167,"<5%"
"Alipiopsitta xanthops",204,-15.3065,-45.6184,"<5%"
"Alipiopsitta xanthops",205,-18.4085,-52.5494,"<5%"
"Alipiopsitta xanthops",206,-14.3975,-50.9964,"<5%"
"Alipiopsitta xanthops",207,-14.3833,-51,"<5%"
"Alipiopsitta xanthops",208,-15.7945,-48.7764,"<5%"
"Alipiopsitta xanthops",209,-14.1845,-44.5344,"<5%"
"Alipiopsitta xanthops",210,-19.8325,-54.8295,"<5%"
"Alipiopsitta xanthops",211,-18.4667,-47.2167,"<5%"
"Alipiopsitta xanthops",212,-18.4735,-47.2004,"<5%"
"Alipiopsitta xanthops",213,-19.8245,-45.9044,"<5%"
"Alipiopsitta xanthops",214,-14.5,-49.1667,"<5%"
"Alipiopsitta xanthops",215,-17.3833,-44.8,"<5%"
"Alipiopsitta xanthops",216,-14.4167,-56.05,"<5%"
"Alipiopsitta xanthops",217,-19.0095,-57.6535,"<5%"
"Alipiopsitta xanthops",218,-18.5445,-53.1295,"<5%"
"Alipiopsitta xanthops",219,-18.5,-54.75,"<5%"
"Alipiopsitta xanthops",220,-18.5075,-54.7605,"<5%"
"Alipiopsitta xanthops",221,-18.2167,-54.6667,"<5%"
"Alipiopsitta xanthops",222,-16.7695,-47.6144,"<5%"
"Alipiopsitta xanthops",223,-15.5833,-56.0833,"<5%"
"Alipiopsitta xanthops",224,-18.7565,-44.4314,"<5%"
"Alipiopsitta xanthops",225,-18.1535,-47.5624,"<5%"
"Alipiopsitta xanthops",226,-20.3445,-46.8544,"<5%"
"Alipiopsitta xanthops",227,-11.7,-46.7333,"<5%"
"Alipiopsitta xanthops",228,-9.8005,-49.2144,"<5%"
"Alipiopsitta xanthops",229,-16.6525,-46.2714,"<5%"
"Alipiopsitta xanthops",230,-18.4315,-47.6094,"<5%"
"Alipiopsitta xanthops",231,-22.2215,-54.8065,"<5%"
"Alipiopsitta xanthops",232,-19.2,-47.1333,"<5%"
"Alipiopsitta xanthops",233,-15.5333,-47.6167,"<5%"
"Alipiopsitta xanthops",234,-15.7833,-47.9167,"<5%"
"Alipiopsitta xanthops",235,-6.55,-47.4333,"<5%"
"Alipiopsitta xanthops",236,-15.95,-47.9333,"<5%"
"Alipiopsitta xanthops",237,-15.9833,-55.9167,"<5%"
"Alipiopsitta xanthops",238,-17.0667,-45.9,"<5%"
"Alipiopsitta xanthops",239,-21.45,-56.4333,"<5%"
"Alipiopsitta xanthops",240,-21.1,-56.2167,"<5%"
"Alipiopsitta xanthops",241,-16.25,-57.55,"<5%"
"Alipiopsitta xanthops",242,-18.4667,-57.3667,"<5%"
"Alipiopsitta xanthops",243,-18.9833,-56.65,"<5%"
"Alipiopsitta xanthops",244,-19.5833,-56.15,"<5%"
"Alipiopsitta xanthops",245,-15.8333,-46.5,"<5%"
"Alipiopsitta xanthops",246,-11.3,-48.9333,"<5%"
"Alipiopsitta xanthops",247,-15.9,-51.4,"<5%"
"Alipiopsitta xanthops",248,-14.4495,-47.0504,"<5%"
"Alipiopsitta xanthops",249,-15.5375,-47.3344,"<5%"
"Alipiopsitta xanthops",250,-14.9333,-46.2167,"<5%"
"Alipiopsitta xanthops",251,-11.7975,-49.5294,"<5%"
"Alipiopsitta xanthops",252,-17.4833,-47.3333,"<5%"
"Alipiopsitta xanthops",253,-17.5667,-47.1333,"<5%"
"Alipiopsitta xanthops",254,-19.8667,-47.8833,"<5%"
"Alipiopsitta xanthops",255,-20.5395,-47.4014,"<5%"
"Alipiopsitta xanthops",256,-22.4185,-54.2335,"<5%"
"Alipiopsitta xanthops",257,-16.6667,-49.2667,"<5%"
"Alipiopsitta xanthops",258,-8.7765,-48.9324,"<5%"
"Alipiopsitta xanthops",259,-18.8445,-46.7934,"<5%"
"Alipiopsitta xanthops",260,-16.3495,-53.7584,"<5%"
"Alipiopsitta xanthops",261,-19.4785,-46.5394,"<5%"
"Alipiopsitta xanthops",262,-20.4625,-47.1224,"<5%"
"Alipiopsitta xanthops",263,-20.4335,-51.3434,"<5%"
"Alipiopsitta xanthops",264,-19.7265,-51.9305,"<5%"
"Alipiopsitta xanthops",265,-17.0655,-43.3094,"<5%"
"Alipiopsitta xanthops",266,-15.0833,-44.1167,"<5%"
"Alipiopsitta xanthops",267,-20.6667,-51.5167,"<5%"
"Alipiopsitta xanthops",268,-17.2095,-54.1505,"<5%"
"Alipiopsitta xanthops",269,-22.3055,-53.8155,"<5%"
"Alipiopsitta xanthops",270,-13.6195,-44.4334,"<5%"
"Alipiopsitta xanthops",271,-15.9833,-55.0333,"<5%"
"Alipiopsitta xanthops",272,-15.9655,-54.9685,"<5%"
"Alipiopsitta xanthops",273,-21.4805,-56.1385,"<5%"
"Alipiopsitta xanthops",274,-17.8815,-51.7144,"<5%"
"Alipiopsitta xanthops",275,-17.75,-46.1667,"<5%"
"Alipiopsitta xanthops",276,-17.7435,-46.1734,"<5%"
"Alipiopsitta xanthops",277,-21.5155,-51.4344,"<5%"
"Alipiopsitta xanthops",278,-10.7945,-49.6244,"<5%"
"Alipiopsitta xanthops",279,-18.7795,-46.4084,"<5%"
"Alipiopsitta xanthops",280,-17.8355,-46.5144,"<5%"
"Alipiopsitta xanthops",281,-6.5833,-43.6167,"<5%"
"Alipiopsitta xanthops",282,-9.7965,-49.6544,"<5%"
"Alipiopsitta xanthops",283,-10.5167,-46.1,"<5%"
"Alipiopsitta xanthops",284,-10.5485,-46.4214,"<5%"
"Alipiopsitta xanthops",285,-15.4445,-50.7464,"<5%"
"Alipiopsitta xanthops",286,-19.9965,-46.2264,"<5%"
"Alipiopsitta xanthops",287,-17.5695,-52.5514,"<5%"
"Alipiopsitta xanthops",288,-18.7255,-47.4994,"<5%"
"Alipiopsitta xanthops",289,-21.2995,-51.5695,"<5%"
"Alipiopsitta xanthops",290,-10.7628,-48.1089,"<5%"
"Alipiopsitta xanthops",291,-17.4445,-51.1754,"<5%"
"Alipiopsitta xanthops",292,-21.1355,-55.8305,"<5%"
"Alipiopsitta xanthops",293,-14.4745,-48.4604,"<5%"
"Alipiopsitta xanthops",294,-21.4665,-54.3845,"<5%"
"Alipiopsitta xanthops",295,-22.2335,-53.3435,"<5%"
"Alipiopsitta xanthops",296,-14.0995,-50.3274,"<5%"
"Alipiopsitta xanthops",297,-19.1365,-47.6834,"<5%"
"Alipiopsitta xanthops",298,-19.1333,-47.6833,"<5%"
"Alipiopsitta xanthops",299,-14.6735,-52.3534,"<5%"
"Alipiopsitta xanthops",300,-12.2905,-50.9684,"<5%"
"Alipiopsitta xanthops",301,-14.9065,-53.0184,"<5%"
"Alipiopsitta xanthops",302,-20.6833,-44.8167,"<5%"
"Alipiopsitta xanthops",303,-18.2345,-47.8394,"<5%"
"Alipiopsitta xanthops",304,-10.1675,-48.3334,"<5%"
"Alipiopsitta xanthops",305,-7.8605,-47.9264,"<5%"
"Alipiopsitta xanthops",306,-21.3565,-51.8605,"<5%"
"Alipiopsitta xanthops",307,-17.2225,-46.8754,"<5%"
"Alipiopsitta xanthops",308,-14.4325,-54.0514,"<5%"
"Alipiopsitta xanthops",309,-10.2167,-44.6333,"<5%"
"Alipiopsitta xanthops",310,-18.1,-53.3,"<5%"
"Alipiopsitta xanthops",311,-10.4667,-46.3167,"<5%"
"Alipiopsitta xanthops",312,-20.3833,-54.5833,"<5%"
"Alipiopsitta xanthops",313,-19.2,-48.1333,"<5%"
"Alipiopsitta xanthops",314,-18,-52.75,"<5%"
"Alipiopsitta xanthops",315,-10,-45.8,"<5%"
"Alipiopsitta xanthops",316,-15.7167,-47.95,"<5%"
"Alipiopsitta xanthops",317,-15.35,-45.8333,"<5%"
"Alipiopsitta xanthops",318,-18.5795,-46.5184,"<5%"
"Alipiopsitta xanthops",319,-18.9445,-46.9934,"<5%"
"Alipiopsitta xanthops",320,-20.2575,-47.4774,"<5%"
"Alipiopsitta xanthops",321,-18.1015,-54.5525,"<5%"
"Alipiopsitta xanthops",322,-12.0255,-48.5394,"<5%"
"Alipiopsitta xanthops",323,-19.3535,-47.2934,"<5%"
"Alipiopsitta xanthops",324,-17.3455,-44.9424,"<5%"
"Alipiopsitta xanthops",325,-17.35,-44.9333,"<5%"
"Alipiopsitta xanthops",326,-15.8525,-48.9594,"<5%"
"Alipiopsitta xanthops",327,-10.4435,-49.1824,"<5%"
"Alipiopsitta xanthops",328,-15.4535,-47.6144,"<5%"
"Alipiopsitta xanthops",329,-15.9345,-52.3174,"<5%"
"Alipiopsitta xanthops",330,-17.8155,-50.1644,"<5%"
"Alipiopsitta xanthops",331,-20.1167,-47.9667,"<5%"
"Alipiopsitta xanthops",332,-10.7085,-48.4174,"<5%"
"Alipiopsitta xanthops",333,-15.65,-56.2,"<5%"
"Alipiopsitta xanthops",334,-21.7635,-52.1165,"<5%"
"Alipiopsitta xanthops",335,-18.4185,-46.4184,"<5%"
"Alipiopsitta xanthops",336,-21.8765,-51.8445,"<5%"
"Alipiopsitta xanthops",337,-15.9333,-47.8833,"<5%"
"Alipiopsitta xanthops",338,-18.95,-48.2,"<5%"
"Alipiopsitta xanthops",339,-16.2305,-45.9924,"<5%"
"Alipiopsitta xanthops",340,-20.4435,-53.7595,"<5%"
"Alipiopsitta xanthops",341,-12.9425,-51.8244,"<5%"
"Alipiopsitta xanthops",342,-20.0815,-47.4214,"<5%"
"Alipiopsitta xanthops",343,-15.9167,-52.25,"<5%"
"Alipiopsitta xanthops",344,-11.4005,-46.8834,"<5%"
"Alipiopsitta xanthops",345,-13.5,-51.3833,"<5%"
"Alipiopsitta xanthops",346,-19.4495,-54.9875,"<5%"
"Alipiopsitta xanthops",347,-12.0833,-46.7667,"<5%"
"Alipiopsitta xanthops",348,-19.1945,-46.2474,"<5%"
"Alipiopsitta xanthops",349,-11.35,-43.8667,"<5%"
"Alipiopsitta xanthops",350,-17.7985,-50.9284,"<5%"
"Alipiopsitta xanthops",351,-18.9185,-54.8445,"<5%"
"Alipiopsitta xanthops",352,-20.1795,-51.0024,"<5%"
"Alipiopsitta xanthops",353,-19.8655,-47.4404,"<5%"
"Alipiopsitta xanthops",354,-15.65,-53.9,"<5%"
"Alipiopsitta xanthops",355,-20.0895,-50.9544,"<5%"
"Alipiopsitta xanthops",356,-20.2115,-50.9264,"<5%"
"Alipiopsitta xanthops",357,-17.8145,-50.5974,"<5%"
"Alipiopsitta xanthops",358,-19.3095,-47.5254,"<5%"
"Alipiopsitta xanthops",359,-10.4705,-50.5034,"<5%"
"Alipiopsitta xanthops",360,-9.8333,-45.35,"<5%"
"Alipiopsitta xanthops",361,-15.8665,-56.0775,"<5%"
"Alipiopsitta xanthops",362,-15.85,-47.9333,"<5%"
"Alipiopsitta xanthops",363,-12.3635,-44.9734,"<5%"
"Alipiopsitta xanthops",364,-13.3985,-46.3184,"<5%"
"Alipiopsitta xanthops",365,-11.6175,-50.6694,"<5%"
"Alipiopsitta xanthops",366,-11.7,-50.7,"<5%"
"Alipiopsitta xanthops",367,-19.3955,-54.5665,"<5%"
"Alipiopsitta xanthops",368,-18.3385,-45.8334,"<5%"
"Alipiopsitta xanthops",369,-20.6415,-46.5064,"<5%"
"Alipiopsitta xanthops",370,-14.7,-47.5333,"<5%"
"Alipiopsitta xanthops",371,-21.2685,-51.6665,"<5%"
"Alipiopsitta xanthops",372,-11.0333,-45.5333,"<5%"
"Alipiopsitta xanthops",373,-13.2755,-50.1634,"<5%"
"Alipiopsitta xanthops",374,-5.0833,-48.4167,"<5%"
"Alipiopsitta xanthops",375,-16.3667,-45.0667,"<5%"
"Alipiopsitta xanthops",376,-20.2455,-46.3664,"<5%"
"Alipiopsitta xanthops",377,-20.3675,-51.4194,"<5%"
"Alipiopsitta xanthops",378,-15.65,-57.2167,"<5%"
"Alipiopsitta xanthops",379,-10.2667,-48.3667,"<5%"
"Alipiopsitta xanthops",380,-19.1115,-46.6904,"<5%"
"Alipiopsitta xanthops",381,-15.6333,-47.8167,"<5%"
"Alipiopsitta xanthops",382,-17.5775,-54.7585,"<5%"
"Alipiopsitta xanthops",383,-12.4167,-46.4333,"<5%"
"Alipiopsitta xanthops",384,-19.9225,-46.8234,"<5%"
"Alipiopsitta xanthops",385,-20.4425,-54.8605,"<5%"
"Alipiopsitta xanthops",386,-13.7765,-47.2654,"<5%"
"Alipiopsitta xanthops",387,-16.1995,-52.5564,"<5%"
"Alipiopsitta xanthops",388,-20.7833,-51.7,"<5%"
"Alipiopsitta xanthops",389,-20.7515,-51.6785,"<5%"
"Alipiopsitta xanthops",390,-18.2065,-45.2424,"<5%"
"Alipiopsitta xanthops",391,-19.7485,-47.9324,"<5%"
"Alipiopsitta xanthops",392,-18.9195,-48.2774,"<5%"
"Alipiopsitta xanthops",393,-16.3585,-46.9064,"<5%"
"Alipiopsitta xanthops",394,-16.0645,-46.2544,"<5%"
"Alipiopsitta xanthops",395,-16.1335,-45.7424,"<5%"
"Alipiopsitta xanthops",396,-14.8667,-55.7833,"<5%"
"Alipiopsitta xanthops",397,-17.5833,-44.7167,"<5%"
"Alipiopsitta xanthops",398,-17.9875,-46.9084,"<5%"
"Alipiopsitta xanthops",399,-6.7333,-43.75,"<5%"
"Alipiopsitta xanthops",400,-16.7425,-48.5164,"<5%"
"Alipiopsitta xanthops",401,-13.0667,-64.8167,"<5%"
"Allobates goianus",411,-14.1825,-47.5347,"<5%"
"Allobates goianus",412,-13.7597,-48.3086,"<5%"
"Allobates goianus",413,-14.3639,-48.5047,"<5%"
"Allobates goianus",414,-16.6026,-48.547,"<5%"
"Ameerega berohoka",418,-20.4511,-55.6211,"<1%"
"Ameerega berohoka",419,-16.4447,-51.3936,"<1%"
"Ameerega berohoka",420,-15.6915,-52.4134,"<1%"
"Ameerega berohoka",421,-19.793,-54.9311,"<1%"
"Ameerega berohoka",422,-17.0703,-54.9183,"<1%"
"Ameerega berohoka",423,-17.5694,-52.5511,"<1%"
"Ameerega berohoka",424,-14.5924,-52.409,"<1%"
"Ameerega berohoka",425,-16.4269,-51.8222,"<1%"
"Ameerega berohoka",426,-19.5754,-54.8935,"<1%"
"Ameerega berohoka",427,-19.1002,-54.7858,"<1%"
"Ameerega berohoka",428,-17.2442,-53.069,"<1%"
"Ameerega flavopicta",441,-20.8636,-46.388,"<5%"
"Ameerega flavopicta",442,-14.1825,-47.5347,"<5%"
"Ameerega flavopicta",443,-14.1852,-47.7896,"<5%"
"Ameerega flavopicta",444,-19.9022,-43.9597,"<5%"
"Ameerega flavopicta",445,-15.7807,-47.7968,"<5%"
"Ameerega flavopicta",446,-15.7797,-47.9297,"<5%"
"Ameerega flavopicta",447,-17.7085,-48.6454,"<5%"
"Ameerega flavopicta",448,-13.6346,-47.6957,"<5%"
"Ameerega flavopicta",449,-19.4405,-43.7183,"<5%"
"Ameerega flavopicta",450,-19.5136,-43.7447,"<5%"
"Ameerega flavopicta",451,-17.6049,-45.9343,"<5%"
"Ameerega flavopicta",452,-16.4812,-47.9918,"<5%"
"Ameerega flavopicta",453,-13.9946,-49.3937,"<5%"
"Ameerega flavopicta",454,-13.4983,-48.3484,"<5%"
"Ameerega flavopicta",455,-14.4981,-48.4012,"<5%"
"Ameerega flavopicta",456,-8.0618,-55.6116,"<5%"
"Ameerega flavopicta",457,-17.1737,-46.8838,"<5%"
"Ameerega flavopicta",458,-12.6953,-47.8117,"<5%"
"Ameerega flavopicta",459,-12.5919,-47.8769,"<5%"
"Ameerega flavopicta",460,-12.5719,-47.8769,"<5%"
"Ameerega flavopicta",461,-6.0675,-49.9022,"<5%"
"Ameerega flavopicta",462,-20.1389,-47.3086,"<5%"
"Ameerega flavopicta",463,-15.8106,-49.0132,"<5%"
