"species","X","latitude","longitude","prot_perc_cat"
"Allobates brunneus",402,-15.1355,-55.5182,"0%"
"Allobates brunneus",403,-15.2728,-55.5803,"0%"
"Allobates brunneus",404,-15.2419,-55.4919,"0%"
"Allobates brunneus",405,-15.2667,-55.5311,"0%"
"Allobates brunneus",406,-14.9458,-55.7425,"0%"
"Allobates brunneus",407,-14.9489,-55.7478,"0%"
"Allobates brunneus",408,-14.9542,-55.7092,"0%"
"Allobates brunneus",409,-14.9564,-55.6947,"0%"
"Allobates brunneus",410,-14.9631,-55.6919,"0%"
"Alopoglossus collii*",415,-11.8626,-60.9383,"0%"
"Alopoglossus collii*",416,-12.122,-60.2775,"0%"
"Alopoglossus collii*",417,-15.3173,-58.8619,"0%"
"Ameiva parecis",490,-12.5353,-60.4267,"0%"
"Amphisbaena absaberi",513,-16.1667,-57.2333,"0%"
"Amphisbaena bedai",524,-20.7677,-55.6076,"0%"
"Amphisbaena bedai",525,-20.4667,-55.7833,"0%"
"Amphisbaena bedai",526,-21.45,-56.1,"0%"
"Amphisbaena brevis",527,-14.9557,-55.8662,"0%"
"Amphisbaena filiformis*",540,-7.2458,-47.7675,"0%"
"Amphisbaena filiformis*",541,-6.5869,-47.4608,"0%"
"Amphisbaena maranhensis",555,-7.1525,-45.3039,"0%"
"Amphisbaena mebengokre*",556,-16.4569,-51.3781,"0%"
"Amphisbaena persephone*",558,-13.8833,-45.7,"0%"
"Amphisbaena saxosa",561,-9.75,-48.35,"0%"
"Apostolepis adhara*",890,-12.8053,-48.2199,"0%"
"Apostolepis cerradoensis",1272,-13.8098,-48.3491,"0%"
"Apostolepis kikoi*",1313,-15.2766,-58.5344,"0%"
"Apostolepis kikoi*",1314,-15.3311,-58.5105,"0%"
"Apostolepis kikoi*",1315,-14.8811,-55.7781,"0%"
"Apostolepis kikoi*",1316,-15.3775,-58.0763,"0%"
"Apostolepis lineata",1317,-15.4702,-55.7321,"0%"
"Apostolepis serrana",1375,-12.85,-51.7667,"0%"
"Apostolepis striata",1376,-12.6137,-60.0881,"0%"
"Apostolepis tertulianobeui*",1377,-13.5,-48.35,"0%"
"Apostolepis tertulianobeui*",1378,-11.5224,-50.6629,"0%"
"Apostolepis tertulianobeui*",1379,-23.55,-47.1833,"0%"
"Apostolepis tertulianobeui*",1380,-18.9186,-48.2772,"0%"
"Atractus edioi",1799,-13.5333,-48.2417,"0%"
"Atractus stygius*",1999,-12.4972,-57.875,"0%"
"Atractus stygius*",2000,-11.4601,-55.3302,"0%"
"Atractus stygius*",2001,-9.85,-58.2333,"0%"
"Atractus stygius*",2002,-15.3333,-58.8667,"0%"
"Atractus stygius*",2003,-13.2167,-59.0267,"0%"
"Bachia cacerensis",2082,-16.3863,-57.917,"0%"
"Bachia didactyla",2083,-13.5329,-58.7996,"0%"
"Bachia didactyla",2084,-13.0333,-58.2833,"0%"
"Bachia didactyla",2085,-12.7333,-60.1333,"0%"
"Bachia micromela",2091,-8.6333,-48.4167,"0%"
"Bachia psamophila",2097,-10.0333,-48.3833,"0%"
"Boana stenocephala",2353,-21.80754425,-46.5631165,"0%"
"Boana stenocephala",2354,-19.90466186,-47.26610604,"0%"
"Boana stenocephala",2355,-21.8075,-46.5631,"0%"
"Bokermannohyla izecksohni*",2384,-22.86220891,-48.46785113,"0%"
"Bokermannohyla napolii",2398,-19.2,-47.1333,"0%"
"Bokermannohyla napolii",2399,-19.3265,-45.9757,"0%"
"Bokermannohyla napolii",2400,-19.2676,-46.0337,"0%"
"Bokermannohyla ravida",2412,-18.4167,-46.4167,"0%"
"Chiasmocleis centralis",4248,-14.805,-50.9367,"0%"
"Ctenomys bicolor",4788,-12.5833,-54.8167,"0%"
"Ctenomys bicolor",4789,-13.8667,-55.2667,"0%"
"Ctenomys bicolor",4790,-14.8667,-57.2833,"0%"
"Ctenomys bicolor",4791,-12.95,-54.9167,"0%"
"Ctenomys bicolor",4792,-12.9,-54.8333,"0%"
"Ctenomys bicolor",4793,-14.2167,-57.6833,"0%"
"Ctenomys bicolor",4794,-11.9167,-61.0833,"0%"
"Ctenomys bicolor",4795,-12.2167,-60.6833,"0%"
"Dendropsophus araguaya",5905,-17.3,-53.2,"0%"
"Dendropsophus araguaya",5906,-17.4445,-53.4683,"0%"
"Dendropsophus araguaya",5907,-17.57,-53.35,"0%"
"Dendropsophus araguaya",5908,-17.51,-53.25,"0%"
"Dendropsophus araguaya",5909,-17.79,-53.24,"0%"
"Dendropsophus araguaya",5910,-17.6134,-52.7643,"0%"
"Dendropsophus araguaya",5911,-17.72,-53.18,"0%"
"Dendropsophus araguaya",5912,-17.2442,-53.069,"0%"
"Dendropsophus cerradensis",5913,-20.5958,-53.5435,"0%"
"Dendropsophus cerradensis",5914,-20.4333,-53.75,"0%"
"Dendropsophus rhea",6079,-21.9951,-47.3895,"0%"
"Dendropsophus rhea",6080,-21.9833,-47.4167,"0%"
"Elachistocleis bumbameuboi",6388,-7.3636,-47.4053,"0%"
"Elachistocleis bumbameuboi",6389,-2.5333,-44.3,"0%"
"Helicops boitata*",7125,-16.4225,-56.67,"0%"
"Kerodon acrobata",7656,-13.8333,-46.8333,"0%"
"Kerodon acrobata",7657,-13.85,-46.9333,"0%"
"Kerodon acrobata",7658,-13.0711,-46.7389,"0%"
"Kerodon acrobata",7659,-13.2667,-46.8,"0%"
"Kerodon acrobata",7660,-11.6167,-46.8167,"0%"
"Kerodon acrobata",7661,-12.65,-46.4667,"0%"
"Leposternon cerradensis",7727,-18.6634,-51.8716,"0%"
"Leposternon mineiro*",7731,-17.3511,-44.9622,"0%"
"Leposternon mineiro*",7732,-17.7631,-46.1533,"0%"
"Liotyphlops schubarti",7916,-21.9961,-47.4258,"0%"
"Liotyphlops schubarti",7917,-21.0256,-47.3739,"0%"
"Monodelphis sanctaerosae",8506,-15.8333,-61.45,"0%"
"Monodelphis sanctaerosae",8507,-14.8667,-55.8,"0%"
"Oxymycterus itapeby",9100,-23.5833,-46.9667,"0%"
"Oxymycterus itapeby",9101,-24.1833,-49.6,"0%"
"Oxymycterus itapeby",9102,-24.25,-49.9333,"0%"
"Pristimantis ventrigranulosus",11030,-18.02,-53.2,"0%"
"Pristimantis ventrigranulosus",11031,-15.85,-52.19,"0%"
"Pristimantis ventrigranulosus",11032,-16.5893,-51.7949,"0%"
"Pristimantis ventrigranulosus",11033,-16.5897,-51.7953,"0%"
"Pristimantis ventrigranulosus",11034,-17.25,-53.12,"0%"
"Proceratophrys bagnoi",11035,-13.8299,-48.3214,"0%"
"Proceratophrys bagnoi",11036,-13.751,-48.3022,"0%"
"Proceratophrys bagnoi",11037,-14.4333,-48.45,"0%"
"Proceratophrys carranca",11056,-17.4036,-45.06,"0%"
"Proceratophrys huntingtoni",11095,-14.8667,-55.8,"0%"
"Proceratophrys huntingtoni",11096,-14.0751,-55.5959,"0%"
"Proceratophrys huntingtoni",11097,-16.4825,-55.4364,"0%"
