"species","X","latitude","longitude","prot_perc_cat"
"Apostolepis assimilis*",970,-20.9131,-54.2497,"<1%"
"Apostolepis assimilis*",971,-20.4977,-54.6342,"<1%"
"Apostolepis assimilis*",972,-20.4749,-54.6191,"<1%"
"Apostolepis assimilis*",973,-20.4485,-54.5669,"<1%"
"Apostolepis assimilis*",974,-20.4412,-54.5903,"<1%"
"Apostolepis assimilis*",975,-20.4095,-54.6166,"<1%"
"Apostolepis assimilis*",976,-23.2419,-47.5656,"<1%"
"Apostolepis assimilis*",977,-20.7336,-47.2,"<1%"
"Apostolepis assimilis*",978,-23.2,-46.7833,"<1%"
"Apostolepis assimilis*",979,-23.2083,-46.7167,"<1%"
"Apostolepis assimilis*",980,-22.7394,-45.5914,"<1%"
"Apostolepis assimilis*",981,-22.7333,-45.5833,"<1%"
"Apostolepis assimilis*",982,-22.6833,-45.4667,"<1%"
"Apostolepis assimilis*",983,-23.5333,-46.8333,"<1%"
"Apostolepis assimilis*",984,-23.5167,-46.8333,"<1%"
"Apostolepis assimilis*",985,-23.5225,-46.8356,"<1%"
"Apostolepis assimilis*",986,-19.1167,-51.7333,"<1%"
"Apostolepis assimilis*",987,-19.0945,-52.1803,"<1%"
"Apostolepis assimilis*",988,-21.9833,-44.9333,"<1%"
"Apostolepis assimilis*",989,-21.9772,-44.9325,"<1%"
"Apostolepis assimilis*",990,-15.4333,-55.75,"<1%"
"Apostolepis assimilis*",991,-15.4667,-55.75,"<1%"
"Apostolepis assimilis*",992,-15,-55.7333,"<1%"
"Apostolepis assimilis*",993,-22.4131,-45.7981,"<1%"
"Apostolepis assimilis*",994,-22.4167,-45.8,"<1%"
"Apostolepis assimilis*",995,-19.9833,-47.75,"<1%"
"Apostolepis assimilis*",996,-23.604,-46.919,"<1%"
"Apostolepis assimilis*",997,-15.5833,-56.0833,"<1%"
"Apostolepis assimilis*",998,-15.5961,-56.0967,"<1%"
"Apostolepis assimilis*",999,-15.5833,-56.1,"<1%"
"Apostolepis assimilis*",1000,-20.6708,-44.0656,"<1%"
"Apostolepis assimilis*",1001,-20.6667,-44.0667,"<1%"
"Apostolepis assimilis*",1002,-22.2,-46.75,"<1%"
"Apostolepis assimilis*",1003,-23.2833,-46.75,"<1%"
"Apostolepis assimilis*",1004,-23.325,-46.725,"<1%"
"Apostolepis assimilis*",1005,-22.6583,-45.8583,"<1%"
"Apostolepis assimilis*",1006,-22.6667,-45.85,"<1%"
