Classe,Nome.Científico,Nome.Científico.Anterior,Autor,Mês.Ano.Avaliação,Categoria,Critério,Bioma,Tendência.Populacional,Ameaça
Amphibia,Scinax haddadorum,,"Araujo-Vieira, Valdujo & Faivovich, 2016",Jun-17,DD,,Cerrado,Desconhecida,"2.1.3 - Agricultura agro-industriais
2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura
9.3.3 - Herbicidas e pesticidas
9.3 - Agrícola e florestal
9 - Poluição"
Amphibia,Pseudopaludicola facureae,Pseudopaludicola facureae,"Andrade & Carvalho, 2013",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Trachycephalus mambaiensis,Trachycephalus mambaiensis,"Cintra, Silva, Silva, Garcia & Zaher, 2009",Jun-17,LC,,Cerrado,Desconhecida,
Amphibia,Bokermannohyla sagarana,Bokermannohyla sagarana,"Leite, Pezzuti & Drummond, 2011",Jun-17,NT,,Cerrado,Desconhecida,"2.2 - Silvicultura
2.3 - Pecuária
2 - Agropecuária e Aquacultura
3.2.3 - Extração de minérios - subsolo
3.2 - Mineração
3 - Produção energética e mineração"
Amphibia,Proceratophrys huntingtoni,,"Ávila, Pansonato & Strüssmann, 2012",Jun-17,LC,,Cerrado,Desconhecida,"1.4 - Assentamentos rurais
1 - Desenvolvimento residencial e comercial
2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura
3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração"
Amphibia,Leptodactylus furnarius,Leptodactylus furnarius,"Sazima & Bokermann, 1978",May-18,LC,,"Caatinga, Cerrado, Mata Atlântica, Pampa",Desconhecida,
Amphibia,Pseudopaludicola ternetzi,Pseudopaludicola ternetzi,"Miranda-Ribeiro, 1937",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Adenomera saci,Adenomera saci,"Carvalho & Giaretta, 2013",Jun-17,LC,,Cerrado,Desconhecida,
Amphibia,Ameerega braccata,Ameerega braccata,"(Steindachner, 1864)",Jun-17,LC,,"Amazônia, Cerrado, Pantanal",Desconhecida,
Amphibia,Bokermannohyla izecksohni,Bokermannohyla izecksohni,"(Jim & Caramaschi, 1979)",Sep-17,DD,,Cerrado,Desconhecida,"1.1 - Expansão urbana
1 - Desenvolvimento residencial e comercial
2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura"
Amphibia,Rhinella cerradensis,Rhinella cerradensis,"Maciel, Brandão, Campos & Sebben, 2007",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Leptodactylus sertanejo,Leptodactylus sertanejo,"Giaretta & Costa, 2007",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Rhinella inopina,Rhinella inopina,"Vaz-Silva, Valdujo & Pombal, 2012",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Bokermannohyla sapiranga,,"Brandão, Magalhães, Garda, Campos, Sebben & Maciel, 2012",Jun-17,LC,,Cerrado,Desconhecida,"8.6 - Doenças de causas desconhecidas
8 - Espécies invasoras
problemáticas e doenças"
Amphibia,Bokermannohyla sazimai,Bokermannohyla sazimai,"(Cardoso & Andrade, 1982)",Jun-17,LC,,Cerrado,Desconhecida,
Amphibia,Dendropsophus anataliasiasi,Dendropsophus anataliasiasi,"(Bokermann, 1972)",Jun-17,LC,,Cerrado,Desconhecida,"7.1 - Incêndios e supressão de incêndios
7.2 - Represas e uso de água
7 - Modificações nos sistemas naturais"
Amphibia,Dendropsophus araguaya,Dendropsophus araguaya,"(Napoli & Caramaschi, 1998)",Jun-17,LC,,Cerrado,Desconhecida,
Amphibia,Elachistocleis bumbameuboi,Elachistocleis bumbameuboi,"Caramaschi, 2010",Jun-17,LC,,"Amazônia, Cerrado",Desconhecida,
Amphibia,Boana caiapo,,"Pinheiro, Cintra, Valdujo, Silva, Martins, Silva & Garcia, 2018",Sep-18,LC,,"Amazônia, Cerrado",Desconhecida,
Amphibia,Chiasmocleis albopunctata,Chiasmocleis albopunctata,"(Boettger, 1885)",Jun-17,LC,,"Amazônia, Cerrado, Mata Atlântica, Pantanal",Desconhecida,
Amphibia,Dendropsophus elianeae,Dendropsophus elianeae,"(Napoli & Caramaschi, 2000)",Jun-17,LC,,"Amazônia, Cerrado, Mata Atlântica, Pantanal",Desconhecida,
Amphibia,Dendropsophus jimi,Dendropsophus jimi,"(Napoli & Caramaschi, 1999)",Jun-17,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Adenomera cotuba,Adenomera cotuba,"Carvalho & Giaretta, 2013",Jun-17,LC,,Cerrado,Desconhecida,"2.1.3 - Agricultura agro-industriais
2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura
3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração"
Amphibia,Ameerega berohoka,Ameerega berohoka,"Vaz-Silva & Maciel, 2011",Jun-17,LC,,Cerrado,Desconhecida,
Amphibia,Ameerega flavopicta,Ameerega flavopicta,"(Lutz, 1925)",Jun-17,LC,,"Amazônia, Cerrado, Mata Atlântica",Desconhecida,"2 - Agropecuária e Aquacultura
3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração
7.1 - Incêndios e supressão de incêndios
7.2 - Represas e uso de água
7 - Modificações nos sistemas naturais"
Amphibia,Ameerega picta,Ameerega picta,"(Tschudi, 1838)",Jun-17,LC,,"Amazônia, Cerrado, Pantanal",Desconhecida,
Amphibia,Bokermannohyla ibitiguara,Bokermannohyla ibitiguara,"(Cardoso, 1983)",Jun-17,LC,,Cerrado,Desconhecida,
Amphibia,Bokermannohyla nanuzae,Bokermannohyla nanuzae,"(Bokermann & Sazima, 1973)",Jun-17,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Bokermannohyla pseudopseudis,Bokermannohyla pseudopseudis,"(Miranda-Ribeiro, 1937)",Jun-17,LC,,Cerrado,Desconhecida,"7.2 - Represas e uso de água
7 - Modificações nos sistemas naturais"
Amphibia,Bokermannohyla saxicola,Bokermannohyla saxicola,"(Bokermann, 1964)",Jun-17,LC,,"Caatinga, Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Rhinella rubescens,Rhinella rubescens,"(Lutz, 1925)",May-18,LC,,"Caatinga, Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Crossodactylus trachystomus,Crossodactylus trachystomus,"(Reinhardt & Lütken, 1862)",Jun-17,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Dendropsophus cruzi,Dendropsophus cruzi,"(Pombal & Bastos, 1998)",Jun-17,LC,,"Amazônia, Cerrado, Mata Atlântica",Desconhecida,"5.3 - Extração florestal
5 - Uso de recursos biológicos
7.2 - Represas e uso de água
7 - Modificações nos sistemas naturais"
Amphibia,Dendropsophus rubicundulus,Dendropsophus rubicundulus,"(Reinhardt & Lütken, 1862)",Jun-17,LC,,"Caatinga, Cerrado",Desconhecida,
Amphibia,Aplastodiscus lutzorum,,"Berneck, Giaretta, Brandão, Cruz, and Haddad, 2017",May-18,LC,,Cerrado,Desconhecida,"3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração"
Amphibia,Elachistocleis matogrosso,Elachistocleis matogrosso,"Caramaschi, 2010",Jun-17,LC,,"Cerrado, Pantanal",Desconhecida,
Amphibia,Physalaemus atim,,"Brasileiro & Haddad, 2015",Jun-17,LC,,Cerrado,Desconhecida,
Amphibia,Rhinella sebbeni,,"Vaz-Silva, Maciel, Bastos & Pombal, 2015",Jun-17,LC,,Cerrado,Desconhecida,
Amphibia,Rhinella scitula,Rhinella scitula,"(Caramaschi & Niemeyer, 2003)",May-18,LC,,"Cerrado, Mata Atlântica, Pantanal",Desconhecida,
Amphibia,Rhinella veredas,Rhinella veredas,"(Brandão, Maciel & Sebben, 2007)",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Boana stenocephala,Hypsiboas stenocephalus,"(Caramaschi & Cruz, 1999)",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Scinax constrictus,Scinax constrictus,"Lima, Bastos & Giaretta, 2005",May-18,LC,,"Cerrado, Mata Atlântica, Pantanal",Desconhecida,"2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura"
Amphibia,Odontophrynus monachus,Odontophrynus monachus,"Caramaschi & Napoli, 2012",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Pithecopus araguaius,,"Haga, Andrade, Bruschi, Recco-Pimentel & Giaretta, 2017",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Oreobates heterodactylus,Oreobates heterodactylus,"(Miranda-Ribeiro, 1937)",May-18,LC,,"Cerrado, Pantanal",Desconhecida,
Amphibia,Scinax curicica,Scinax curicica,"Pugliese, Pombal & Sazima, 2004",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Scinax canastrensis,Ololygon canastrensis,"(Cardoso & Haddad, 1982)",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,"5.3 - Extração florestal
5 - Uso de recursos biológicos
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Amphibia,Scinax centralis,Ololygon centralis,"Pombal & Bastos, 1996",May-18,LC,,Cerrado,Desconhecida,"2.1.1 - Agricultura de rotação
2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura"
Amphibia,Scinax maracaya,Scinax maracaya,"(Cardoso & Sazima, 1980)",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,"3.2 - Mineração
3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração"
Amphibia,Scinax pombali,Ololygon pombali,"Lourenço, Carvalho, Baêta, Pezzuti & Leite, 2013",May-18,DD,,Cerrado,Desconhecida,"2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura"
Amphibia,Scinax skaios,Ololygon skaios,"Pombal, Carvalho, Canelas & Bastos, 2010",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Phasmahyla jandaia,Phasmahyla jandaia,"(Bokermann & Sazima, 1978)",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,"3.2 - Mineração
3 - Produção energética e mineração"
Amphibia,Pseudopaludicola mineira,Pseudopaludicola mineira,"Lobo, 1994",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,"1.2 - Áreas comerciais e industriais
1 - Desenvolvimento residencial e comercial
6.1 - Atividades recreacionais/turísticas
6 - Distúrbios humanos
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Amphibia,Scinax rogerioi,Scinax rogerioi,"Pugliesi, Baêta & Pombal, 2009",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Physalaemus evangelistai,Physalaemus evangelistai,"Bokermann, 1967",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Physalaemus marmoratus,Physalaemus marmoratus,"(Reinhardt & Lütken, 1862)",May-18,LC,,"Cerrado, Mata Atlântica, Pantanal",Desconhecida,
Amphibia,Pithecopus ayeaye,Pithecopus ayeaye,"Lutz, 1966",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,"2.1.3 - Agricultura agro-industriais
2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura
3.2.3 - Extração de minérios - subsolo
3.2 - Mineração
3 - Produção energética e mineração
5.3 - Extração florestal
5 - Uso de recursos biológicos
9.3.3 - Herbicidas e pesticidas
9.3 - Agrícola e florestal
9 - Poluição"
Amphibia,Bokermannohyla alvarengai,Bokermannohyla alvarengai,"(Bokermann, 1956)",Sep-18,LC,,"Caatinga, Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Pithecopus megacephalus,Phyllomedusa megacephala,"(Miranda-Ribeiro, 1926)",May-18,LC,,"Caatinga, Cerrado, Mata Atlântica",Desconhecida,"6.1 - Atividades recreacionais/turísticas
6 - Distúrbios humanos"
Amphibia,Pithecopus oreades,Phyllomedusa oreades,"(Brandão, 2002)",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Scinax rossaferesae,,"Conte, Araujo-Vieira, Crivellari & Berneck, 2016",Sep-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,"2.1.4 - Agricultura de escala desconhecida
2.1 - Culturas anuais e perenes não-madeireiras
2.3.4 - Pecuária em escala desconhecida
2.3 - Pecuária
2 - Agropecuária e Aquacultura
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Amphibia,Boana botumirim,Hypsiboas botumirim,"(Caramaschi, Cruz, and Nascimento, 2009)",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Boana cipoensis,Hypsiboas cipoensis,"(Lutz, 1968)",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Pristimantis dundeei,Pristimantis dundeei,"(Heyer & Muñoz, 1999)",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Boana ericae,Hypsiboas ericae,"(Caramaschi & Cruz, 2000)",May-18,LC,,Cerrado,Desconhecida,"3.2 - Mineração
3 - Produção energética e mineração
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Amphibia,Boana goiana,Hypsiboas goianus,"(Lutz, 1968)",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Boana jaguariaivensis,Hypsiboas jaguariaivensis,"(Caramaschi, Cruz & Segalla, 2010)",May-18,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Amphibia,Pristimantis ventrigranulosus,Pristimantis ventrigranulosus,"Maciel, Vaz-Silva, de Oliveira & Padial, 2012",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Proceratophrys branti,Proceratophrys branti,"Brandão, Caramaschi, Vaz-Silva & Campos, 2013",May-18,LC,,Cerrado,Desconhecida,
Amphibia,Allobates brunneus,Allobates brunneus,"(Cope, 1887)",Jun-17,NT,,Cerrado,Desconhecida,"2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura
3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração
7.2.10 - Represas (grandes)
7.2 - Represas e uso de água
7 - Modificações nos sistemas naturais"
