species,rangesize,code,area_total,protected_range,prot_perc
Phalotris nasutus,"1511881","1","77538","8774",0.0058
Phasmahyla jandaia,"11924","1","77538","425",0.0356
Philodryas livida,"388737","1","77538","1995",0.0051
Phalotris concolor,"17642","1","77538","154",0.0087
Phalotris labiomaculatus,"49626","1","77538","1296",0.0261
Phalotris lativittatus,"122868","1","77538","261",0.0021
Phalotris matogrossensis,"841607","1","77538","4806",0.0057
Physalaemus atim*,"583","1","77538","5",0.0086
Physalaemus centralis,"1826841","1","77538","39992",0.0219
Philodryas mattogrossensis,"724317","1","77538","4421",0.0061
Phyllomyias reiseri,"750210","1","77538","17866",0.0238
Phyllomys brasiliensis,"2411","1","77538","107",0.0444
Phylloscartes roquettei,"240589","1","77538","7195",0.0299
Bachia geralista,"26232","1","77538","2542",0.0969
Bachia oxyrhina,"309","1","77538","309",1.0000
Barycholos ternetzi,"724474","1","77538","22695",0.0313
Boana buriti,"15413","1","77538","43",0.0028
Atractus stygius*,"115675","1","77538","5",0.0000
Augastes scutatus,"53428","1","77538","3537",0.0662
Bachia bresslaui,"535404","1","77538","2949",0.0055
Bokermannohyla alvarengai,"28510","1","77538","1510",0.0530
Bokermannohyla ibitiguara,"1499","1","77538","891",0.5944
Bokermannohyla nanuzae,"9366","1","77538","552",0.0589
Bokermannohyla pseudopseudis,"19647","1","77538","2069",0.1053
Boana caiapo*,"262878","1","77538","9377",0.0357
Boana cipoensis,"7857","1","77538","374",0.0476
Boana goiana,"35423","1","77538","731",0.0206
Boana lundii,"988264","1","77538","13841",0.0140
Bothrops itapetiningae,"675437","1","77538","3188",0.0047
Bothrops marmoratus,"383515","1","77538","6706",0.0175
Bothrops moojeni,"2686680","1","77538","56071",0.0209
Bothrops pauloensis,"1776108","1","77538","16073",0.0090
Bokermannohyla sagarana,"63","1","77538","3",0.0476
Bokermannohyla sapiranga,"32737","1","77538","497",0.0152
Bokermannohyla saxicola,"33627","1","77538","2731",0.0812
