"species","rangeAnt","percNatCat","X","latitude","longitude"
"Bothrops itapetiningae",314614,"<30%",2486,-23.0972,-48.9047
"Bothrops itapetiningae",314614,"<30%",2487,-23.025,-48.8083
"Bothrops itapetiningae",314614,"<30%",2488,-23.099,-48.926
"Bothrops itapetiningae",314614,"<30%",2489,-21.1833,-48.15
"Bothrops itapetiningae",314614,"<30%",2490,-21.194,-48.164
"Bothrops itapetiningae",314614,"<30%",2491,-22.3167,-49.05
"Bothrops itapetiningae",314614,"<30%",2492,-22.3147,-49.0606
"Bothrops itapetiningae",314614,"<30%",2493,-22.3075,-48.9953
"Bothrops itapetiningae",314614,"<30%",2494,-22.315,-49.061
"Bothrops itapetiningae",314614,"<30%",2495,-23.1,-48.25
"Bothrops itapetiningae",314614,"<30%",2496,-22.525,-48.975
"Bothrops itapetiningae",314614,"<30%",2497,-22.8833,-48.45
"Bothrops itapetiningae",314614,"<30%",2498,-22.8904,-48.4553
"Bothrops itapetiningae",314614,"<30%",2499,-22.886,-48.445
"Bothrops itapetiningae",314614,"<30%",2500,-15.9769,-47.9327
"Bothrops itapetiningae",314614,"<30%",2501,-15.7667,-47.9167
"Bothrops itapetiningae",314614,"<30%",2462,-21.026,-47.374
"Bothrops itapetiningae",314614,"<30%",2463,-21.0256,-47.3739
"Bothrops itapetiningae",314614,"<30%",2464,-21.025,-47.3833
"Bothrops itapetiningae",314614,"<30%",2465,-22.569,-48.971
"Bothrops itapetiningae",314614,"<30%",2466,-16.0089,-47.9497
"Bothrops itapetiningae",314614,"<30%",2507,-22.2842,-48.1267
"Bothrops itapetiningae",314614,"<30%",2508,-22.2444,-47.9583
"Bothrops itapetiningae",314614,"<30%",2509,-20.7833,-47.2833
"Bothrops itapetiningae",314614,"<30%",2510,-20.4333,-54.6333
"Bothrops itapetiningae",314614,"<30%",2511,-22.7333,-50.3833
"Bothrops itapetiningae",314614,"<30%",2512,-24.9167,-50.0833
"Bothrops itapetiningae",314614,"<30%",2513,-25,-50.1125
"Bothrops itapetiningae",314614,"<30%",2514,-24.95,-50.1167
"Bothrops itapetiningae",314614,"<30%",2515,-20.0667,-49.0667
"Bothrops itapetiningae",314614,"<30%",2476,-24.175,-49.8667
"Bothrops itapetiningae",314614,"<30%",2477,-21.875,-48.0556
"Bothrops itapetiningae",314614,"<30%",2478,-21.8,-48.1667
"Bothrops itapetiningae",314614,"<30%",2479,-21.7944,-48.1756
"Bothrops itapetiningae",314614,"<30%",2520,-21.8667,-48.2667
"Bothrops itapetiningae",314614,"<30%",2521,-23.6833,-47.7333
"Bothrops itapetiningae",314614,"<30%",2522,-22.6,-48.9833
"Bothrops itapetiningae",314614,"<30%",2523,-16.7538,-47.6407
"Bothrops itapetiningae",314614,"<30%",2524,-18.9286,-48.8964
"Bothrops itapetiningae",314614,"<30%",2525,-24.0333,-49.1
"Bothrops itapetiningae",314614,"<30%",2526,-22.2791,-47.8053
"Bothrops itapetiningae",314614,"<30%",2527,-24.918,-50.097
"Bothrops itapetiningae",314614,"<30%",2528,-19.1183,-48.3538
"Bothrops itapetiningae",314614,"<30%",2529,-18.8953,-48.0852
"Bothrops itapetiningae",314614,"<30%",2530,-19.0233,-48.3119
"Bothrops itapetiningae",314614,"<30%",2531,-18.922,-48.8339
"Bothrops itapetiningae",314614,"<30%",2532,-20.5333,-47.4
"Bothrops itapetiningae",314614,"<30%",2533,-21.2894,-47.8853
"Bothrops itapetiningae",314614,"<30%",2534,-21.9,-47.0333
"Bothrops itapetiningae",314614,"<30%",2535,-21.9167,-48.05
"Bothrops itapetiningae",314614,"<30%",2536,-21.7667,-48.95
"Bothrops itapetiningae",314614,"<30%",2537,-21.75,-48.8167
