NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,REP_AREA,GIS_AREA,STATUS,STATUS_YR,SUB_LOC,PARENT_ISO,ISO3
Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima Iii,Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima Iii,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.0593044,0.059623626,Designated,2007,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Reserva Fazenda Recanto Das Águas Claras,Reserva Particular Do Patrimônio Natural Reserva Fazenda Recanto Das Águas Claras,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.115492,0.116110143,Designated,2007,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Nascentes Do Rio Araguaia,Reserva Particular Do Patrimônio Natural Nascentes Do Rio Araguaia,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,3.9006,3.921876448,Designated,2012,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Reserva Fazenda São Miguel Ii,Reserva Particular Do Patrimônio Natural Reserva Fazenda São Miguel Ii,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.0593745,0.059695796,Designated,2008,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Fazenda Calixto,Reserva Particular Do Patrimônio Natural Fazenda Calixto,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,3.43363,3.454958961,Designated,2009,BR-TO,BRA,BRA
Reserva Particular Do Patrimônio Natural Fazenda São Miguel,Reserva Particular Do Patrimônio Natural Fazenda São Miguel,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.343238,0.345095268,Designated,2008,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Ecocerrado Brasil,Reserva Particular Do Patrimônio Natural Ecocerrado Brasil,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.393794,0.395851331,Designated,2009,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Joaquim Theodoro De Moraes,Reserva Particular Do Patrimônio Natural Joaquim Theodoro De Moraes,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.559549,0.562509471,Designated,2007,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima Vi,Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima Vi,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.075068,0.075472227,Designated,2007,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima I,Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima I,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.289614,0.291173634,Designated,2007,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Reserva Fazenda São Bernardo Ii,Reserva Particular Do Patrimônio Natural Reserva Fazenda São Bernardo Ii,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.427756,0.430041127,Designated,2007,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Reserva Fazenda Hr - Douradinho,Reserva Particular Do Patrimônio Natural Reserva Fazenda Hr - Douradinho,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.225022,0.226227856,Designated,2007,BR-MG,BRA,BRA
Parque Natural Municipal Do Setor Santa Cruz,Parque Natural Municipal Do Setor Santa Cruz,Parque,Park,National,II,0.297573,0.299190353,Designated,2004,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Arara Vermelha,Reserva Particular Do Patrimônio Natural Arara Vermelha,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,2.54432,2.55904789,Designated,2005,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Tayná,Reserva Particular Do Patrimônio Natural Tayná,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.15515,0.155818569,Designated,2009,BR-PR,BRA,BRA
Reserva Particular Do Patrimônio Natural Cava Ii,Reserva Particular Do Patrimônio Natural Cava Ii,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.409243,0.41131867,Designated,2005,BR-SP,BRA,BRA
Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima Iv,Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima Iv,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.452117,0.454550891,Designated,2007,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Vila Amanda,Reserva Particular Do Patrimônio Natural Vila Amanda,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.343333,0.345143132,Designated,2005,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Parque Botânico Dos Kaiapós,Reserva Particular Do Patrimônio Natural Parque Botânico Dos Kaiapós,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.806975,0.811512055,Designated,2013,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Veredas Do Pratudinho,Reserva Particular Do Patrimônio Natural Veredas Do Pratudinho,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,22.38,22.51213707,Designated,2011,BR-BA,BRA,BRA
Parque Natural Municipal Do Tabuleiro,Parque Natural Municipal Do Tabuleiro,Parque,Park,National,II,30.8969,31.06067805,Designated,2013,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Santuário Das Pedras,Reserva Particular Do Patrimônio Natural Santuário Das Pedras,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.25606,0.257579707,Designated,2014,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Sonhada,Reserva Particular Do Patrimônio Natural Sonhada,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,8.86975,8.926110783,Designated,2010,BR-TO,BRA,BRA
Reserva Particular Do Patrimônio Natural Reserva Natural Do Tombador,Reserva Particular Do Patrimônio Natural Reserva Natural Do Tombador,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,87.1744,87.696346,Designated,2009,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Ponte De Pedra,Reserva Particular Do Patrimônio Natural Ponte De Pedra,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,1.068339996,1.074703769,Designated,2013,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Nascentes Do Rio Tocantins,Reserva Particular Do Patrimônio Natural Nascentes Do Rio Tocantins,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,2.69864,2.714652275,Designated,2011,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Soluar,Reserva Particular Do Patrimônio Natural Soluar,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.439515,0.442148928,Designated,2005,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Cachoeira Das Pedras Bonitas,Reserva Particular Do Patrimônio Natural Cachoeira Das Pedras Bonitas,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.92978,0.935296524,Designated,2005,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Catingueiro,Reserva Particular Do Patrimônio Natural Catingueiro,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.599437,0.603021287,Designated,2013,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Bico Do Javaés,Reserva Particular Do Patrimônio Natural Bico Do Javaés,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,27.62,27.79375753,Designated,2011,BR-TO,BRA,BRA
Reserva Particular Do Patrimônio Natural Canto Da Mata,Reserva Particular Do Patrimônio Natural Canto Da Mata,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.0362901,0.03649846,Designated,2009,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Maria Batista,Reserva Particular Do Patrimônio Natural Maria Batista,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.475756,0.478593994,Designated,2013,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Integra O Parque,Reserva Particular Do Patrimônio Natural Integra O Parque,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,3.18475,3.203747414,Designated,2013,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Pau Terra,Reserva Particular Do Patrimônio Natural Pau Terra,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.0632436,0.063606606,Designated,2011,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural São Bartolomeu,Reserva Particular Do Patrimônio Natural São Bartolomeu,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.710229,0.71446914,Designated,2013,BR-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Vale Das Copaibeiras,Reserva Particular Do Patrimônio Natural Vale Das Copaibeiras,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.0388234,0.039046793,Designated,2010,BR-DF,BRA,BRA
Reserva Particular Do Patrimônio Natural Duas Pedras,Reserva Particular Do Patrimônio Natural Duas Pedras,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,1.52845993,1.536425727,Designated,2008,BR-MS,BRA,BRA
Lund Warming,Lund Warming,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,II,238.6544,239.9043952,Designated,2017,Not Reported,BRA,BRA
Cerrados del Tagatiya,Cerrados del Tagatiya,Reserva Natural - Privado,Natural Private Reserve,National,IV,57,53.09923369,Designated,2006,PY-1,PRY,PRY
Tagatiya-mi,Tagatiya-mi,Reserva Natural - Privado,Natural Private Reserve,National,IV,239.7842,289.1450735,Designated,2007,PY-1,PRY,PRY
Arrecife,Arrecife,Reserva Natural - Privado,Natural Private Reserve,National,IV,74.37,78.15226883,Designated,2013,PY-1,PRY,PRY
Parque Natural Municipal Das Orquídeas José Pinheiro De Souza,Parque Natural Municipal Das Orquídeas José Pinheiro De Souza,Parque,Park,National,II,3.61208,3.632154633,Designated,2002,BR-GO,BRA,BRA
Parque Natural Municipal Templo Dos Pilares,Parque Natural Municipal Templo Dos Pilares,Parque,Park,National,II,0.996661,1.002076067,Designated,2003,BR-MS,BRA,BRA
Parque Natural Municipal Do Pequi,Parque Natural Municipal Do Pequi,Parque,Park,National,II,24.1858,24.32850335,Designated,2012,BR-GO,BRA,BRA
Parque Natural Municipal Do Pombo,Parque Natural Municipal Do Pombo,Parque,Park,National,II,80.3333,80.74387623,Designated,2006,BR-MS,BRA,BRA
Reserva Particular Do Patrimônio Natural Fazenda São Pedro Da Barra,Reserva Particular Do Patrimônio Natural Fazenda São Pedro Da Barra,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.866579,0.870906689,Designated,2003,BR-MS,BRA,BRA
Parque Natural Municipal Ribeirão Da Prata,Parque Natural Municipal Ribeirão Da Prata,Parque,Park,National,II,31.4293,31.6159569,Designated,2014,BR-GO,BRA,BRA
Reserva Biológica Das Capivaras,Reserva Biológica Das Capivaras,Reserva Biológica,Biological Reserve,National,Ia,0.637068,0.640285855,Designated,2001,BR-MS,BRA,BRA
Parque Estadual Serra Da Boa Esperança,Parque Estadual Serra Da Boa Esperança,Parque,Park,National,II,58.8241,59.11933267,Designated,2007,BR-MG,BRA,BRA
Monumento Natural Municipal Serra Do Bom Jardim,Monumento Natural Municipal Serra Do Bom Jardim,Monumento Natural,Natural Monument,National,III,60.4736,60.80221459,Designated,2003,BR-MS,BRA,BRA
Parque Distrital Salto Do Tororó,Parque Distrital Salto Do Tororó,Parque,Park,National,II,0.611168,0.614664744,Designated,2015,BRA-DF,BRA,BRA
Reserva Particular Do Patrimônio Natural Porto Do Ifé,Reserva Particular Do Patrimônio Natural Porto Do Ifé,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.537367,0.54014697,Designated,2018,BRA-SP,BRA,BRA
Parque Natural Municipal Eli Bastos,Parque Natural Municipal Eli Bastos,Parque,Park,National,II,0.169045,0.169989255,Designated,2018,BRA-GO,BRA,BRA
Parque Estadual De Botumirim,Parque Estadual De Botumirim,Parque,Park,National,II,352.874,354.8466857,Designated,2018,BRA-MG,BRA,BRA
Área De Relevante Interesse Ecológico Leopoldo Magno Coutinho,Área De Relevante Interesse Ecológico Leopoldo Magno Coutinho,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,23.0986,23.20940171,Designated,2018,BRA-SP,BRA,BRA
Parque Natural Municipal Senhorinha Lemos Do Prado,Parque Natural Municipal Senhorinha Lemos Do Prado,Parque,Park,National,II,0.0375608,0.037774182,Designated,2017,BRA-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Cambraia,Reserva Particular Do Patrimônio Natural Cambraia,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.954038,0.959142716,Designated,2014,BRA-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Alto Do Palacio,Reserva Particular Do Patrimônio Natural Alto Do Palacio,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,2.80527,2.820051833,Designated,2006,BRA-MG,BRA,BRA
Parque Natural Municipal Zabele,Parque Natural Municipal Zabele,Parque,Park,National,II,3.79094,3.814649789,Designated,2002,BRA-BA,BRA,BRA
Rppn Flor Do Cerrado I,Rppn Flor Do Cerrado I,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,4.43644,4.462704425,Designated,2016,BRA-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Capão Das Éguas,Reserva Particular Do Patrimônio Natural Capão Das Éguas,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.173121,0.174029738,Designated,2017,BRA-MG,BRA,BRA
Rppn Flor Do Cerrado Iii,Rppn Flor Do Cerrado Iii,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,26.2224,26.37757852,Designated,2016,BRA-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Gruta Do Carimbado,Reserva Particular Do Patrimônio Natural Gruta Do Carimbado,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.0151664,0.01524088,Designated,2009,BRA-MG,BRA,BRA
Parque Natural Municipal Claudino Francio,Parque Natural Municipal Claudino Francio,Parque,Park,National,II,0.122901,0.123651857,Designated,2018,BRA-MT,BRA,BRA
Reserva Particular Do Patrimônio Natural Capoeira Do Boi,Reserva Particular Do Patrimônio Natural Capoeira Do Boi,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.70872,0.712418872,Designated,2014,BRA-MG,BRA,BRA
Área De Relevante Interesse Ecológico Da Cabeceira Do Córrego Mahana,Área De Relevante Interesse Ecológico Da Cabeceira Do Córrego Mahana,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,0.560007,0.563339251,Designated,2006,BRA-GO,BRA,BRA
Refúgio De Vida Silvestre Da Mata Seca,Refúgio De Vida Silvestre Da Mata Seca,Refugio de Vida Silvestre,Wildlife Refuge,National,III,2.53033,2.544934516,Designated,2015,BRA-DF,BRA,BRA
Área De Relevante Interesse Ecológico Serra Bonita De Adelandia,Área De Relevante Interesse Ecológico Serra Bonita De Adelandia,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,1.96517,1.976313802,Designated,2017,BRA-GO,BRA,BRA
Area De Relevante Interesse Ecologico Mata Das Perobas Tim Ferreira,Area De Relevante Interesse Ecologico Mata Das Perobas Tim Ferreira,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,0.590505,0.59371651,Designated,2018,BRA-GO,BRA,BRA
Reserva Particular Do Patrimônio Natural Cachoeira Da Sucupira,Reserva Particular Do Patrimônio Natural Cachoeira Da Sucupira,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.421031,0.423268827,Designated,2007,BRA-MG,BRA,BRA
Monumento Natural Estadual Lapa Nova De Vazante,Monumento Natural Estadual Lapa Nova De Vazante,Monumento Natural,Natural Monument,National,III,0.790321,0.794637122,Designated,2016,BRA-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Sítio Grande,Reserva Particular Do Patrimônio Natural Sítio Grande,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.534145,0.537415531,Designated,2017,BRA-BA,BRA,BRA
Parque Estadual Massairo Okamura,Parque Estadual Massairo Okamura,Parque,Park,National,II,0.531881,0.534949842,Designated,2000,BRA-MT,BRA,BRA
Parque Natural Municipal Dujardes Caldeira,Parque Natural Municipal Dujardes Caldeira,Parque,Park,National,II,0.0580718,0.058401028,Designated,2017,BRA-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Anglogold Ashanti - Cuiabá,Reserva Particular Do Patrimônio Natural Anglogold Ashanti - Cuiabá,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,7.26583,7.303546072,Designated,2007,BRA-MG,BRA,BRA
Parque Natural Municipal Do Alto Rio Do Tanque,Parque Natural Municipal Do Alto Rio Do Tanque,Parque,Park,National,II,2.47215,2.485106487,Designated,2008,BRA-MG,BRA,BRA
Parque Natural Municipal Pedro Geraldo De Menezes,Parque Natural Municipal Pedro Geraldo De Menezes,Parque,Park,National,II,0.015124,0.015209767,Designated,2012,BRA-MG,BRA,BRA
Rppn Flor Do Cerrado Ii,Rppn Flor Do Cerrado Ii,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.73969,0.744067685,Designated,2016,BRA-GO,BRA,BRA
Monumento Natural Das Lagoas,Monumento Natural Das Lagoas,Monumento Natural,Natural Monument,National,III,1.16522,1.171100041,Designated,2016,BRA-MS,BRA,BRA
Área De Relevante Interesse Ecológico Do Lago Dos Buritis,Área De Relevante Interesse Ecológico Do Lago Dos Buritis,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,0.0522729,0.052557849,Designated,2017,BRA-GO,BRA,BRA
Estação Ecológica Municipal Guarani,Estação Ecológica Municipal Guarani,Estação Ecológica,Ecological Station,National,Ia,0.424019,0.426130698,Designated,2018,BRA-SP,BRA,BRA
Parque Estadual Biribiri,Parque Estadual Biribiri,Parque,Park,National,II,170.026,170.9510998,Designated,1998,BRA-MG,BRA,BRA
