binomial,range,rangeNat,rangeAnt,percNat,percForPlant,percPast,percSugCan,percSoy,lulcYear
Phalotris matogrossensis,465029,140660,324369,0.3025,0.0043,0.5111,0.003,0.071,2000
Phalotris matogrossensis,465023,132369,332654,0.2847,0.0044,0.4975,0.0069,0.0942,2005
Phalotris matogrossensis,465027,131263,333764,0.2823,0.0087,0.4762,0.0229,0.0872,2010
Phalotris matogrossensis,465021,131113,333908,0.282,0.0183,0.4397,0.0393,0.1002,2015
Phalotris matogrossensis,465009,129725,335284,0.279,0.0227,0.4179,0.0384,0.1172,2020
Phalotris mertensi,332432,68574,263858,0.2063,0.0184,0.5231,0.0478,0.0445,2000
Phalotris mertensi,332432,66763,265669,0.2008,0.0199,0.4854,0.0596,0.0614,2005
Phalotris mertensi,332433,67287,265146,0.2024,0.029,0.4377,0.093,0.053,2010
Phalotris mertensi,332424,67307,265117,0.2025,0.0435,0.3834,0.1139,0.0639,2015
Phalotris mertensi,332409,67590,264819,0.2033,0.051,0.3546,0.1057,0.0855,2020
Phalotris multipunctatus,706,103,603,0.1459,0.1105,0.3003,0.0127,0.1416,2000
Phalotris multipunctatus,705,105,600,0.1489,0.1135,0.2128,0.0298,0.173,2005
Phalotris multipunctatus,707,107,600,0.1513,0.1132,0.133,0.0976,0.1726,2010
Phalotris multipunctatus,706,107,599,0.1516,0.1091,0.0921,0.1501,0.1813,2015
Phalotris multipunctatus,705,103,602,0.1461,0.1121,0.0922,0.1404,0.2255,2020
Phalotris nasutus,960915,426438,534477,0.4438,0.0055,0.3648,0.0154,0.0724,2000
Phalotris nasutus,960913,400452,560461,0.4167,0.0058,0.3602,0.0194,0.095,2005
Phalotris nasutus,960914,395169,565745,0.4112,0.0088,0.3453,0.0313,0.0934,2010
Phalotris nasutus,960907,389186,571721,0.405,0.0149,0.3227,0.0402,0.1088,2015
Phalotris nasutus,960893,386080,574813,0.4018,0.0174,0.3073,0.0383,0.1217,2020
Phasmahyla jandaia,3697,2469,1228,0.6678,0.0344,0.2088,0,0,2000
Phasmahyla jandaia,3697,2429,1268,0.657,0.039,0.2161,0,0,2005
Phasmahyla jandaia,3699,2397,1302,0.648,0.0554,0.2046,0,0,2010
Phasmahyla jandaia,3700,2372,1328,0.6411,0.0651,0.1886,0,3.00E-04,2015
Phasmahyla jandaia,3699,2359,1340,0.6377,0.0741,0.1638,0,3.00E-04,2020
