Apostolepis longicaudata,2100,10418,4,850,9966,692,45,250,,15,28,0,,37,735,38,151,,,,0
Apostolepis nelsonjorgei,6284,30117,81,596,4594,9613,4,1080,,58,112,21,12,577,2370,3,277,,,,0
Apostolepis phillipsae*,102,67,0,25,41,186,,,,3,,,,2,0,,2,,,,
Apostolepis polylepis,9067,50648,185,1876,23355,3446,55,1231,3,36,485,9,,210,13118,67,800,2,,2,329
Apostolepis sanctaeritae*,54380,208429,7830,25227,48662,157482,892,40163,3,3070,1594,1099,224,5256,50646,539,6811,467,103,233,1509
Apostolepis serrana,16,112,0,0,2,107,,4,,1,1,,,0,3,,4,,,,
Apostolepis striata,125,20,0,0,0,19,,3,,4,5,,,0,172,,15,,,,
Apostolepis tertulianobeui*,111,299,4,183,2,208,0,86,,145,9,,,27,23,,4,0,0,,
Apostolepis vittata,253,600,2,3,2,317,,28,,9,4,,1,122,4,,8,,,,
Arremon flavirostris,111203,165877,25983,20189,36961,333607,41201,105051,,6608,2069,2103,351,10143,102543,,15556,3395,3012,346,262
Asthenes luizae,1745,8286,1291,71,1425,1639,,695,,14,41,1147,1,29,2,,3,6,2,0,
Atractus albuquerquei,149527,233307,9851,46206,27975,283693,8247,50900,,3667,2006,135,258,7226,103558,1046,17641,119,177,1,342
Atractus edioi,62,177,,0,0,75,,8,,8,2,,9,28,0,,0,,,,
Atractus pantostictus*,76055,168211,14131,23349,39512,184816,34416,77492,,5561,1684,993,301,8750,60107,1046,10943,3346,2972,329,553
Atractus spinalis,101,78,1,7,53,25,,21,,,0,194,,0,0,,,0,,0,
Atractus stygius*,13932,9616,79,26,7386,2987,87,202,,32,150,,,60,10497,,1692,,,,240
Augastes scutatus,4261,12354,1962,142,2044,6909,,3561,,401,83,1355,16,83,58,,58,14,3,0,
Bachia bresslaui,50510,50950,10469,9741,7450,186343,8730,40003,,2522,676,110,29,2675,59259,,8361,31,15,0,62
Bachia cacerensis,15,71,,21,226,31,,,,,,,,0,,,,,,,
