binomial,3,4,9,11,12,15,20,21,23,24,25,29,30,33,39,40,41,46,47,48,62
Adenomera cotuba*,19856,88229,168,2734,9784,46463,76,7304,,359,436,256,43,1903,7165,145,1739,38,0,2,135
Adenomera saci,74360,227941,433,41670,44764,182531,255,28806,3,2042,1590,378,57,4797,39076,255,7440,6,0,0,358
Akodon kadiweu,230,92,,0,0,29,,6,,,0,0,,,0,,0,,,,
Akodon lindberghi,114,197,0,6,229,261,,45,,7,8,19,,8,1,,2,1,,0,
Alectrurus tricolor,148708,220813,10348,30214,43288,448392,20225,97799,,5358,2834,450,251,12035,98539,,22879,1507,1165,38,435
Alipiopsitta xanthops,216088,538480,7642,57034,107821,479406,11753,96446,3,4679,4689,1311,233,13791,119286,255,26552,1345,523,59,705
Allobates brunneus,51,115,,0,0,153,,2,,,1,,,50,0,,0,,,,
Allobates goianus,2714,6447,4,37,1395,3426,,916,,96,99,1,25,506,339,,157,,,,
Alopoglossus collii*,454,77,,1,17,557,,,,2,2,,,0,,,0,,,,
Ameerega berohoka,12192,26852,103,1704,1849,45565,,6239,,105,187,60,0,281,9674,,846,,,,317
Ameerega braccata,98,360,,2,0,127,,6,,2,5,,,0,0,,0,,,,
Ameerega flavopicta,63805,160458,4431,35225,28411,175479,194,36742,,2654,1586,579,138,7274,20229,191,5662,1007,131,11,6
Ameerega picta,1730,535,,36,13,1341,,176,,5,2,0,1,1,42,,70,,,,
Ameiva jacuba,40,249,0,103,492,181,,16,,,1,,,2,169,,12,,,,0
Ameiva parecis,205,62,,1,59,40,,,,,4,,,0,,,1,,,,
Ameivula cipoensis*,77,136,0,8,92,72,,84,,1,0,204,,0,0,,0,,,,
Ameivula jalapensis,19,62,,37,625,0,,0,,,0,0,,2,,,0,,,,
Ameivula mumbuca,95,253,,38,339,10,,7,,4,1,,,0,0,,0,,,,
Ameivula xacriaba*,1042,24948,35,692,12786,964,,468,,4,59,0,,25,424,,576,20,0,2,0
Amphisbaena absaberi,14,62,,32,34,147,,1,,0,,,,1,,,0,,,,
Amphisbaena acrobeles,4,89,,55,224,,,,,,0,,,2,,,,,,,
Amphisbaena anaemariae,32411,43990,1103,5307,2855,140223,763,22940,,1789,617,46,47,3210,22151,,6663,25,60,0,39
Amphisbaena bedai,333,3,,40,1,1050,,111,,2,1,,,1,1,,0,,,,
Amphisbaena brevis,66,208,0,0,,74,,9,,0,1,,,8,0,,1,,,,
Amphisbaena carli,66,657,6,39,477,2,,24,,,4,,,1,113,,88,1,,,0
Amphisbaena crisae,186,238,,454,304,174,,7,,3,3,,,39,24,,1,,,,
Amphisbaena cuiabana,2070,5884,25,67,529,2558,10,352,,51,81,,1,40,1847,,239,,,,10
Amphisbaena filiformis*,124,259,0,2,2,231,,10,,8,4,1,,30,6,,1,,,,
Amphisbaena kraoh,1508,6686,0,454,3928,569,0,81,3,11,24,0,,35,360,10,9,,,,
Amphisbaena leeseri,19252,9238,809,2770,997,59056,183,8714,,285,108,1,2,218,5707,,1985,,,,
Amphisbaena maranhensis,7,321,,1,13,9,,23,,1,1,,,2,0,,0,,,,
Amphisbaena mebengokre*,25,94,,1,1,195,,43,,,1,,,4,1,,0,,,,
Amphisbaena neglecta,120,152,,1,0,75,,9,,6,1,,,0,2,,0,,,,
Amphisbaena persephone*,3,224,,2,118,0,,4,,,0,,,,14,,5,0,,,
Amphisbaena sanctaeritae,80,5,8,8,0,69,130,274,,8,2,,,5,7,,6,0,1,,
Amphisbaena saxosa,11,30,,0,,3,,0,,,0,,,,,,,,,,
Amphisbaena silvestrii,66659,120918,209,34278,18224,116285,30,16430,,647,1142,64,87,2794,47010,128,6940,,,,377
Amphisbaena steindachneri,69,131,,0,0,68,,14,,0,2,,,0,,,,,,,
Amphisbaena talisiae,12279,20987,148,495,5235,32953,103,7737,,1106,481,12,43,960,6733,,1809,10,1,0,0
Anolis meridionalis,188307,341662,6541,56077,78909,453981,20050,94810,3,4969,3760,673,209,11804,115908,190,26667,1457,1111,63,705
Antilophia galeata,199447,531071,11123,58544,108631,499820,20169,111166,18,5763,4942,2020,247,14117,121975,255,28053,1641,1114,77,705
Aplastodiscus lutzorum*,2532,5673,0,108,2594,4136,,1510,,789,264,6,6,146,2046,,456,2,0,,0
Apostolepis adhara*,33,235,,0,3,81,,2,,1,7,,,9,0,,0,,,,
Apostolepis albicollaris,7520,8835,65,184,1742,18319,1,4489,,826,256,5,33,977,3965,,1325,5,3,0,0
Apostolepis assimilis*,104183,139570,12617,17229,28223,370781,20172,90962,,5137,1944,2006,138,9434,72954,,17829,1519,1167,38,390
Apostolepis barrioi*,23640,6542,4500,6270,738,105016,19618,33674,,1827,265,0,15,3790,15225,,4964,248,1029,26,
Apostolepis cerradoensis,75,173,,0,4,29,,4,,1,3,,,81,,,,,,,
Apostolepis christineae,135,167,,1,1,52,,8,,,2,,,0,,,0,,,,
