binomial,3,4,9,11,12,15,20,21,23,24,25,29,30,33,39,40,41,46,47,48,62
Adenomera cotuba*,18849,79857,439,2674,8838,49989,386,7482,,434,609,256,98,2003,12436,520,1456,42,1,3,464
Adenomera saci,71741,212299,1656,41523,42642,183901,3480,28443,3,2384,1619,378,116,4718,52667,756,8076,20,1,1,338
Akodon kadiweu,230,92,,0,0,21,,11,,,0,0,,0,1,,0,,,,
Akodon lindberghi,117,196,2,8,229,239,,53,,9,6,19,,8,6,,6,1,0,,
Alectrurus tricolor,146656,210238,22504,30882,41309,402642,43727,100721,,6412,2694,449,378,11080,115327,,23814,3211,2653,177,397
Alipiopsitta xanthops,209036,502047,18965,57599,100997,453260,29990,100648,3,5628,4723,1315,357,13188,156932,756,27485,2860,951,86,1275
Allobates brunneus,52,115,0,1,0,145,,4,,,1,,,50,1,,4,,,,
Allobates goianus,2606,6207,18,41,1355,3413,0,912,,113,143,1,46,464,719,,121,0,1,,0
Alopoglossus collii*,457,81,0,2,20,547,,,,2,2,,,0,,,1,,,,
Ameerega berohoka,11988,25972,522,1753,1745,45030,567,6040,,124,209,60,0,246,10107,,1478,,,,133
Ameerega braccata,97,371,2,2,0,115,,7,,2,3,,,0,0,,1,,,,
Ameerega flavopicta,61345,148707,8029,35171,26578,170817,1638,39837,,3118,1686,578,235,6670,27488,711,9338,2029,204,15,19
Ameerega picta,1720,519,,38,15,1195,,237,,6,2,0,1,1,194,,24,,,,
Ameiva jacuba,39,232,0,102,488,207,41,11,,,1,,,1,129,,13,,,,0
Ameiva parecis,198,57,2,1,54,51,,1,,,2,,,0,,,7,,,,
Ameivula cipoensis*,83,135,1,8,90,59,,92,,2,0,204,0,0,0,,0,,,,
Ameivula jalapensis,18,62,,37,625,0,,0,,,0,0,,1,,,0,,,,
Ameivula mumbuca,95,251,0,37,338,14,,7,,5,1,,,0,0,,0,,,,
Ameivula xacriaba*,884,23638,112,690,11994,1702,,469,,5,104,0,,13,1853,,535,32,1,6,9
Amphisbaena absaberi,14,59,0,27,33,155,,1,,1,,,,1,,,0,,,,
Amphisbaena acrobeles,4,89,,56,225,,,,,,0,,,2,,,,,,,
Amphisbaena anaemariae,31905,40889,5353,5635,2884,125790,6542,27009,,2123,709,46,103,3433,24913,,6700,62,120,0,21
Amphisbaena bedai,307,2,5,45,1,1044,0,134,,2,1,,,1,1,,1,,,,
Amphisbaena brevis,66,206,2,0,,74,,9,,0,0,,,8,0,,0,,,,
Amphisbaena carli,24,480,4,24,281,23,,48,,,2,,,1,542,,46,1,,0,1
Amphisbaena crisae,152,252,0,460,298,184,1,9,,3,3,,,36,34,,1,,,,0
Amphisbaena cuiabana,2025,5457,63,71,476,2952,56,285,,62,65,,2,39,1864,,283,,,,66
Amphisbaena filiformis*,90,209,0,3,3,222,,9,,11,3,1,,121,4,,3,,,,
Amphisbaena kraoh,1439,6318,3,456,3914,720,58,139,3,12,30,0,,27,458,4,97,,,,
Amphisbaena leeseri,18754,8903,2404,2891,1069,53205,2244,9633,,336,80,1,3,204,8297,,1299,,,,
Amphisbaena maranhensis,7,318,,1,12,8,,25,,1,1,,,1,2,,1,,,,
Amphisbaena mebengokre*,26,90,,1,1,192,,40,,,1,,,9,3,,2,,,,
Amphisbaena neglecta,121,150,2,1,0,74,,10,,7,1,,,0,2,,0,,,,
Amphisbaena persephone*,2,139,0,2,69,2,,16,,,2,,,,131,,5,,,,2
Amphisbaena sanctaeritae,83,6,9,8,0,33,233,194,,9,1,,,4,11,,5,1,4,0,
Amphisbaena saxosa,10,30,,0,,4,,0,,,0,,,,,,,,,,
Amphisbaena silvestrii,64078,115799,1350,34226,17319,115295,727,14123,,783,973,64,113,2478,57103,229,7228,,,,332
Amphisbaena steindachneri,74,135,,0,0,56,,18,,0,1,,,0,,,0,,,,
Amphisbaena talisiae,12178,19993,544,536,5088,30766,527,7625,,1270,454,12,94,999,8224,,2729,48,4,0,0
Anolis meridionalis,183112,319277,16537,56633,73733,416152,43420,96517,3,5948,3678,672,326,11392,146379,708,26336,3046,2556,163,1261
Antilophia galeata,193328,495613,23824,59141,101700,465500,43675,113989,19,6908,4953,2021,373,13484,159676,756,28610,3339,2538,171,1273
Aplastodiscus lutzorum*,2527,5413,54,111,2498,3941,,1414,,886,204,6,9,149,2501,,546,9,0,,0
Apostolepis adhara*,29,221,0,0,3,58,,2,,1,6,,,49,0,,0,,,,
Apostolepis albicollaris,7251,8460,351,209,1734,15907,146,5217,,953,288,5,56,1002,4002,,2949,16,5,0,0
Apostolepis assimilis*,104009,133691,25281,18285,26698,325141,43370,95487,,6149,1887,2002,190,8738,80182,,18918,3233,2657,177,191
Apostolepis barrioi*,23871,6527,10595,6778,795,80361,36145,32751,,2225,247,0,17,3649,16385,,3827,638,2413,155,
Apostolepis cerradoensis,66,176,,0,4,35,,4,,1,12,,,73,0,,0,,,,
Apostolepis christineae,134,166,,1,1,56,,8,,,2,,,0,,,0,,,,
Apostolepis flavotorquata,95977,243549,7561,47062,43801,272424,33238,69850,,4334,2370,637,213,8159,87398,708,17566,2519,1567,107,746
Apostolepis goiasensis,43148,53165,5548,29338,3499,159313,22078,34464,,2587,814,46,108,4419,29195,212,7919,145,574,31,27
