binomial,3,4,9,11,12,15,20,21,23,24,25,29,30,33,39,40,41,46,47,48,62
Adenomera cotuba*,19920,93055,184,2794,10516,42555,15,7842,,325,408,256,32,1808,4777,191,2136,18,0,5,1
Adenomera saci,75343,243273,411,41909,46094,175998,30,30676,3,1832,1506,378,42,4612,27129,296,7199,9,1,1,20
Akodon kadiweu,229,93,,0,0,27,,7,,,0,0,,,0,,,,,,
Akodon lindberghi,112,198,0,6,227,263,,49,,6,10,19,,8,0,,1,1,,0,
Alectrurus tricolor,155222,239217,9720,30453,44353,456204,15919,97023,,4809,2948,450,208,11026,74507,,20847,1242,1023,33,74
Alipiopsitta xanthops,226487,572048,7303,57311,111669,473135,8742,96693,3,4212,4523,1312,193,12878,86051,296,23550,1135,432,38,92
Allobates brunneus,59,146,,0,0,127,,3,,,2,,,35,0,,1,,,,
Allobates goianus,2749,6600,10,38,1401,3464,,907,,89,121,1,19,478,167,,118,0,,,
Alopoglossus collii*,473,82,,2,19,531,,,,2,3,,,0,,,0,,,,
Ameerega berohoka,12463,30118,91,1755,1849,44035,0,6492,,97,208,60,0,290,7563,,897,,,,54
Ameerega braccata,94,373,,2,0,118,,7,,1,4,,,0,0,,0,,,,
Ameerega flavopicta,65783,169533,4224,35375,29407,171904,65,37780,,2377,1721,579,107,6778,13775,293,3587,822,93,9,0
Ameerega picta,1737,569,,42,13,1285,,208,,5,1,0,0,1,41,,48,,,,
Ameiva jacuba,39,278,0,102,495,156,,18,,,1,,,2,158,,17,,,,
Ameiva parecis,211,64,,1,62,33,,0,,,1,,,,,,0,,,,
Ameivula cipoensis*,77,135,0,7,92,74,,86,,1,0,204,,0,0,,0,,,,
Ameivula jalapensis,19,62,,37,624,0,,0,,,0,0,,2,0,,0,,,,
Ameivula mumbuca,95,256,,38,338,8,,8,,4,0,,,0,0,,0,,,,
Ameivula xacriaba*,1103,25407,45,696,12887,963,,336,,4,40,0,,27,225,,302,10,,2,0
Amphisbaena absaberi,15,70,,38,38,129,,1,,0,,,,1,,,1,,,,
Amphisbaena acrobeles,4,89,,54,224,,,,,,0,,,3,,,,,,,
Amphisbaena anaemariae,33547,47869,1034,5296,2948,143197,141,22260,,1608,685,46,34,2758,16291,,6463,21,41,0,0
Amphisbaena bedai,385,1,0,31,0,1003,,116,,1,2,,,2,2,,0,,,,
Amphisbaena brevis,69,221,0,0,,62,,10,,,1,,,2,1,,1,,,,
Amphisbaena carli,73,729,53,32,505,1,,10,,,1,,,1,22,,52,0,,0,0
Amphisbaena crisae,185,250,,454,305,159,1,9,,2,2,,,41,22,,3,,,,
Amphisbaena cuiabana,2052,6263,12,66,604,2272,5,393,,47,64,,1,37,1525,,423,,,,0
Amphisbaena filiformis*,135,336,,2,3,125,,33,,7,4,1,,29,2,,0,,,,
Amphisbaena kraoh,1523,6934,0,450,3950,423,3,152,3,10,20,0,,35,161,3,9,,,,
Amphisbaena leeseri,20720,10421,814,2715,983,58505,36,8515,,258,127,1,2,232,3822,,2172,,,,
Amphisbaena maranhensis,7,327,,1,12,2,,24,,1,1,,,2,0,,0,,,,
Amphisbaena mebengokre*,26,103,,2,1,181,,49,,,1,,,4,0,,0,,,,
Amphisbaena neglecta,116,158,,1,0,75,,10,,4,1,,,0,1,,0,,,,
Amphisbaena persephone*,3,248,,2,117,,,0,,,0,,,,,,0,,,,
Amphisbaena sanctaeritae,76,4,8,6,0,108,96,277,,7,2,,,5,6,,6,0,2,,
Amphisbaena saxosa,10,31,,0,,2,,0,,,1,,,,,,,,,,
Amphisbaena silvestrii,71588,132264,139,34651,18993,109473,6,18911,,591,1066,64,77,2753,35502,185,5896,,,,60
Amphisbaena steindachneri,63,147,,0,0,57,,16,,0,1,,,0,,,,,,,
Amphisbaena talisiae,12538,22288,179,503,5691,33493,15,8163,,990,567,12,33,808,4403,,1399,8,1,0,0
Anolis meridionalis,197498,367376,6378,56416,82378,455151,15819,94401,3,4454,3636,673,176,10977,85521,293,24385,1197,980,53,92
Antilophia galeata,208812,563754,10681,58782,112443,498026,15950,110933,18,5171,4778,2020,205,13167,87978,296,25352,1404,981,55,92
Aplastodiscus lutzorum*,2547,5851,0,108,2742,4310,,1664,,707,318,6,4,111,1441,,453,4,1,0,
Apostolepis adhara*,31,234,,0,3,83,,2,,1,8,,,9,0,,,,,,
Apostolepis albicollaris,7813,9357,89,165,1867,19389,0,4780,,741,310,5,26,853,2304,,844,4,2,0,0
Apostolepis assimilis*,107188,149948,11933,17119,28594,384804,15914,88811,,4601,2189,2006,115,8610,55538,,16548,1255,1023,33,64
Apostolepis barrioi*,24737,7350,4279,6374,753,113997,15815,30648,,1628,279,0,14,3479,11167,,5718,202,925,23,
Apostolepis cerradoensis,75,178,,0,3,23,,5,,1,5,,,80,0,,1,,,,
Apostolepis christineae,132,176,,1,1,46,,10,,,2,,,0,,,,,,,
Apostolepis flavotorquata,101748,278259,3718,47127,49307,294161,12851,69993,,3245,2337,638,98,7890,51884,293,14492,893,824,23,9
Apostolepis goiasensis,45099,61568,1240,29238,3618,181092,7448,30113,,1936,793,46,38,4550,21732,169,7597,32,317,5,0
Apostolepis intermedia,141,44,1,36,313,390,,40,,3,2,,,6,29,,22,,,,
Apostolepis kikoi*,180,193,0,6,3,784,,9,,0,1,,,60,2,,1,,,,
Apostolepis lineata,123,142,,1,0,82,,10,,4,1,,0,0,3,,0,,,,
Apostolepis longicaudata,2214,11325,0,844,10185,227,3,248,,11,28,0,,47,166,3,27,,,,
Apostolepis nelsonjorgei,6662,34885,6,602,4698,7483,,948,,44,125,21,9,292,13,0,11,,,,
Apostolepis phillipsae*,129,89,1,16,42,146,,,,2,,,,5,,,0,,,,
Apostolepis polylepis,9551,60911,25,1842,25888,1077,3,1473,3,24,456,9,,228,2687,3,734,9,,0,0
Apostolepis sanctaeritae*,57198,238565,3816,25492,56824,161483,15,35812,3,2227,1781,1101,86,4898,18393,211,6316,330,40,25,1
Apostolepis serrana,14,138,,0,2,92,,3,,1,1,,,0,,,,,,,
Apostolepis striata,145,26,,0,1,62,,3,,3,29,,,0,45,,50,,,,
Apostolepis tertulianobeui*,125,303,0,175,2,267,,57,,102,14,,,31,26,,1,0,,,
Apostolepis vittata,262,677,0,3,2,295,,24,,5,7,,1,75,2,,0,,,,
Arremon flavirostris,114020,188883,10444,20272,41210,408514,15914,92215,,4640,2434,2107,171,10042,55978,,17271,1249,1022,34,64
Asthenes luizae,1781,8901,733,49,1552,1360,,771,,7,37,1150,0,54,0,,,1,,0,
Atractus albuquerquei,161811,272899,1934,47264,30858,299960,81,46484,,2629,2358,135,118,6967,58063,296,13854,37,44,0,91
Atractus edioi,64,200,,0,0,79,,7,,6,2,,8,3,0,,0,,,,
Atractus pantostictus*,77548,192990,7446,23016,44876,227592,15476,67478,,3932,1957,994,132,8663,28949,296,10987,1212,1011,31,0
