binomial,3,4,9,11,12,15,20,21,23,24,25,29,30,33,39,40,41,46,47,48,62
Adenomera cotuba*,19332,85545,253,2768,9320,47375,230,7434,,393,361,256,75,2301,8504,258,1805,41,0,6,577
Adenomera saci,72595,222286,730,41563,43555,183797,1273,28060,3,2211,1307,378,90,5188,41743,413,11055,6,1,1,509
Akodon kadiweu,233,89,,0,0,26,,8,,,0,0,,,0,,0,,,,
Akodon lindberghi,116,197,1,7,232,249,,49,,8,7,19,,8,1,,5,1,0,0,
Alectrurus tricolor,146487,216328,15012,30525,42544,429601,33311,97358,,5843,2480,450,312,12317,97197,,31566,1856,1595,44,451
Alipiopsitta xanthops,210969,525185,11628,57366,104641,469436,21593,96274,3,5115,4132,1315,292,14197,125825,413,35977,1670,675,80,1316
Allobates brunneus,51,132,,0,0,129,,7,,,1,,,50,1,,3,,,,
Allobates goianus,2643,6355,8,39,1389,3343,0,929,,105,82,1,40,565,475,,185,,,,0
Alopoglossus collii*,454,75,0,1,14,562,,,,2,2,,,0,,,1,,,,
Ameerega berohoka,11952,26576,220,1749,1636,45639,111,5814,,114,180,60,0,267,9151,,2309,,,,194
Ameerega braccata,97,376,0,2,0,107,,11,,2,3,,,0,0,,1,,,,
Ameerega flavopicta,62207,156424,6026,35231,28003,171841,916,38808,,2868,1414,578,187,7670,21379,382,8887,1215,163,10,2
Ameerega picta,1737,524,,39,14,1292,,209,,6,2,0,1,1,56,,72,,,,
Ameiva jacuba,40,242,0,103,488,189,6,16,,,1,,,1,165,,12,,,,1
Ameiva parecis,202,62,,1,58,44,,,,,2,,,0,,,3,,,,
Ameivula cipoensis*,76,137,0,8,92,63,,92,,1,0,204,,0,0,,0,,,,
Ameivula jalapensis,18,62,,37,625,0,,0,,,0,0,,2,,,0,,,,
Ameivula mumbuca,96,252,,38,339,11,,6,,5,1,,,0,0,,0,,,,
Ameivula xacriaba*,980,24361,81,709,12475,1228,,571,,4,88,0,,19,915,,582,30,0,2,1
Amphisbaena absaberi,14,51,0,16,36,171,,1,,0,,,,0,,,0,,,,
Amphisbaena acrobeles,3,89,,56,224,,,,,,0,,,2,0,,0,,,,
Amphisbaena anaemariae,31915,42926,2605,5664,2880,134153,3281,24275,,1950,521,46,78,3774,21116,,8906,33,68,0,49
Amphisbaena bedai,313,2,0,41,1,1050,0,131,,2,1,,,1,2,,1,,,,
Amphisbaena brevis,66,221,0,0,0,61,,9,,0,0,,,8,0,,1,,,,
Amphisbaena carli,42,571,5,29,390,11,,54,,,11,,,1,270,,93,1,,,0
Amphisbaena crisae,167,249,,457,301,180,0,8,,3,3,,,37,25,,1,,,,0
Amphisbaena cuiabana,2031,5806,30,71,505,2566,26,362,,56,63,,2,40,1817,,366,,,,23
Amphisbaena filiformis*,108,254,0,3,2,233,,22,,10,7,1,,30,4,,4,,,,
Amphisbaena kraoh,1455,6589,0,458,3933,679,0,81,3,11,14,0,,32,365,4,52,,,,
Amphisbaena leeseri,18772,9121,1569,2859,964,57214,1090,8907,,312,81,1,2,223,6099,,2110,,,,
Amphisbaena maranhensis,7,317,,1,13,12,,24,,1,1,,,2,0,,0,,,,
Amphisbaena mebengokre*,26,94,,2,0,196,,40,,,1,,,4,1,,0,,,,
Amphisbaena neglecta,120,155,0,1,0,68,,14,,6,1,,,0,1,,1,,,,
Amphisbaena persephone*,3,189,0,2,82,1,,16,,,1,,,,48,,27,,,,0
Amphisbaena sanctaeritae,83,5,7,9,0,42,178,251,,8,1,,,4,5,,6,0,1,0,
Amphisbaena saxosa,10,31,,0,,3,,0,,,0,,,,,,,,,,
Amphisbaena silvestrii,64765,119227,471,34054,17607,117763,179,13968,,706,979,64,96,2631,48675,173,10444,,,,420
Amphisbaena steindachneri,72,128,,0,0,67,,16,,0,2,,,0,,,0,,,,
Amphisbaena talisiae,12181,20688,262,504,5261,31452,363,7833,,1187,402,12,70,1136,7108,,2619,12,1,0,1
Anolis meridionalis,184453,333241,10012,56366,76213,439105,32981,93572,3,5424,3317,672,264,12261,120140,380,34749,1786,1521,81,1315
Antilophia galeata,194934,517898,15933,58875,105422,485123,33209,110821,18,6290,4345,2023,307,14596,128407,413,37337,2005,1522,103,1316
Aplastodiscus lutzorum*,2497,5541,11,109,2595,3941,,1548,,840,226,6,7,145,2261,,540,1,0,,0
Apostolepis adhara*,29,220,,0,3,60,,1,,1,7,,,49,0,,0,,,,
Apostolepis albicollaris,7338,8722,159,187,1787,17227,35,4811,,891,204,5,49,1143,3641,,2338,7,4,0,0
Apostolepis assimilis*,103258,137208,17764,17954,27697,349389,33153,92540,,5602,1783,2005,160,9686,69475,,24803,1871,1598,45,303
Apostolepis barrioi*,23500,6579,6898,6647,781,93323,30131,32877,,2009,232,0,16,3766,13566,,5286,327,1417,33,
Apostolepis cerradoensis,72,170,,0,4,32,,3,,1,2,,,85,,,,,,,
Apostolepis christineae,133,167,,1,1,55,,7,,,2,,,0,,,0,,,,
Apostolepis flavotorquata,97295,254344,4915,47108,45577,283299,25839,68664,,3957,2104,638,167,8900,70807,380,22365,1417,1091,29,895
Apostolepis goiasensis,43084,55068,2364,29330,3463,170348,16526,32045,,2363,669,46,83,4843,25037,156,10618,53,470,7,57
Apostolepis intermedia,124,42,14,36,311,380,0,57,,4,1,,,6,27,,26,,,,0
Apostolepis kikoi*,148,179,0,7,4,789,1,6,,1,1,,,84,4,,18,,,,
Apostolepis lineata,127,137,0,1,0,75,,14,,6,1,,0,1,3,,1,,,,
Apostolepis longicaudata,2085,10848,1,853,10111,483,0,215,,13,24,0,,43,577,13,63,,,,
