species,taxa,family,genus,species_author,binomial,author,range.cat,areaClass,year,time.slice,latitude,longitude,obs.source,New,Reference,IUCN
Bothrops pauloensis,Snakes,Viperidae,Bothrops,"Bothrops pauloensis Amaral, 1925",Bothrops pauloensis,"Amaral, 1925",Partial,polygon,1925,1900-1999,-22.1833,-47.3833,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Calassomys apicalis,Mammals,Cricetidae,Calassomys,"Calassomys apicalis Pardiñas et al., 2014",Calassomys apicalis,"Pardiñas et al., 2014",Restricted,polygon,2014,2000-2021,-17.9639,-43.7883,APC,s,Gutiérrez e Marinho-Filho 2017,-
Callithrix penicillata,Mammals,Callithrichidae,Callithrix,"Callithrix penicillata (Geoffroy, 1812)",Callithrix penicillata,"(Geoffroy, 1812)",Partial,polygon,1812,1700-1899,-11.75,-38.8833,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,LC
Calomys tocantinsi,Mammals,Cricetidae,Calomys,"Calomys tocantinsi Bonvicino et al., 2003",Calomys tocantinsi,"Bonvicino et al., 2003",Partial,polygon,2003,2000-2021,-11.7833,-49.75,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,LC
Carterodon sulcidens,Mammals,Echimyidae,Carterodon,"Carterodon sulcidens (Lund, 1838)",Carterodon sulcidens,"(Lund, 1838)",Partial,polygon,1838,1700-1899,-19.6272,-43.8897,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,DD
Celeus obrieni,Aves,Picidae,Celeus,"Celeus obrieni Short, 1973",Celeus obrieni,"Short, 1973",Restricted,polygon,1973,1900-1999,NA,NA,,s,Gwynne et al 2010,VU
Cercomacra ferdinandi,Aves,Thamnophilidae,Cercomacra,"Cercomacra ferdinandi Snethlage, 1928",Cercomacra ferdinandi,"Snethlage, 1928",Partial,polygon,1928,1900-1999,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010,NT
Cerradomys akroai,Mammals,Cricetidae,Cerradomys,"Cerradomys akroai Bonvicino et al., 2014",Cerradomys akroai,"Bonvicino et al., 2014",Restricted,buffer,2014,2000-2021,-11.8167,-46.6333,APC,s,This study,-
Cerradomys marinhus,Mammals,Cricetidae,Cerradomys,"Cerradomys marinhus (Bonvicino, 2003)",Cerradomys marinhus,"(Bonvicino, 2003)",Partial,polygon,2003,2000-2021,-14.7167,-45.9167,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,LC
Cerradomys scotti,Mammals,Cricetidae,Cerradomys,"Cerradomys scotti (Langguth & Bonvicino, 2002)",Cerradomys scotti,"(Langguth & Bonvicino, 2002)",Wide,polygon,2002,2000-2021,-15.9167,-48.8,APC,s,Bonvicino et al 2005 (Oryzomys scotti); Patton et al. 2015,LC
Charitospiza eucosma,Aves,Thraupidae,Charitospiza,"Charitospiza eucosma Oberholser, 1905",Charitospiza eucosma,"Oberholser, 1905",Wide,polygon,1905,1900-1999,NA,NA,,s,Silva 1995; Silva 1997; Silva e Bates 2002; Gwynne et al 2010,NT
Chiasmocleis albopunctata,Amphibians,Microhylidae,Chiasmocleis,"Chiasmocleis albopunctata (Boettger, 1885)",Chiasmocleis albopunctata,"(Boettger, 1885)",Wide,polygon,1885,1700-1899,NA,NA,NA,n,Valdujo et al 2012; Azevedo et al 2016,LC
Chiasmocleis centralis,Amphibians,Microhylidae,Chiasmocleis,"Chiasmocleis centralis Bokermann, 1952",Chiasmocleis centralis,"Bokermann, 1952",Partial,buffer,1952,1900-1999,-14.805,-50.9367,precise,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,DD
Chironius brazili,Snakes,Colubridae,Chironius,"Chironius brazili* Hamdan & Fernandes, 2015",Chironius brazili*,"Hamdan & Fernandes, 2015",Partial,polygon,2015,2000-2021,-20.0747,-43.4075,Atlas,s,"Hamdan & Fernandes, 2015",-
Cinclodes espinhacensis,Aves,Furnariidae,Cinclodes,"Cinclodes espinhacensis Freitas et al., 2012",Cinclodes espinhacensis,"Freitas et al., 2012",Restricted,polygon,2012,2000-2021,-19.3634,-43.48938,precise,s,Freitas et al. 2012,-
Clibanornis rectirostris,Aves,Furnariidae,Clibanornis,"Clibanornis rectirostris (Wied, 1831)",Clibanornis rectirostris,"(Wied, 1831)",Partial,polygon,1831,1700-1899,NA,NA,,s,Silva 1997; Silva e Bates 2002,LC
Clyomys laticeps,Mammals,Echimyidae,Clyomys,"Clyomys laticeps (Thomas, 1909)",Clyomys laticeps,"(Thomas, 1909)",Partial,polygon,1909,1900-1999,-19.6272,-43.8897,APC,s,,LC
Coleodactylus brachystoma,Lizards,Sphaerodactylidae,Coleodactylus,"Coleodactylus brachystoma (Amaral, 1935)",Coleodactylus brachystoma,"(Amaral, 1935)",Partial,polygon,1935,1900-1999,-13.5,-48.35,associated,n,Nogueira et al 2010; Azevedo et al 2016,LC
Colobosaura modesta,Lizards,Gymnophthalmidae,Colobosaura,"﻿Colobosaura modesta (Reinhardt & Lütken, 1862)",Colobosaura modesta,"(Reinhardt & Lütken, 1862)",Wide,polygon,1862,1700-1899,-18.5333,-44.6,geoLoc,n,Nogueira et al 2010,LC
Columbina cyanopis,Aves,Columbidae,Columbina,"Columbina cyanopis (Pelzeln, 1870)",Columbina cyanopis,"(Pelzeln, 1870)",Partial,buffer,1870,1700-1899,NA,NA,,s,"Silva 1995; Silva 1997; Silva e Bates 2002, Gwynne et al 2010",CR
Conothraupis mesoleuca,Aves,Thraupidae,Conothraups,"Conothraupis mesoleuca (Berlioz, 1939)",Conothraupis mesoleuca,"(Berlioz, 1939)",Partial,polygon,1939,1900-1999,-12.8333,-58.9167,associated,s,Gwynne et al 2010,EN
Coryphaspiza melanotis,Aves,Thraupidae,Coryphaspiza,"Coryphaspiza melanotis (Temminck, 1822)",Coryphaspiza melanotis,"(Temminck, 1822)",Partial,polygon,1822,1700-1899,NA,NA,,s,Gwynne et al 2010,VU
Crossodactylus franciscanus,Amphibians,Hylodidae,Crossodactylus,Crossodactylus franciscanus* Pimenta et al. 2015,Crossodactylus franciscanus*,Pimenta et al. 2015,Restricted,buffer,2015,2000-2021,-20.2167,-46.3667,precise,s,Pimenta et al 2015; Frost 2020,CR
Crossodactylus trachystomus,Amphibians,Hylodidae,Crossodactylus,"Crossodactylus trachystomus (Reinhardt & Lütken, 1862)",Crossodactylus trachystomus,"(Reinhardt & Lütken, 1862)",Restricted,polygon,1862,1700-1899,-19.6166,-43.8833,precise,n,Valdujo et al 2012; Azevedo et al 2016,NT
Ctenomys bicolor,Mammals,Ctenomyidae,Ctenomys,"Ctenomys bicolor Miranda-Ribeiro, 1914",Ctenomys bicolor,"Miranda-Ribeiro, 1914",Partial,polygon,1914,1900-1999,-11.9167,-61.0833,APC,s,,-
Ctenomys nattereri,Mammals,Ctenomyidae,Ctenomys,"Ctenomys nattereri Wagner, 1848",Ctenomys nattereri,"Wagner, 1848",Partial,polygon,1848,1700-1899,-16.0667,-57.6833,APC,s,Patton et al. 2015,-
Cyanocorax cristatellus,Aves,Corvidae,Cyanocorax,"Cyanocorax cristatellus (Temminck, 1823)",Cyanocorax cristatellus,"(Temminck, 1823)",Wide,polygon,1823,1700-1899,NA,NA,,s,Silva 1995; Silva 1997; Silva e Bates 2002,LC
Dendropsophus anataliasiasi,Amphibians,Hylidae,Dendropsophus,"Dendropsophus anataliasiasi (Bokermann, 1972)",Dendropsophus anataliasiasi,"(Bokermann, 1972)",Partial,polygon,1972,1900-1999,-11,-48.55,precise,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Dendropsophus araguaya,Amphibians,Hylidae,Dendropsophus,"Dendropsophus araguaya (Napoli & Caramaschi, 1998)",Dendropsophus araguaya,"(Napoli & Caramaschi, 1998)",Restricted,polygon,1998,1900-1999,-17.3,-53.2,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Dendropsophus cerradensis,Amphibians,Hylidae,Dendropsophus,"Dendropsophus cerradensis (Napoli & Caramaschi, 1998)",Dendropsophus cerradensis,"(Napoli & Caramaschi, 1998)",Restricted,buffer,1998,1900-1999,-20.4333,-53.75,precise,n,Valdujo et al 2012; Azevedo et al 2016,DD
Dendropsophus cruzi,Amphibians,Hylidae,Dendropsophus,"Dendropsophus cruzi (Pombal & Bastos, 1998)",Dendropsophus cruzi,"(Pombal & Bastos, 1998)",Partial,polygon,1998,1900-1999,-16.6333,-48.6333,precise,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Dendropsophus elianeae,Amphibians,Hylidae,Dendropsophus,"Dendropsophus elianeae (Napoli & Caramaschi, 2000)",Dendropsophus elianeae,"(Napoli & Caramaschi, 2000)",Partial,polygon,2000,2000-2021,-22.1,-56.5167,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Dendropsophus jimi,Amphibians,Hylidae,Dendropsophus,"Dendropsophus jimi (Napoli & Caramaschi, 1999)",Dendropsophus jimi,"(Napoli & Caramaschi, 1999)",Partial,polygon,1999,1900-1999,-22.8622,-48.4679,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Dendropsophus rhea,Amphibians,Hylidae,Dendropsophus,"Dendropsophus rhea (Napoli & Caramaschi, 1999)",Dendropsophus rhea,"(Napoli & Caramaschi, 1999)",Restricted,buffer,1999,1900-1999,-21.9833,-47.4167,precise,n,Valdujo et al 2012; Azevedo et al 2016,DD
Dendropsophus rubicundulus,Amphibians,Hylidae,Dendropsophus,"Dendropsophus rubicundulus (Reinhardt & Lütken, 1862)",Dendropsophus rubicundulus,"(Reinhardt & Lütken, 1862)",Partial,polygon,1862,1700-1899,-19.6281,-43.8859,associated,n,Valdujo et al 2012; Silva et al 2020,LC
Dendropsophus tritaeniatus,Amphibians,Hylidae,Dendropsophus,"Dendropsophus tritaeniatus (Bokermann, 1965)",Dendropsophus tritaeniatus,"(Bokermann, 1965)",Restricted,buffer,1965,1900-1999,-15.4485,-55.9354,associated,n,Valdujo et al 2012; Azevedo et al 2016,LC
Drymoluber brazili,Snakes,Colubridae,Drymoluber,"Drymoluber brazili (Gomes, 1918)",Drymoluber brazili,"(Gomes, 1918)",Wide,polygon,1918,1900-1999,-19.7483,-47.9319,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Elachistocleis bumbameuboi,Amphibians,Microhylidae,Elachistocleis,"Elachistocleis bumbameuboi Caramaschi, 2010",Elachistocleis bumbameuboi,"Caramaschi, 2010",Restricted,buffer,2010,2000-2021,-2.5333,-44.3,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Elachistocleis matogrosso,Amphibians,Microhylidae,Elachistocleis,"Elachistocleis matogrosso Caramaschi, 2010",Elachistocleis matogrosso,"Caramaschi, 2010",Partial,polygon,2010,2000-2021,-15.6,-56.1,precise,n,Azevedo et al 2016,LC
Embernagra longicauda,Aves,Thraupidae,Embernagra,"Embernagra longicauda Strickland, 1844",Embernagra longicauda,"Strickland, 1844",Partial,polygon,1844,1700-1899,NA,NA,,s,Silva 1995; Silva 1997; Silva e Bates 2002; Gwynne et al 2010,LC
Enyalius capetinga,Lizards,Leiosauridae,Enyalius,"Enyalius capetinga* Breitman et al., 2018",Enyalius capetinga*,"Breitman et al., 2018",Restricted,polygon,2018,2000-2021,-15.9467,-47.8686,precise,s,"Breitman et al., 2018",-
Epicrates crassus,Snakes,Boidae,Epicrates,"Epicrates crassus Cope, 1862",Epicrates crassus,"Cope, 1862",Wide,polygon,1862,1700-1899,NA,NA,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Epictia clinorostris,Snakes,Leptotyphlopidae,Epictia,"Epictia clinorostris* Arredondo & Zaher, 2010",Epictia clinorostris*,"Arredondo & Zaher, 2010",Restricted,polygon,2010,2000-2021,-15.2389,-53.2431,Atlas,s,Nogueira et al 2019,VU
Erythrolamprus maryellenae,Snakes,Dipsadidae,Erythrolamprus,"Erythrolamprus maryellenae (Dixon, 1985)",Erythrolamprus maryellenae,"(Dixon, 1985)",Partial,polygon,1985,1900-1999,-16.3267,-48.9528,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Eurolophosaurus nanuzae,Lizards,Tropiduridae,Eurolophosaurus,"Eurolophosaurus nanuzae (Rodrigues, 1981)",Eurolophosaurus nanuzae,"(Rodrigues, 1981)",Restricted,polygon,1981,1900-1999,-19.1888,-43.645,associated,n,Nogueira et al 2010; Azevedo et al 2016,LC
Euryoryzomys lamia,Mammals,Cricetidae,Euryoryzomys,"Euryoryzomys lamia (Thomas, 1901)",Euryoryzomys lamia,"(Thomas, 1901)",Restricted,polygon,1901,1900-1999,-18.6333,-48.1833,APC,s,Bonvicino et al 2005 (Oryzomys lamia); Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,VU
Euscarthmus rufomarginatus,Aves,Tyrannidae,Euscarthmus,"Euscarthmus rufomarginatus  (Pelzeln, 1868)",Euscarthmus rufomarginatus,"(Pelzeln, 1868)",Wide,polygon,1868,1700-1899,NA,NA,,s,MZUSP,NT
Galea flavidens,Mammals,Caviidae,Galea,"Galea flavidens (Brandt, 1835)",Galea flavidens,"(Brandt, 1835)",Partial,polygon,1835,1700-1899,-19.6272,-43.8897,APC,s,Carmignotto et al 2012; Patton et al 2015,LC
Geositta poeciloptera,Aves,Scleruridae,Geositta,"Geositta poeciloptera (Wied, 1830)",Geositta poeciloptera,"(Wied, 1830)",Partial,polygon,1830,1700-1899,NA,NA,,s,"Silva 1995; Silva 1997; Silva e Bates 2002, Gwynne et al 2010; WikiAves",VU
Guyramemua affine,Aves,Tyrannidae,Guyramemua,"Guyramemua affine (Burmeister, 1856)",Guyramemua affine,"(Burmeister, 1856)",Partial,polygon,1856,1700-1899,-19.6333,-43.8833,neotype,s,Silva e Bates 2002; Gwynne et al 2010,NT
Gyldenstolpia planaltensis,Mammals,Cricetidae,Gyldenstolpia,"Gyldenstolpia planaltensis (Avila-Pires, 1972)",Gyldenstolpia planaltensis,"(Avila-Pires, 1972)",Restricted,buffer,1972,1900-1999,-15.7833,-47.9333,APC,s,Gutiérrez e Marinho-Filho 2017,-
Gymnodactylus amarali,Lizards,Phyllodactylidae,Gymnodactylus,"Gymnodactylus amarali Barbour, 1925",Gymnodactylus amarali,"Barbour, 1925",Partial,polygon,1925,1900-1999,-9.1,-45.9167,associated,n,Nogueira et al 2010; Azevedo et al 2016,LC
Gymnodactylus guttulatus,Lizards,Phyllodactylidae,Gymnodactylus,"Gymnodactylus guttulatus Vanzolini, 1982",Gymnodactylus guttulatus,"Vanzolini, 1982",Restricted,buffer,1982,1900-1999,-18.25,-43.6667,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Helicops boitata,Snakes,Dipsadidae,Helicops,"Helicops boitata* Moraes-da-Silva et al., 2019",Helicops boitata*,"Moraes-da-Silva et al., 2019",Restricted,buffer,2019,2000-2021,-16.4226,-56.6702,Atlas,s,Nogueira et al 2019,-
Helicops gomesi,Snakes,Dipsadidae,Helicops,"Helicops gomesi* Amaral, 1921",Helicops gomesi*,"Amaral, 1921",Partial,polygon,1921,1900-1999,-22.7253,-47.6492,Atlas,s,Nogueira et al 2019,LC
Helicops phantasma,Snakes,Dipsadidae,Helicops,"Helicops phantasma* Moraes-da-Silva et al., 2021 ",Helicops phantasma*,"Moraes-da-Silva et al., 2021 ",Partial,polygon,2021,2000-2021,-15.3597,-52.4689,Atlas,s,Moraes-da-Silva et al 2021,-
Herpsilochmus longirostris,Aves,Thamnophilidae,Herpsilochmus,"Herpsilochmus longirostris Pelzeln, 1868",Herpsilochmus longirostris,"Pelzeln, 1868",Partial,polygon,1868,1700-1899,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010,LC
Heterodactylus lundii,Lizards,Gymnophthalmidae,Heterodactylus,"Heterodactylus lundii Reinhardt & Luetken, 1862",Heterodactylus lundii,"Reinhardt & Luetken, 1862",Restricted,polygon,1862,1700-1899,-17.6667,-44.5833,associated,n,Nogueira et al 2010; Azevedo et al 2016,EN
Holochilus sciureus,Mammals,Cricetidae,Holochilus,"Holochilus sciureus Wagner, 1842",Holochilus sciureus,"Wagner, 1842",Partial,polygon,1842,1700-1899,NA,NA,APC,s,,LC
Hoplocercus spinosus,Lizards,Hoplocercidae,Hoplocercus,"Hoplocercus spinosus Fitzinger, 1843",Hoplocercus spinosus,"Fitzinger, 1843",Partial,polygon,1843,1700-1899,NA,NA,NA,n,Nogueira et al 2010; Azevedo et al 2016,LC
Hydropsalis candicans,Aves,Caprimulgidae,Hydropsalis,"Hydropsalis candicans (Pelzeln, 1867)",Hydropsalis candicans,"(Pelzeln, 1867)",Partial,polygon,1867,1700-1899,NA,NA,,s,"Silva 1995; Silva 1997; Silva e Bates 2002, Gwynne et al 2010; WikiAves",VU
Hylaeamys acritus,Mammals,Cricetidae,Hylaeamys,"Hylaeamys acritus (Emmons & Patton, 2005)",Hylaeamys acritus,"(Emmons & Patton, 2005)",Partial,OUT,2005,2000-2021,-14.767,-61.033,APC,s,,DD
Hylodes otavioi,Amphibians,Hylodidae,Hylodes,"Hylodes otavioi Sazima & Bokermann, 1983",Hylodes otavioi,"Sazima & Bokermann, 1983",Restricted,polygon,1983,1900-1999,-19.4405,-43.7183,precise,n,Valdujo et al 2012; Azevedo et al 2016,VU
Ischnocnema penaxavantinho,Amphibians,Brachycephalidae,Ischnocnema,"Ischnocnema penaxavantinho Giaretta et al., 2007",Ischnocnema penaxavantinho,"Giaretta et al., 2007",Restricted,polygon,2007,2000-2021,-19.1833,-48.4,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Julianus pinimus,Amphibians,Hylidae,Julianus,"Julianus pinimus (Bokermann & Sazima, 1973)",Julianus pinimus,"(Bokermann & Sazima, 1973)",Restricted,buffer,1973,1900-1999,-19.1888,-43.645,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Juscelinomys candango,Mammals,Cricetidae,Juscelinomys,"Juscelinomys candango Moojen, 1965",Juscelinomys candango,"Moojen, 1965",Restricted,OUT,1965,1900-1999,-15.7833,-47.9333,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,EX
Juscelinomys huanchacae,Mammals,Cricetidae,Juscelinomys,"Juscelinomys huanchacae Emmons, 1999",Juscelinomys huanchacae,"Emmons, 1999",Restricted,OUT,1999,1900-1999,-14.5236,-60.7394,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,DD
Kentropyx paulensis,Lizards,Teiidae,Kentropyx,"Kentropyx paulensis Boettger, 1893",Kentropyx paulensis,"Boettger, 1893",Partial,polygon,1893,1700-1899,NA,NA,NA,n,Nogueira et al 2010; Azevedo et al 2016,LC
Kentropyx vanzoi,Lizards,Teiidae,Kentropyx,"Kentropyx vanzoi Gallagher & Dixon, 1980",Kentropyx vanzoi,"Gallagher & Dixon, 1980",Partial,polygon,1980,1900-1999,-12.8167,-51.7667,precise,n,Nogueira et al 2010; Azevedo et al 2016,NT
Kerodon acrobata,Mammals,Caviidae,Kerodon,"Kerodon acrobata Moojen et al., 1997",Kerodon acrobata,"Moojen et al., 1997",Restricted,polygon,1997,1900-1999,-13.8333,-46.8333,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,DD
Knipolegus franciscanus,Aves,Tyrannidae,Knipolegus,"Knipolegus franciscanus Snethlage, 1928",Knipolegus franciscanus,"Snethlage, 1928",Partial,polygon,1928,1900-1999,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010,LC
Kunsia tomentosus,Mammals,Cricetidae,Kunsia,"Kunsia tomentosus (Lichtenstein, 1830)",Kunsia tomentosus,"(Lichtenstein, 1830)",Partial,polygon,1830,1700-1899,-30.4768,-57.2361,APC,s,Carmignotto et al 2012; Patton et al 2015,LC
Laterallus xenopterus,Aves,Rallidae,Laterallus,"Laterallus xenopterus Conover, 1934",Laterallus xenopterus,"Conover, 1934",Partial,polygon,1934,1900-1999,NA,NA,,s,WikiAves,VU
Leposternon cerradensis,Lizards,Amphisbaenidae,Leposternon,"Leposternon cerradensis Ribeiro et al., 2008",Leposternon cerradensis,"Ribeiro et al., 2008",Restricted,buffer,2008,2000-2021,-18.6634,-51.8716,precise,n,Nogueira et al 2010; Azevedo et al 2016,DD
Leposternon maximus,Lizards,Amphisbaenidae,Leposternon,"Leposternon maximus Ribeiro et al., 2011",Leposternon maximus,"Ribeiro et al., 2011",Restricted,buffer,2011,2000-2021,-14.3537,-46.1941,precise,n,Azevedo et al 2016,LC
Leposternon mineiro,Lizards,Amphisbaenidae,Leposternon,"Leposternon mineiro* Ribeiro et al., 2018",Leposternon mineiro*,"Ribeiro et al., 2018",Restricted,buffer,2018,2000-2021,-17.7631,-46.1533,precise,s,"Ribeiro et al., 2018",-
Leptodactylus brevipes,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus brevipes* Cope, 1887",Leptodactylus brevipes*,"Cope, 1887",Partial,polygon,1887,1700-1899,-15.451,-55.843,associated,s,Gazoni et al 2020,LC
Leptodactylus camaquara,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus camaquara Sazima & Bokermann, 1978",Leptodactylus camaquara,"Sazima & Bokermann, 1978",Restricted,polygon,1978,1900-1999,-19.4405,-43.7183,associated,n,Valdujo et al 2012; Azevedo et al 2016,NT
Leptodactylus cunicularius,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus cunicularius Sazima & Bokermann, 1978",Leptodactylus cunicularius,"Sazima & Bokermann, 1978",Restricted,polygon,1978,1900-1999,-19.4405,-43.7183,associated,n,Valdujo et al 2012; Azevedo et al 2016,LC
Leptodactylus furnarius,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus furnarius Sazima & Bokermann, 1978",Leptodactylus furnarius,"Sazima & Bokermann, 1978",Partial,polygon,1978,1900-1999,-23.7833,-46.3167,geoLoc,n,Valdujo et al 2012; Silva et al 2020,LC
Leptodactylus kilombo,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus kilombo* Silva et al., 2020",Leptodactylus kilombo*,"Silva et al., 2020",Restricted,polygon,2020,2000-2021,-12.8979,-46.8104,precise,s,Silva et al 2020,LC
Leptodactylus pustulatus,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus pustulatus (Peters, 1870)",Leptodactylus pustulatus,"(Peters, 1870)",Partial,polygon,1970,1900-1999,NA,NA,NA,n,Valdujo et al 2012; Silva et al 2020,LC
Leptodactylus sertanejo,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus sertanejo Giaretta & Costa, 2007",Leptodactylus sertanejo,"Giaretta & Costa, 2007",Wide,polygon,2007,2000-2021,-19,-48.3147,precise,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Leptodactylus tapiti,Amphibians,Leptodactylidae,Leptodactylus,"Leptodactylus tapiti Sazima & Bokermann, 1978",Leptodactylus tapiti,"Sazima & Bokermann, 1978",Restricted,buffer,1978,1900-1999,-14.1825,-47.5347,precise,n,Valdujo et al 2012; Azevedo et al 2016,VU
Liotyphlops schubarti,Snakes,Anomalepididae,Liotyphlops,"Liotyphlops schubarti Vanzolini, 1948",Liotyphlops schubarti,"Vanzolini, 1948",Restricted,buffer,1948,1900-1999,-21.9961,-47.4258,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,DD
Liotyphlops taylori,Snakes,Anomalepididae,Liotyphlops,"Liotyphlops taylori* Marra-Santos & Reis, 2018",Liotyphlops taylori*,"Marra-Santos & Reis, 2018",Restricted,buffer,2018,2000-2021,-15.65,-57.2121,Atlas,s,"Marra-Santos & Reis, 2018",-
Lonchophylla bokermanni,Mammals,Phyllostomidae,Lonchophylla,"Lonchophylla bokermanni Sazima et al., 1978",Lonchophylla bokermanni,"Sazima et al., 1978",Restricted,polygon,1978,1900-1999,-19.2667,-43.6,APC,s,Gutiérrez e Marinho-Filho 2017,EN
Lonchophylla dekeyseri,Mammals,Phyllostomidae,Lonchophylla,"Lonchophylla dekeyseri Taddei et al., 1983",Lonchophylla dekeyseri,"Taddei et al., 1983",Partial,polygon,1983,1900-1999,-15.6667,-48,APC,s,Gutiérrez e Marinho-Filho 2017,EN
Lycalopex vetulus,Mammals,Canidae,Lycalopex,"Lycalopex vetulus (Lund, 1842)",Lycalopex vetulus,"(Lund, 1842)",Wide,polygon,1842,1700-1899,-19.6272,-43.8897,APC,s,,NT
Lygophis paucidens,Snakes,Dipsadidae,Lygophis,"Lygophis paucidens (Hoge, 1953)",Lygophis paucidens,"(Hoge, 1953)",Partial,polygon,1953,1900-1999,-11.2167,-50.6667,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Lysapsus caraya,Amphibians,Hylidae,Lysapsus,"Lysapsus caraya Gallardo, 1964",Lysapsus caraya,"Gallardo, 1964",Restricted,polygon,1964,1900-1999,-11.2167,-50.6667,geoLoc,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Manciola guaporicola,Lizards,Scincidae,Maciola,"Manciola guaporicola (Dunn, 1935)",Manciola guaporicola,"(Dunn, 1935)",Partial,polygon,1935,1900-1999,-15,-59.95,geoLoc,n,Nogueira et al 2010; Azevedo et al 2016,LC
Melanopareia torquata,Aves,Melanopareiidae,Melanopareia,"Melanopareia torquata (Wied, 1831)",Melanopareia torquata,"(Wied, 1831)",Wide,polygon,1831,1700-1899,NA,NA,,s,"Silva 1995; Silva 1997; Silva e Bates 2002, Gwynne et al 2010",LC
Micrablepharus atticolus,Lizards,Gymnophthalmidae,Micrablepharus,"Micrablepharus atticolus Rodrigues, 1996",Micrablepharus atticolus,"Rodrigues, 1996",Partial,polygon,1996,1900-1999,-17.3,-53.2,geoLoc,n,Nogueira et al 2010; Azevedo et al 2016,LC
Microakodontomys transitorius,Mammals,Cricetidae,Microakodontomys,"Microakodontomys transitorius Hershkovitz, 1993",Microakodontomys transitorius,"Hershkovitz, 1993",Restricted,buffer,1993,1900-1999,-15.6667,-48,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,EN
Microspingus cinereus,Aves,Thraupidae,Microspingus,"Microspingus cinereus Bonaparte, 1850",Microspingus cinereus,"Bonaparte, 1850",Partial,polygon,1850,1700-1899,NA,NA,,s,Silva 1995; Silva 1997; Silva e Bates 2002,LC
Micrurus brasiliensis,Snakes,Elapidae,Micrurus,"Micrurus brasiliensis Roze, 1967",Micrurus brasiliensis,"Roze, 1967",Partial,polygon,1967,1900-1999,-12.1528,-44.99,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Micrurus tricolor,Snakes,Elapidae,Micrurus,"Micrurus tricolor Hoge, 1956",Micrurus tricolor,"Hoge, 1956",Partial,polygon,1956,1900-1999,-19.8,-57.1667,Atlas,n,Nogueira et al 2010; Azevedo et al 2016; Nogueira et al 2019,LC
Monodelphis kunsi,Mammals,Didelphidae,Monodelphis,"Monodelphis kunsi Pine, 1975",Monodelphis kunsi,"Pine, 1975",Partial,polygon,1975,1900-1999,-13.3,-64.15,APC,s,,LC
Monodelphis sanctaerosae,Mammals,Didelphidae,Monodelphis,"Monodelphis sanctaerosae Voss et al., 2012",Monodelphis sanctaerosae,"Voss et al., 2012",Restricted,buffer,2012,2000-2021,-15.8333,-61.45,APC,s,,-
Myiothlypis leucophrys,Aves,Parulidae,Myiothlypis,"Myiothlypis leucophrys (Pelzeln, 1868)",Myiothlypis leucophrys,"(Pelzeln, 1868)",Partial,polygon,1868,1700-1899,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010,LC
Neothraupis fasciata,Aves,Thraupidae,Neothraupis,"Neothraupis fasciata (Lichtenstein, 1823)",Neothraupis fasciata,"(Lichtenstein, 1823)",Wide,polygon,1823,1700-1899,NA,NA,,s,Gwynne et al 2010,NT
