species,taxa,family,genus,species_author,binomial,author,range.cat,areaClass,year,time.slice,latitude,longitude,obs.source,New,Reference,IUCN
Amphisbaena brevis,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena brevis Strüssmann & Mott, 2009",Amphisbaena brevis,"Strüssmann & Mott, 2009",Restricted,buffer,2009,2000-2021,-14.9557,-55.8662,precise,n,Azevedo et al 2016,DD
Amphisbaena carli,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena carli Pinna et al., 2010",Amphisbaena carli,"Pinna et al., 2010",Restricted,buffer,2010,2000-2021,-14.0167,-45.9,precise,n,Azevedo et al 2016,LC
Amphisbaena crisae,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena crisae Vanzolini, 1997",Amphisbaena crisae,"Vanzolini, 1997",Partial,buffer,1997,1900-1999,-11.8333,-50.3333,precise,n,Nogueira et al 2010; Azevedo et al 2016,DD
Amphisbaena cuiabana,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena cuiabana (Strüssmann & Carvalho, 2001)",Amphisbaena cuiabana,"(Strüssmann & Carvalho, 2001)",Restricted,polygon,2001,2000-2021,-15.5961,-56.0967,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Amphisbaena filiformis,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena filiformis* Ribeiro et al., 2016",Amphisbaena filiformis*," Ribeiro et al., 2016",Restricted,buffer,2016,2000-2021,-7.2458,-47.7675,precise,s,"Ribeiro et al., 2016",-
Amphisbaena kraoh,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena kraoh (Vanzolini, 1971)",Amphisbaena kraoh,"(Vanzolini, 1971)",Restricted,polygon,1971,1900-1999,-8.9675,-48.1747,geoLoc,n,Nogueira et al 2010; Azevedo et al 2016,LC
Amphisbaena leeseri,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena leeseri Gans, 1964",Amphisbaena leeseri,"Gans, 1964",Restricted,polygon,1964,1900-1999,-19.2167,-57.55,geoLoc,n,Nogueira et al 2010; Azevedo et al 2016,LC
Amphisbaena maranhensis,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena maranhensis Gomes & Maciel, 2012",Amphisbaena maranhensis,"Gomes & Maciel, 2012",Restricted,buffer,2012,2000-2021,-7.1525,-45.3039,precise,n,Azevedo et al 2016,DD
Amphisbaena mebengokre,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena mebengokre* Ribeiro et al., 2019",Amphisbaena mebengokre*,"Ribeiro et al., 2019",Restricted,buffer,2019,2000-2021,-16.4569,-51.3781,precise,s,"Ribeiro et al., 2019",-
Amphisbaena neglecta,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena neglecta Dunn & Piatt, 1936",Amphisbaena neglecta,"Dunn & Piatt, 1936",Restricted,buffer,1936,1900-1999,-15.4529,-55.7392,precise,n,Nogueira et al 2010; Azevedo et al 2016,DD
Amphisbaena persephone,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena persephone* Pinna et al., 2014",Amphisbaena persephone*,"Pinna et al., 2014",Restricted,buffer,2014,2000-2021,-13.8833,-45.7,precise,s,"Pinna et al., 2014",-
Amphisbaena sanctaeritae,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena sanctaeritae Vanzolini, 1994",Amphisbaena sanctaeritae,"Vanzolini, 1994",Restricted,buffer,1994,1900-1999,-21.7312,-47.4959,precise,n,Nogueira et al 2010; Azevedo et al 2016,CR
Amphisbaena saxosa,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena saxosa (Castro-Mello, 2003)",Amphisbaena saxosa,"(Castro-Mello, 2003)",Restricted,buffer,2003,2000-2021,-9.75,-48.35,precise,n,Nogueira et al 2010; Azevedo et al 2016,NT
Amphisbaena silvestrii,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena silvestrii Boulenger, 1902",Amphisbaena silvestrii,"Boulenger, 1902",Partial,polygon,1902,1900-1999,-15.5989,-56.0949,geoLoc,n,Nogueira et al 2010; Azevedo et al 2016,LC
Amphisbaena steindachneri,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena steindachneri Strauch, 1881",Amphisbaena steindachneri,"Strauch, 1881",Restricted,buffer,1881,1700-1899,-16.05,-57.3833,geoLoc,n,Nogueira et al 2010; Azevedo et al 2016,LC
Amphisbaena talisiae,Lizards,Amphisbaenidae,Amphisbaena,"Amphisbaena talisiae Vanzolini, 1995",Amphisbaena talisiae,"Vanzolini, 1995",Partial,polygon,1995,1900-1999,-15.8167,-52.1667,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Anolis meridionalis,Lizards,Dactyloidae,Anolis,"Anolis meridionalis Boettger, 1885",Anolis meridionalis,"Boettger, 1885",Wide,polygon,1885,1700-1899,-23.7167,-55.5,neotype,n,Nogueira et al 2010; Azevedo et al 2016,LC
