Taxa,Family,Genus,Species,Voucher,Series,Locality,Municipality,State,Country,Latitude,Longitude,elevation
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,CHUNB 47732,,Porto Nacional,area projeto de Irrigacao Sao Joao; area E,,Brazil,-10.5485,-48.484,199
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,MZUSP 25285,,Santa Terezinha,Barra do Tapirapes,,Brazil,-10.3319,-50.792,229
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 2612,,Peixe,Campo umido,,Brazil,-12.2605,-48.4105,259
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 2611,,Peixe,Cerrado,,Brazil,-12.288,-48.4155,263
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,PHV 2421,,Nova Nazare,Estrada para rio das Mortes,,Brazil,-13.9497,-51.9184,457
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,Codemim,Niquelândia,,Brazil,-14.15,-48.39,487
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,,PE do Mirador,,Brazil,-6.7911,-45.4736,391
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,,Pq Nac das Emas,,Brazil,-18.22,-52.84,779
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 3075,,UHE Luis Eduardo Magalhaes,Porto Nacional,TO,Brazil,-10.45,-48.4,216
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 3076,,UHE Luis Eduardo Magalhaes,Porto Nacional,TO,Brazil,-10.1166,-48.4166,166
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,Lit 3077,,UHE Luis Eduardo Magalhaes,Porto Nacional,TO,Brazil,-10.0833,-48.45,185
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,Posse,,,Brazil,-14.2,-46.31,787
Amphibians,Leptodactylidae,Adenomera,Adenomera saci,,,Ribeirão Cascalheira,,,Brazil,-12.8,-51.68,310
Mammals,Cricetidae,Akodon,Akodon kadiweu,MZUSP APC975/985/996/997,holotype,Bodoquena,Fazenda Califórnia,,Brazil,-20.7,-56.8667,580
Mammals,Cricetidae,Akodon,Akodon lindberghi,CMUFLA,,,"Chapada das Perdizes, Minduri/Carrancas",,Brazil,-21.5833,-44.5667,1358
Mammals,Cricetidae,Akodon,Akodon lindberghi,LBCE - cariótipo e molecular,,Valença,Conservatória,,Brazil,-22.2943,-43.9326,599
Mammals,Cricetidae,Akodon,Akodon lindberghi,MZUSP,,,Juiz de Fora,,Brazil,-21.6833,-43.45,716
Mammals,Cricetidae,Akodon,Akodon lindberghi,MZUSP,,,Parque Nacional da Serra da Canastra,,Brazil,-20.35,-46.4833,912
Mammals,Cricetidae,Akodon,Akodon lindberghi,MN 33501,"holotype, UNB 1003, FMNH 128293/94/95/96/97/98, MN 34284",20 km NW Brasília,Parque Nacional de Brasília,,Brazil,-15.6667,-48,1136
Mammals,Cricetidae,Akodon,Akodon lindberghi,MZUSP,,Poços de Caldas,Poços de Caldas,,Brazil,-21.7833,-46.5667,1561
Mammals,Cricetidae,Akodon,Akodon lindberghi,MN 48026,,Simão Pereira,Sítio Maglândia,,Brazil,-21.9636,-43.3119,610
Mammals,Cricetidae,Akodon,Akodon lindberghi,LBCE - cariótipo e molecular,,,Teresópolis,,Brazil,-22.4171,-43.0225,1457
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Agua Amarela, Anapolis",GO,Brazil,-16.3333,-48.9667,916
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,Fazenda Experimental santa Barbara do Rio Pardo,Aguas de santa Barbara,SP,Brazil,-22.8833,-49.25,599
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Alto Paraíso de Goiás/GO,GO,Brazil,-14.1335,-47.5104,1156
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"APA de Cafuringa, Brazlandia e Sobradinho",DF,Brazil,-15.5333,-48.0667,1095
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Aquidauana/MS,MS,Brazil,-20.4715,-55.7875,177
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Baependi,MG,Brazil,-21.95,-45.8833,915
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Bom Jardim de Minas/MG,MG,Brazil,-21.9475,-44.1914,1150
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Bonito/MS,MS,Brazil,-21.1215,-56.4825,300
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Brasília/DF,DF,Brazil,-15.7805,-47.9304,1092
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Buri, Aracacu",SP,Brazil,-23.7167,-48.5167,624
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Chapada dos Guimaraes,MT,Brazil,-15.4167,-55.8,757
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Chapadão do Céu/GO,GO,Brazil,-18.4085,-52.5494,688
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Corrego Escaramuça, Taquarivai",SP,Brazil,-23.8833,-48.7667,690
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Costa Rica/MS,MS,Brazil,-18.5445,-53.1295,613
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Cumbica, Guarulhos",SP,Brazil,-22.6,-46.4833,950
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Entre rio São Francisco e Indaia (Dores de Indaia),MG,Brazil,-19.5,-50.5,510
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Estação Ecologica de Aguas Emendadas, Planaltina",DF,Brazil,-15.5333,-47.6167,1049
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Estação Ecologica de Santa Barbara, Aguas de Santa Barbara",SP,Brazil,-22.8,-49.2167,615
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Estação Ressaca, santo Antonio de Posse",SP,Brazil,-22.6,-46.95,679
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Estrada do Paraona, Brasília",DF,Brazil,-15.7833,-47.9167,1087
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Agua Limpa, Brasília",DF,Brazil,-15.95,-47.9333,1112
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Barra Mansa, Rio Brilhante",MS,Brazil,-21.4667,-54.9667,382
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Campo Grande, Itapetininga",SP,Brazil,-23.6333,-47.9667,688
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Capao Bonita, Vacaria",MS,Brazil,-21.2833,-54.8167,327
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Fazenda Carrapatos,MS,Brazil,-21.5333,-54.9833,364
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Cocal, Uberaba",MG,Brazil,-19.4333,-48,906
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda do Sr. G.C. Fonseca, Lima Duarte, Campo das Vertentes",MG,Brazil,-21.7167,-44,1200
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Rio Negro, Pantanal de Nhecolandia",MS,Brazil,-19.5,-56.2167,89
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda Santa Maria da Fabrica, São Carlos",SP,Brazil,-22.1667,-47.9167,851
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Fazenda São Miguel, Unai",MG,Brazil,-15.8333,-46.5,702
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,França,SP,Brazil,-20.5333,-47.4,921
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Ibiraci/MG,MG,Brazil,-20.4625,-47.1224,1100
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Ilha do Rio Paraná, Umuarama e Altonia",PR,Brazil,-24.05,-54.2,220
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Indianópolis/MG,MG,Brazil,-19.0395,-47.9174,819
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Ipanema,SP,Brazil,-23.4333,-47.6,596
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Ipiranga, São Paulo",SP,Brazil,-23.5333,-46.6167,636
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Itarare,SP,Brazil,-24.1167,-49.3333,769
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Itatinga,SP,Brazil,-23.1,-48.6167,814
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Itirapina/SP,SP,Brazil,-22.2535,-47.8234,898
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Jaguariaiva,PR,Brazil,-24.25,-49.7,786
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Lagoa Santa,MG,Brazil,-19.6333,-43.8833,940
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Lhanozo,MG,Brazil,-19.8333,-47.95,668
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Medeiros/MG,MG,Brazil,-19.9965,-46.2264,914
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Mineiros/GO,GO,Brazil,-17.5695,-52.5514,674
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Miranda,MS,Brazil,-20.2333,-56.3667,157
