binomial*,species,year,New,areaClass
Calassomys apicalis,Calassomys apicalis,2014,s,polygon
Callithrix penicillata,Callithrix penicillata,1812,s,polygon
Calomys tocantinsi,Calomys tocantinsi,2003,s,polygon
Carterodon sulcidens,Carterodon sulcidens,1838,s,polygon
Celeus obrieni,Celeus obrieni,1973,s,polygon
Cercomacra ferdinandi,Cercomacra ferdinandi,1928,s,polygon
Cerradomys akroai,Cerradomys akroai,2014,s,buffer
Cerradomys marinhus,Cerradomys marinhus,2003,s,polygon
Cerradomys scotti,Cerradomys scotti,2002,s,polygon
Charitospiza eucosma,Charitospiza eucosma,1905,s,polygon
Chiasmocleis albopunctata,Chiasmocleis albopunctata,1885,n,polygon
Chiasmocleis centralis,Chiasmocleis centralis,1952,n,buffer
Chironius brazili*,Chironius brazili,2015,s,polygon
Cinclodes espinhacensis,Cinclodes espinhacensis,2012,s,polygon
Clibanornis rectirostris,Clibanornis rectirostris,1831,s,polygon
Clyomys laticeps,Clyomys laticeps,1909,s,polygon
Coleodactylus brachystoma,Coleodactylus brachystoma,1935,n,polygon
Colobosaura modesta,Colobosaura modesta,1862,n,polygon
Columbina cyanopis,Columbina cyanopis,1870,s,buffer
Conothraupis mesoleuca,Conothraupis mesoleuca,1939,s,polygon
Coryphaspiza melanotis,Coryphaspiza melanotis,1822,s,polygon
Crossodactylus franciscanus*,Crossodactylus franciscanus,2015,s,buffer
Crossodactylus trachystomus,Crossodactylus trachystomus,1862,n,polygon
Ctenomys bicolor,Ctenomys bicolor,1914,s,polygon
Ctenomys nattereri,Ctenomys nattereri,1848,s,polygon
Cyanocorax cristatellus,Cyanocorax cristatellus,1823,s,polygon
Dendropsophus anataliasiasi,Dendropsophus anataliasiasi,1972,n,polygon
Dendropsophus araguaya,Dendropsophus araguaya,1998,n,polygon
Dendropsophus cerradensis,Dendropsophus cerradensis,1998,n,buffer
Dendropsophus cruzi,Dendropsophus cruzi,1998,n,polygon
Dendropsophus elianeae,Dendropsophus elianeae,2000,n,polygon
Dendropsophus jimi,Dendropsophus jimi,1999,n,polygon
Dendropsophus rhea,Dendropsophus rhea,1999,n,buffer
Dendropsophus rubicundulus,Dendropsophus rubicundulus,1862,n,polygon
Dendropsophus tritaeniatus,Dendropsophus tritaeniatus,1965,n,buffer
Drymoluber brazili,Drymoluber brazili,1918,n,polygon
Elachistocleis bumbameuboi,Elachistocleis bumbameuboi,2010,n,buffer
Elachistocleis matogrosso,Elachistocleis matogrosso,2010,n,polygon
Embernagra longicauda,Embernagra longicauda,1844,s,polygon
Enyalius capetinga*,Enyalius capetinga,2018,s,polygon
Epicrates crassus,Epicrates crassus,1862,n,polygon
Epictia clinorostris*,Epictia clinorostris,2010,s,polygon
Erythrolamprus maryellenae,Erythrolamprus maryellenae,1985,n,polygon
Eurolophosaurus nanuzae,Eurolophosaurus nanuzae,1981,n,polygon
Euryoryzomys lamia,Euryoryzomys lamia,1901,s,polygon
Euscarthmus rufomarginatus,Euscarthmus rufomarginatus,1868,s,polygon
Galea flavidens,Galea flavidens,1835,s,polygon
Geositta poeciloptera,Geositta poeciloptera,1830,s,polygon
Guyramemua affine,Guyramemua affine,1856,s,polygon
Gyldenstolpia planaltensis,Gyldenstolpia planaltensis,1972,s,buffer
Gymnodactylus amarali,Gymnodactylus amarali,1925,n,polygon
Gymnodactylus guttulatus,Gymnodactylus guttulatus,1982,n,buffer
Helicops boitata*,Helicops boitata,2019,s,buffer
Helicops gomesi*,Helicops gomesi,1921,s,polygon
Helicops phantasma*,Helicops phantasma,2021,s,polygon
Herpsilochmus longirostris,Herpsilochmus longirostris,1868,s,polygon
Heterodactylus lundii,Heterodactylus lundii,1862,n,polygon
Holochilus sciureus,Holochilus sciureus,1842,s,polygon
Hoplocercus spinosus,Hoplocercus spinosus,1843,n,polygon
Hydropsalis candicans,Hydropsalis candicans,1867,s,polygon
Hylaeamys acritus,Hylaeamys acritus,2005,s,OUT
Hylodes otavioi,Hylodes otavioi,1983,n,polygon
