assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
130265796,22700821,Iodopleura isabellae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Iodopleura,isabellae,,,,"Parzudaki, 1847",LC,,3.1,Decreasing,Global
130266152,22700891,Cotinga cayana,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Cotinga,cayana,,,,"(Linnaeus, 1766)",LC,,3.1,Decreasing,Global
130266486,22700894,Xipholena punicea,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Xipholena,punicea,,,,"(Pallas, 1764)",LC,,3.1,Decreasing,Global
130266964,22700985,Pipra aureola,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Pipra,aureola,,,,"(Linnaeus, 1758)",LC,,3.1,Decreasing,Global
130267257,22700974,Rupicola peruvianus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Rupicola,peruvianus,,,,"(Latham, 1790)",LC,,3.1,Decreasing,Global
130267659,22700991,Pipra filicauda,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Pipra,filicauda,,,,"Spix, 1825",LC,,3.1,Stable,Global
130268089,22701003,Ceratopipra chloromeros,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Ceratopipra,chloromeros,,,,"Tschudi, 1844",LC,,3.1,Decreasing,Global
130268402,22701006,Ceratopipra cornuta,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Ceratopipra,cornuta,,,,"Spix, 1825",LC,,3.1,Stable,Global
130268772,22701020,Lepidothrix suavissima,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Lepidothrix,suavissima,,,,"Salvin & Godman, 1882",LC,,3.1,Stable,Global
130269176,22701050,Lepidothrix nattereri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Lepidothrix,nattereri,,,,"Sclater, 1865",LC,,3.1,Decreasing,Global
130269766,22701068,Antilophia galeata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Antilophia,galeata,,,,"(Lichtenstein, 1823)",LC,,3.1,Decreasing,Global
130270143,22701080,Chiroxiphia boliviana,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Chiroxiphia,boliviana,,,,"Allen, 1889",LC,,3.1,Decreasing,Global
130270372,22701093,Corapipo gutturalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Corapipo,gutturalis,,,,"(Linnaeus, 1766)",LC,,3.1,Stable,Global
130270658,22701115,Machaeropterus pyrocephalus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Machaeropterus,pyrocephalus,,,,"(Sclater, 1852)",LC,,3.1,Decreasing,Global
130271310,22701125,Xenopipo atronitens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Xenopipo,atronitens,,,,"Cabanis, 1847",LC,,3.1,Decreasing,Global
130271758,22701183,Neopelma pallescens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Neopelma,pallescens,,,,"(Lafresnaye, 1853)",LC,,3.1,Decreasing,Global
130272309,22701955,Phlegopsis erythroptera,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Phlegopsis,erythroptera,,,,"(Gould, 1855)",LC,,3.1,Decreasing,Global
130273281,22702287,Synallaxis frontalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Synallaxis,frontalis,,,,"Pelzeln, 1859",LC,,3.1,Increasing,Global
130273582,22702360,Synallaxis rutilans,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Synallaxis,rutilans,,,,"Temminck, 1823",LC,,3.1,Decreasing,Global
130274098,22702399,Synallaxis scutata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Synallaxis,scutata,,,,"Sclater, 1859",LC,,3.1,Decreasing,Global
130274343,22702594,Thripophaga fusciceps,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Thripophaga,fusciceps,,,,"Sclater, 1889",LC,,3.1,Stable,Global
